Economy,Year,Value,Measure,Unit,Source,Vehicle Type,Transport Type,Drive,Medium
19_THA,2010,2.9754e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
20_USA,2010,3.249e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
01_AUS,2011,3.1806000000000004e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
03_CDA,2011,3.2148000000000005e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
04_CHL,2011,2.9754e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
05_PRC,2011,2.9754e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
07_INA,2011,3.0438e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
08_JPN,2011,2.3256000000000003e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
09_ROK,2011,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
10_MAS,2011,2.736e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
11_MEX,2011,3.2148000000000005e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
14_PE,2011,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
15_RP,2011,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
19_THA,2011,2.9754e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
20_USA,2011,3.2148000000000005e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
01_AUS,2012,3.0780000000000003e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
03_CDA,2012,3.1122e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
04_CHL,2012,2.9070000000000004e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
05_PRC,2012,2.9411999999999997e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
07_INA,2012,2.9070000000000004e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
08_JPN,2012,2.1888e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
09_ROK,2012,2.1546e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
10_MAS,2012,2.6675999999999998e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
11_MEX,2012,2.9754e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
14_PE,2012,2.8386000000000005e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
15_RP,2012,3.1122e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
19_THA,2012,2.7702000000000002e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
20_USA,2012,3.1122e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
01_AUS,2013,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
03_CDA,2013,3.0096e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
04_CHL,2013,2.8386000000000005e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
05_PRC,2013,2.9070000000000004e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
07_INA,2013,2.8386000000000005e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
08_JPN,2013,2.0862e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
09_ROK,2013,2.1546e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
10_MAS,2013,2.6334000000000004e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
11_MEX,2013,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
14_PE,2013,2.8044e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
15_RP,2013,3.1122e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
19_THA,2013,2.7018e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
20_USA,2013,3.0780000000000003e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
01_AUS,2014,2.8044e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
03_CDA,2014,3.0096e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
04_CHL,2014,2.736e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
05_PRC,2014,2.8044e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
07_INA,2014,2.7018e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
08_JPN,2014,1.9836e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
09_ROK,2014,2.1888e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
10_MAS,2014,2.6675999999999998e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
11_MEX,2014,2.6334000000000004e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
14_PE,2014,2.8044e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
15_RP,2014,3.0096e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
19_THA,2014,2.7702000000000002e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
20_USA,2014,3.0096e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
01_AUS,2015,2.7702000000000002e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
03_CDA,2015,3.0096e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
04_CHL,2015,2.7702000000000002e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
05_PRC,2015,2.736e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
07_INA,2015,2.8044e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
08_JPN,2015,2.1204000000000002e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
09_ROK,2015,2.1546e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
10_MAS,2015,2.5992000000000003e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
11_MEX,2015,2.565e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
14_PE,2015,2.8044e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
15_RP,2015,2.9754e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
19_THA,2015,2.736e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
20_USA,2015,2.9411999999999997e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
01_AUS,2016,2.736e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
03_CDA,2016,3.0438e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
04_CHL,2016,2.736e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
05_PRC,2016,2.6334000000000004e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
07_INA,2016,2.736e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
08_JPN,2016,2.1204000000000002e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
09_ROK,2016,2.1204000000000002e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
10_MAS,2016,2.4282e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
11_MEX,2016,2.5992000000000003e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
14_PE,2016,2.736e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
15_RP,2016,2.8386000000000005e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
19_THA,2016,2.6675999999999998e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
20_USA,2016,2.9411999999999997e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
01_AUS,2017,2.7018e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
03_CDA,2017,3.0438e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
04_CHL,2017,2.736e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
05_PRC,2017,2.5992000000000003e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
07_INA,2017,2.7018e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
08_JPN,2017,2.1204000000000002e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
09_ROK,2017,2.1546e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
10_MAS,2017,2.4282e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
11_MEX,2017,2.5992000000000003e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
14_PE,2017,2.7702000000000002e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
15_RP,2017,2.8728000000000003e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
19_THA,2017,2.565e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
20_USA,2017,2.9411999999999997e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
