Medium,Transport Type,Vehicle Type,Drive,Date,Economy,Frequency,Measure,Unit,Value,Dataset,Source
road,freight,ht,cng,2017-12-31,01_AUS,Yearly,Stocks,Stocks,34.0,8th edition transport model,Reference
road,freight,ht,d,2017-12-31,01_AUS,Yearly,Stocks,Stocks,636547.0,8th edition transport model,Reference
road,freight,ht,g,2017-12-31,01_AUS,Yearly,Stocks,Stocks,21920.0,8th edition transport model,Reference
road,freight,ht,lpg,2017-12-31,01_AUS,Yearly,Stocks,Stocks,2384.0,8th edition transport model,Reference
road,passenger,2w,bev,2017-12-31,01_AUS,Yearly,Stocks,Stocks,156.0,8th edition transport model,Reference
road,passenger,2w,g,2017-12-31,01_AUS,Yearly,Stocks,Stocks,828807.0,8th edition transport model,Reference
road,passenger,bus,cng,2017-12-31,01_AUS,Yearly,Stocks,Stocks,0.0,8th edition transport model,Reference
road,passenger,bus,d,2017-12-31,01_AUS,Yearly,Stocks,Stocks,25962.0,8th edition transport model,Reference
road,passenger,bus,g,2017-12-31,01_AUS,Yearly,Stocks,Stocks,69220.0,8th edition transport model,Reference
road,passenger,bus,lpg,2017-12-31,01_AUS,Yearly,Stocks,Stocks,1398.0,8th edition transport model,Reference
road,freight,ht,d,2017-12-31,02_BD,Yearly,Stocks,Stocks,14423.0,8th edition transport model,Reference
road,freight,ht,g,2017-12-31,02_BD,Yearly,Stocks,Stocks,547.0,8th edition transport model,Reference
road,passenger,2w,bev,2017-12-31,02_BD,Yearly,Stocks,Stocks,231.0,8th edition transport model,Reference
road,passenger,2w,g,2017-12-31,02_BD,Yearly,Stocks,Stocks,741004.0,8th edition transport model,Reference
road,passenger,bus,d,2017-12-31,02_BD,Yearly,Stocks,Stocks,2724.0,8th edition transport model,Reference
road,passenger,bus,g,2017-12-31,02_BD,Yearly,Stocks,Stocks,237.0,8th edition transport model,Reference
road,freight,ht,cng,2017-12-31,03_CDA,Yearly,Stocks,Stocks,2164.0,8th edition transport model,Reference
road,freight,ht,d,2017-12-31,03_CDA,Yearly,Stocks,Stocks,1400114.0,8th edition transport model,Reference
road,freight,ht,g,2017-12-31,03_CDA,Yearly,Stocks,Stocks,750911.0,8th edition transport model,Reference
road,freight,ht,lpg,2017-12-31,03_CDA,Yearly,Stocks,Stocks,12984.0,8th edition transport model,Reference
road,passenger,2w,g,2017-12-31,03_CDA,Yearly,Stocks,Stocks,719819.0,8th edition transport model,Reference
road,passenger,bus,bev,2017-12-31,03_CDA,Yearly,Stocks,Stocks,14336.0,8th edition transport model,Reference
road,passenger,bus,cng,2017-12-31,03_CDA,Yearly,Stocks,Stocks,3657.0,8th edition transport model,Reference
road,passenger,bus,d,2017-12-31,03_CDA,Yearly,Stocks,Stocks,71476.0,8th edition transport model,Reference
road,passenger,bus,g,2017-12-31,03_CDA,Yearly,Stocks,Stocks,2244.0,8th edition transport model,Reference
road,passenger,bus,lpg,2017-12-31,03_CDA,Yearly,Stocks,Stocks,82.0,8th edition transport model,Reference
road,freight,ht,d,2017-12-31,04_CHL,Yearly,Stocks,Stocks,236918.0,8th edition transport model,Reference
road,freight,ht,g,2017-12-31,04_CHL,Yearly,Stocks,Stocks,2369.0,8th edition transport model,Reference
road,passenger,2w,g,2017-12-31,04_CHL,Yearly,Stocks,Stocks,176703.0,8th edition transport model,Reference
road,passenger,bus,d,2017-12-31,04_CHL,Yearly,Stocks,Stocks,58291.0,8th edition transport model,Reference
road,passenger,bus,g,2017-12-31,04_CHL,Yearly,Stocks,Stocks,583.0,8th edition transport model,Reference
road,freight,ht,bev,2017-12-31,05_PRC,Yearly,Stocks,Stocks,67.0,8th edition transport model,Reference
road,freight,ht,cng,2017-12-31,05_PRC,Yearly,Stocks,Stocks,85964.0,8th edition transport model,Reference
road,freight,ht,d,2017-12-31,05_PRC,Yearly,Stocks,Stocks,6536296.0,8th edition transport model,Reference
road,freight,ht,lpg,2017-12-31,05_PRC,Yearly,Stocks,Stocks,17193.0,8th edition transport model,Reference
road,passenger,2w,bev,2017-12-31,05_PRC,Yearly,Stocks,Stocks,52359679.0,8th edition transport model,Reference
road,passenger,2w,g,2017-12-31,05_PRC,Yearly,Stocks,Stocks,63995163.0,8th edition transport model,Reference
road,passenger,bus,bev,2017-12-31,05_PRC,Yearly,Stocks,Stocks,202068.0,8th edition transport model,Reference
road,passenger,bus,cng,2017-12-31,05_PRC,Yearly,Stocks,Stocks,202068.0,8th edition transport model,Reference
road,passenger,bus,d,2017-12-31,05_PRC,Yearly,Stocks,Stocks,258108.0,8th edition transport model,Reference
road,passenger,bus,g,2017-12-31,05_PRC,Yearly,Stocks,Stocks,115467.0,8th edition transport model,Reference
road,passenger,bus,lpg,2017-12-31,05_PRC,Yearly,Stocks,Stocks,28867.0,8th edition transport model,Reference
road,freight,ht,d,2017-12-31,06_HKC,Yearly,Stocks,Stocks,40065.0,8th edition transport model,Reference
road,freight,ht,lpg,2017-12-31,06_HKC,Yearly,Stocks,Stocks,2839.0,8th edition transport model,Reference
road,passenger,2w,bev,2017-12-31,06_HKC,Yearly,Stocks,Stocks,48.0,8th edition transport model,Reference
road,passenger,2w,g,2017-12-31,06_HKC,Yearly,Stocks,Stocks,72282.0,8th edition transport model,Reference
road,passenger,bus,bev,2017-12-31,06_HKC,Yearly,Stocks,Stocks,24.0,8th edition transport model,Reference
road,passenger,bus,d,2017-12-31,06_HKC,Yearly,Stocks,Stocks,17464.0,8th edition transport model,Reference
road,passenger,bus,lpg,2017-12-31,06_HKC,Yearly,Stocks,Stocks,3864.0,8th edition transport model,Reference
road,freight,ht,cng,2017-12-31,07_INA,Yearly,Stocks,Stocks,3533.0,8th edition transport model,Reference
road,freight,ht,d,2017-12-31,07_INA,Yearly,Stocks,Stocks,2127031.0,8th edition transport model,Reference
road,freight,ht,g,2017-12-31,07_INA,Yearly,Stocks,Stocks,223774.0,8th edition transport model,Reference
road,freight,ht,phevd,2017-12-31,07_INA,Yearly,Stocks,Stocks,1177.0,8th edition transport model,Reference
road,passenger,2w,bev,2017-12-31,07_INA,Yearly,Stocks,Stocks,5343.0,8th edition transport model,Reference
road,passenger,2w,g,2017-12-31,07_INA,Yearly,Stocks,Stocks,106893383.0,8th edition transport model,Reference
road,passenger,bus,cng,2017-12-31,07_INA,Yearly,Stocks,Stocks,3400.0,8th edition transport model,Reference
road,passenger,bus,d,2017-12-31,07_INA,Yearly,Stocks,Stocks,2046938.0,8th edition transport model,Reference
road,passenger,bus,g,2017-12-31,07_INA,Yearly,Stocks,Stocks,441846.0,8th edition transport model,Reference
road,passenger,bus,phevd,2017-12-31,07_INA,Yearly,Stocks,Stocks,1133.0,8th edition transport model,Reference
road,freight,ht,bev,2017-12-31,08_JPN,Yearly,Stocks,Stocks,109.0,8th edition transport model,Reference
road,freight,ht,cng,2017-12-31,08_JPN,Yearly,Stocks,Stocks,5480.0,8th edition transport model,Reference
road,freight,ht,d,2017-12-31,08_JPN,Yearly,Stocks,Stocks,554125.0,8th edition transport model,Reference
road,freight,ht,g,2017-12-31,08_JPN,Yearly,Stocks,Stocks,1204916.0,8th edition transport model,Reference
road,freight,ht,lpg,2017-12-31,08_JPN,Yearly,Stocks,Stocks,2850.0,8th edition transport model,Reference
road,passenger,2w,g,2017-12-31,08_JPN,Yearly,Stocks,Stocks,11350901.0,8th edition transport model,Reference
road,passenger,bus,d,2017-12-31,08_JPN,Yearly,Stocks,Stocks,209356.0,8th edition transport model,Reference
road,passenger,bus,fcev,2017-12-31,08_JPN,Yearly,Stocks,Stocks,4.0,8th edition transport model,Reference
road,passenger,bus,g,2017-12-31,08_JPN,Yearly,Stocks,Stocks,13825.0,8th edition transport model,Reference
road,passenger,bus,lpg,2017-12-31,08_JPN,Yearly,Stocks,Stocks,110.0,8th edition transport model,Reference
road,freight,ht,d,2017-12-31,09_ROK,Yearly,Stocks,Stocks,2260544.0,8th edition transport model,Reference
road,freight,ht,lpg,2017-12-31,09_ROK,Yearly,Stocks,Stocks,166216.0,8th edition transport model,Reference
road,passenger,2w,g,2017-12-31,09_ROK,Yearly,Stocks,Stocks,2180688.0,8th edition transport model,Reference
road,passenger,bus,bev,2017-12-31,09_ROK,Yearly,Stocks,Stocks,132.0,8th edition transport model,Reference
road,passenger,bus,cng,2017-12-31,09_ROK,Yearly,Stocks,Stocks,39650.0,8th edition transport model,Reference
road,passenger,bus,d,2017-12-31,09_ROK,Yearly,Stocks,Stocks,6608.0,8th edition transport model,Reference
road,passenger,bus,g,2017-12-31,09_ROK,Yearly,Stocks,Stocks,6608.0,8th edition transport model,Reference
road,passenger,bus,lpg,2017-12-31,09_ROK,Yearly,Stocks,Stocks,3965.0,8th edition transport model,Reference
road,freight,ht,bev,2017-12-31,10_MAS,Yearly,Stocks,Stocks,195.0,8th edition transport model,Reference
road,freight,ht,cng,2017-12-31,10_MAS,Yearly,Stocks,Stocks,36164.0,8th edition transport model,Reference
road,freight,ht,d,2017-12-31,10_MAS,Yearly,Stocks,Stocks,1103976.0,8th edition transport model,Reference
road,freight,ht,g,2017-12-31,10_MAS,Yearly,Stocks,Stocks,109943.0,8th edition transport model,Reference
road,passenger,2w,bev,2017-12-31,10_MAS,Yearly,Stocks,Stocks,12659.0,8th edition transport model,Reference
road,passenger,2w,g,2017-12-31,10_MAS,Yearly,Stocks,Stocks,12563539.0,8th edition transport model,Reference
road,passenger,bus,cng,2017-12-31,10_MAS,Yearly,Stocks,Stocks,513.0,8th edition transport model,Reference
road,passenger,bus,d,2017-12-31,10_MAS,Yearly,Stocks,Stocks,15948.0,8th edition transport model,Reference
road,passenger,bus,g,2017-12-31,10_MAS,Yearly,Stocks,Stocks,51307.0,8th edition transport model,Reference
road,freight,ht,cng,2017-12-31,11_MEX,Yearly,Stocks,Stocks,68.0,8th edition transport model,Reference
road,freight,ht,d,2017-12-31,11_MEX,Yearly,Stocks,Stocks,456470.0,8th edition transport model,Reference
road,freight,ht,g,2017-12-31,11_MEX,Yearly,Stocks,Stocks,51544.0,8th edition transport model,Reference
road,passenger,2w,g,2017-12-31,11_MEX,Yearly,Stocks,Stocks,2734933.0,8th edition transport model,Reference
road,passenger,bus,cng,2017-12-31,11_MEX,Yearly,Stocks,Stocks,22963.0,8th edition transport model,Reference
road,passenger,bus,d,2017-12-31,11_MEX,Yearly,Stocks,Stocks,197585.0,8th edition transport model,Reference
road,passenger,bus,g,2017-12-31,11_MEX,Yearly,Stocks,Stocks,72098.0,8th edition transport model,Reference
road,passenger,bus,lpg,2017-12-31,11_MEX,Yearly,Stocks,Stocks,68889.0,8th edition transport model,Reference
road,freight,ht,cng,2017-12-31,12_NZ,Yearly,Stocks,Stocks,40.0,8th edition transport model,Reference
road,freight,ht,d,2017-12-31,12_NZ,Yearly,Stocks,Stocks,134535.0,8th edition transport model,Reference
road,freight,ht,g,2017-12-31,12_NZ,Yearly,Stocks,Stocks,3115.0,8th edition transport model,Reference
road,freight,ht,lpg,2017-12-31,12_NZ,Yearly,Stocks,Stocks,99.0,8th edition transport model,Reference
road,passenger,2w,bev,2017-12-31,12_NZ,Yearly,Stocks,Stocks,244.0,8th edition transport model,Reference
road,passenger,2w,g,2017-12-31,12_NZ,Yearly,Stocks,Stocks,162186.0,8th edition transport model,Reference
road,passenger,bus,bev,2017-12-31,12_NZ,Yearly,Stocks,Stocks,74.0,8th edition transport model,Reference
road,passenger,bus,cng,2017-12-31,12_NZ,Yearly,Stocks,Stocks,18.0,8th edition transport model,Reference
road,passenger,bus,d,2017-12-31,12_NZ,Yearly,Stocks,Stocks,10170.0,8th edition transport model,Reference
road,passenger,bus,g,2017-12-31,12_NZ,Yearly,Stocks,Stocks,221.0,8th edition transport model,Reference
road,passenger,bus,lpg,2017-12-31,12_NZ,Yearly,Stocks,Stocks,19.0,8th edition transport model,Reference
road,freight,ht,d,2017-12-31,13_PNG,Yearly,Stocks,Stocks,77617.0,8th edition transport model,Reference
road,freight,ht,g,2017-12-31,13_PNG,Yearly,Stocks,Stocks,8195.0,8th edition transport model,Reference
road,passenger,2w,g,2017-12-31,13_PNG,Yearly,Stocks,Stocks,10505.0,8th edition transport model,Reference
road,passenger,bus,d,2017-12-31,13_PNG,Yearly,Stocks,Stocks,117678.0,8th edition transport model,Reference
road,passenger,bus,g,2017-12-31,13_PNG,Yearly,Stocks,Stocks,12483.0,8th edition transport model,Reference
road,freight,ht,cng,2017-12-31,14_PE,Yearly,Stocks,Stocks,13585.0,8th edition transport model,Reference
road,freight,ht,d,2017-12-31,14_PE,Yearly,Stocks,Stocks,379568.0,8th edition transport model,Reference
road,freight,ht,g,2017-12-31,14_PE,Yearly,Stocks,Stocks,23395.0,8th edition transport model,Reference
road,freight,ht,lpg,2017-12-31,14_PE,Yearly,Stocks,Stocks,13585.0,8th edition transport model,Reference
road,passenger,2w,bev,2017-12-31,14_PE,Yearly,Stocks,Stocks,1099.0,8th edition transport model,Reference
road,passenger,2w,g,2017-12-31,14_PE,Yearly,Stocks,Stocks,219108.0,8th edition transport model,Reference
road,passenger,bus,cng,2017-12-31,14_PE,Yearly,Stocks,Stocks,3785.0,8th edition transport model,Reference
road,passenger,bus,d,2017-12-31,14_PE,Yearly,Stocks,Stocks,75707.0,8th edition transport model,Reference
road,passenger,bus,g,2017-12-31,14_PE,Yearly,Stocks,Stocks,27633.0,8th edition transport model,Reference
road,passenger,bus,lpg,2017-12-31,14_PE,Yearly,Stocks,Stocks,3785.0,8th edition transport model,Reference
road,freight,ht,d,2017-12-31,15_RP,Yearly,Stocks,Stocks,390519.0,8th edition transport model,Reference
road,freight,ht,g,2017-12-31,15_RP,Yearly,Stocks,Stocks,5743.0,8th edition transport model,Reference
road,passenger,2w,g,2017-12-31,15_RP,Yearly,Stocks,Stocks,6009720.0,8th edition transport model,Reference
road,passenger,bus,d,2017-12-31,15_RP,Yearly,Stocks,Stocks,3917.9999999999995,8th edition transport model,Reference
road,passenger,bus,g,2017-12-31,15_RP,Yearly,Stocks,Stocks,28969.0,8th edition transport model,Reference
road,freight,ht,cng,2017-12-31,16_RUS,Yearly,Stocks,Stocks,75803.0,8th edition transport model,Reference
road,freight,ht,d,2017-12-31,16_RUS,Yearly,Stocks,Stocks,1436036.0,8th edition transport model,Reference
road,freight,ht,g,2017-12-31,16_RUS,Yearly,Stocks,Stocks,892785.0,8th edition transport model,Reference
road,freight,ht,lpg,2017-12-31,16_RUS,Yearly,Stocks,Stocks,33690.0,8th edition transport model,Reference
road,passenger,2w,g,2017-12-31,16_RUS,Yearly,Stocks,Stocks,2262091.0,8th edition transport model,Reference
road,passenger,bus,cng,2017-12-31,16_RUS,Yearly,Stocks,Stocks,94911.0,8th edition transport model,Reference
road,passenger,bus,d,2017-12-31,16_RUS,Yearly,Stocks,Stocks,503206.00000000006,8th edition transport model,Reference
road,passenger,bus,g,2017-12-31,16_RUS,Yearly,Stocks,Stocks,158185.0,8th edition transport model,Reference
road,passenger,bus,lpg,2017-12-31,16_RUS,Yearly,Stocks,Stocks,39546.0,8th edition transport model,Reference
road,freight,ht,d,2017-12-31,17_SIN,Yearly,Stocks,Stocks,54763.0,8th edition transport model,Reference
road,freight,ht,g,2017-12-31,17_SIN,Yearly,Stocks,Stocks,340.0,8th edition transport model,Reference
road,passenger,2w,g,2017-12-31,17_SIN,Yearly,Stocks,Stocks,143050.0,8th edition transport model,Reference
road,passenger,bus,d,2017-12-31,17_SIN,Yearly,Stocks,Stocks,18020.0,8th edition transport model,Reference
road,passenger,bus,g,2017-12-31,17_SIN,Yearly,Stocks,Stocks,95.0,8th edition transport model,Reference
road,freight,ht,d,2017-12-31,18_CT,Yearly,Stocks,Stocks,178188.0,8th edition transport model,Reference
road,freight,ht,g,2017-12-31,18_CT,Yearly,Stocks,Stocks,52.0,8th edition transport model,Reference
road,passenger,2w,bev,2017-12-31,18_CT,Yearly,Stocks,Stocks,52035.0,8th edition transport model,Reference
road,passenger,2w,g,2017-12-31,18_CT,Yearly,Stocks,Stocks,13616192.0,8th edition transport model,Reference
road,passenger,bus,bev,2017-12-31,18_CT,Yearly,Stocks,Stocks,24.0,8th edition transport model,Reference
road,passenger,bus,d,2017-12-31,18_CT,Yearly,Stocks,Stocks,4802.0,8th edition transport model,Reference
road,passenger,bus,g,2017-12-31,18_CT,Yearly,Stocks,Stocks,28735.0,8th edition transport model,Reference
road,freight,ht,cng,2017-12-31,19_THA,Yearly,Stocks,Stocks,171112.0,8th edition transport model,Reference
road,freight,ht,d,2017-12-31,19_THA,Yearly,Stocks,Stocks,805020.0,8th edition transport model,Reference
road,freight,ht,g,2017-12-31,19_THA,Yearly,Stocks,Stocks,669.0,8th edition transport model,Reference
road,freight,ht,lpg,2017-12-31,19_THA,Yearly,Stocks,Stocks,63336.0,8th edition transport model,Reference
road,passenger,2w,bev,2017-12-31,19_THA,Yearly,Stocks,Stocks,53072.0,8th edition transport model,Reference
road,passenger,2w,g,2017-12-31,19_THA,Yearly,Stocks,Stocks,21176375.0,8th edition transport model,Reference
road,passenger,bus,bev,2017-12-31,19_THA,Yearly,Stocks,Stocks,13.0,8th edition transport model,Reference
road,passenger,bus,cng,2017-12-31,19_THA,Yearly,Stocks,Stocks,25691.0,8th edition transport model,Reference
road,passenger,bus,d,2017-12-31,19_THA,Yearly,Stocks,Stocks,91726.0,8th edition transport model,Reference
road,passenger,bus,g,2017-12-31,19_THA,Yearly,Stocks,Stocks,4124.0,8th edition transport model,Reference
road,passenger,bus,lpg,2017-12-31,19_THA,Yearly,Stocks,Stocks,17053.0,8th edition transport model,Reference
road,passenger,bus,phevd,2017-12-31,19_THA,Yearly,Stocks,Stocks,13.0,8th edition transport model,Reference
road,freight,ht,bev,2017-12-31,20_USA,Yearly,Stocks,Stocks,82.0,8th edition transport model,Reference
road,freight,ht,cng,2017-12-31,20_USA,Yearly,Stocks,Stocks,29825.0,8th edition transport model,Reference
road,freight,ht,d,2017-12-31,20_USA,Yearly,Stocks,Stocks,8765705.0,8th edition transport model,Reference
road,freight,ht,g,2017-12-31,20_USA,Yearly,Stocks,Stocks,2349469.0,8th edition transport model,Reference
road,freight,ht,lpg,2017-12-31,20_USA,Yearly,Stocks,Stocks,5369.0,8th edition transport model,Reference
road,passenger,2w,bev,2017-12-31,20_USA,Yearly,Stocks,Stocks,21634.0,8th edition transport model,Reference
road,passenger,2w,g,2017-12-31,20_USA,Yearly,Stocks,Stocks,8654389.0,8th edition transport model,Reference
road,passenger,bus,bev,2017-12-31,20_USA,Yearly,Stocks,Stocks,408.0,8th edition transport model,Reference
road,passenger,bus,cng,2017-12-31,20_USA,Yearly,Stocks,Stocks,40884.0,8th edition transport model,Reference
road,passenger,bus,d,2017-12-31,20_USA,Yearly,Stocks,Stocks,383497.0,8th edition transport model,Reference
road,passenger,bus,g,2017-12-31,20_USA,Yearly,Stocks,Stocks,25325.0,8th edition transport model,Reference
road,passenger,bus,lpg,2017-12-31,20_USA,Yearly,Stocks,Stocks,409.0,8th edition transport model,Reference
road,passenger,bus,phevd,2017-12-31,20_USA,Yearly,Stocks,Stocks,407.0,8th edition transport model,Reference
road,freight,ht,d,2017-12-31,21_VN,Yearly,Stocks,Stocks,916785.0,8th edition transport model,Reference
road,freight,ht,g,2017-12-31,21_VN,Yearly,Stocks,Stocks,9260.0,8th edition transport model,Reference
road,passenger,2w,bev,2017-12-31,21_VN,Yearly,Stocks,Stocks,28328.0,8th edition transport model,Reference
road,passenger,2w,g,2017-12-31,21_VN,Yearly,Stocks,Stocks,59620645.0,8th edition transport model,Reference
road,passenger,bus,cng,2017-12-31,21_VN,Yearly,Stocks,Stocks,253.00000000000003,8th edition transport model,Reference
road,passenger,bus,d,2017-12-31,21_VN,Yearly,Stocks,Stocks,94784.0,8th edition transport model,Reference
road,passenger,bus,g,2017-12-31,21_VN,Yearly,Stocks,Stocks,169972.0,8th edition transport model,Reference
road,passenger,bus,lpg,2017-12-31,21_VN,Yearly,Stocks,Stocks,253.00000000000003,8th edition transport model,Reference
road,freight,ht,cng,2017-12-31,01_AUS,Yearly,Stocks,Stocks,34.0,8th edition transport model,Carbon neutrality
road,freight,ht,d,2017-12-31,01_AUS,Yearly,Stocks,Stocks,636547.0,8th edition transport model,Carbon neutrality
road,freight,ht,g,2017-12-31,01_AUS,Yearly,Stocks,Stocks,21920.0,8th edition transport model,Carbon neutrality
road,freight,ht,lpg,2017-12-31,01_AUS,Yearly,Stocks,Stocks,2384.0,8th edition transport model,Carbon neutrality
road,passenger,2w,bev,2017-12-31,01_AUS,Yearly,Stocks,Stocks,156.0,8th edition transport model,Carbon neutrality
road,passenger,2w,g,2017-12-31,01_AUS,Yearly,Stocks,Stocks,828807.0,8th edition transport model,Carbon neutrality
road,passenger,bus,cng,2017-12-31,01_AUS,Yearly,Stocks,Stocks,0.0,8th edition transport model,Carbon neutrality
road,passenger,bus,d,2017-12-31,01_AUS,Yearly,Stocks,Stocks,25962.0,8th edition transport model,Carbon neutrality
road,passenger,bus,g,2017-12-31,01_AUS,Yearly,Stocks,Stocks,69220.0,8th edition transport model,Carbon neutrality
road,passenger,bus,lpg,2017-12-31,01_AUS,Yearly,Stocks,Stocks,1398.0,8th edition transport model,Carbon neutrality
road,freight,ht,d,2017-12-31,02_BD,Yearly,Stocks,Stocks,14423.0,8th edition transport model,Carbon neutrality
road,freight,ht,g,2017-12-31,02_BD,Yearly,Stocks,Stocks,547.0,8th edition transport model,Carbon neutrality
road,passenger,2w,bev,2017-12-31,02_BD,Yearly,Stocks,Stocks,231.0,8th edition transport model,Carbon neutrality
road,passenger,2w,g,2017-12-31,02_BD,Yearly,Stocks,Stocks,741004.0,8th edition transport model,Carbon neutrality
road,passenger,bus,d,2017-12-31,02_BD,Yearly,Stocks,Stocks,2724.0,8th edition transport model,Carbon neutrality
road,passenger,bus,g,2017-12-31,02_BD,Yearly,Stocks,Stocks,237.0,8th edition transport model,Carbon neutrality
road,freight,ht,cng,2017-12-31,03_CDA,Yearly,Stocks,Stocks,2164.0,8th edition transport model,Carbon neutrality
road,freight,ht,d,2017-12-31,03_CDA,Yearly,Stocks,Stocks,1400114.0,8th edition transport model,Carbon neutrality
road,freight,ht,g,2017-12-31,03_CDA,Yearly,Stocks,Stocks,750911.0,8th edition transport model,Carbon neutrality
road,freight,ht,lpg,2017-12-31,03_CDA,Yearly,Stocks,Stocks,12984.0,8th edition transport model,Carbon neutrality
road,passenger,2w,g,2017-12-31,03_CDA,Yearly,Stocks,Stocks,719819.0,8th edition transport model,Carbon neutrality
road,passenger,bus,bev,2017-12-31,03_CDA,Yearly,Stocks,Stocks,14336.0,8th edition transport model,Carbon neutrality
road,passenger,bus,cng,2017-12-31,03_CDA,Yearly,Stocks,Stocks,3657.0,8th edition transport model,Carbon neutrality
road,passenger,bus,d,2017-12-31,03_CDA,Yearly,Stocks,Stocks,71476.0,8th edition transport model,Carbon neutrality
road,passenger,bus,g,2017-12-31,03_CDA,Yearly,Stocks,Stocks,2244.0,8th edition transport model,Carbon neutrality
road,passenger,bus,lpg,2017-12-31,03_CDA,Yearly,Stocks,Stocks,82.0,8th edition transport model,Carbon neutrality
road,freight,ht,d,2017-12-31,04_CHL,Yearly,Stocks,Stocks,236918.0,8th edition transport model,Carbon neutrality
road,freight,ht,g,2017-12-31,04_CHL,Yearly,Stocks,Stocks,2369.0,8th edition transport model,Carbon neutrality
road,passenger,2w,g,2017-12-31,04_CHL,Yearly,Stocks,Stocks,176703.0,8th edition transport model,Carbon neutrality
road,passenger,bus,d,2017-12-31,04_CHL,Yearly,Stocks,Stocks,58291.0,8th edition transport model,Carbon neutrality
road,passenger,bus,g,2017-12-31,04_CHL,Yearly,Stocks,Stocks,583.0,8th edition transport model,Carbon neutrality
road,freight,ht,bev,2017-12-31,05_PRC,Yearly,Stocks,Stocks,67.0,8th edition transport model,Carbon neutrality
road,freight,ht,cng,2017-12-31,05_PRC,Yearly,Stocks,Stocks,85964.0,8th edition transport model,Carbon neutrality
road,freight,ht,d,2017-12-31,05_PRC,Yearly,Stocks,Stocks,6536296.0,8th edition transport model,Carbon neutrality
road,freight,ht,lpg,2017-12-31,05_PRC,Yearly,Stocks,Stocks,17193.0,8th edition transport model,Carbon neutrality
road,passenger,2w,bev,2017-12-31,05_PRC,Yearly,Stocks,Stocks,52359679.0,8th edition transport model,Carbon neutrality
road,passenger,2w,g,2017-12-31,05_PRC,Yearly,Stocks,Stocks,63995163.0,8th edition transport model,Carbon neutrality
road,passenger,bus,bev,2017-12-31,05_PRC,Yearly,Stocks,Stocks,202068.0,8th edition transport model,Carbon neutrality
road,passenger,bus,cng,2017-12-31,05_PRC,Yearly,Stocks,Stocks,202068.0,8th edition transport model,Carbon neutrality
road,passenger,bus,d,2017-12-31,05_PRC,Yearly,Stocks,Stocks,258108.0,8th edition transport model,Carbon neutrality
road,passenger,bus,g,2017-12-31,05_PRC,Yearly,Stocks,Stocks,115467.0,8th edition transport model,Carbon neutrality
road,passenger,bus,lpg,2017-12-31,05_PRC,Yearly,Stocks,Stocks,28867.0,8th edition transport model,Carbon neutrality
road,freight,ht,d,2017-12-31,06_HKC,Yearly,Stocks,Stocks,40065.0,8th edition transport model,Carbon neutrality
road,freight,ht,lpg,2017-12-31,06_HKC,Yearly,Stocks,Stocks,2839.0,8th edition transport model,Carbon neutrality
road,passenger,2w,bev,2017-12-31,06_HKC,Yearly,Stocks,Stocks,48.0,8th edition transport model,Carbon neutrality
road,passenger,2w,g,2017-12-31,06_HKC,Yearly,Stocks,Stocks,72282.0,8th edition transport model,Carbon neutrality
road,passenger,bus,bev,2017-12-31,06_HKC,Yearly,Stocks,Stocks,24.0,8th edition transport model,Carbon neutrality
road,passenger,bus,d,2017-12-31,06_HKC,Yearly,Stocks,Stocks,17464.0,8th edition transport model,Carbon neutrality
road,passenger,bus,lpg,2017-12-31,06_HKC,Yearly,Stocks,Stocks,3864.0,8th edition transport model,Carbon neutrality
road,freight,ht,cng,2017-12-31,07_INA,Yearly,Stocks,Stocks,3533.0,8th edition transport model,Carbon neutrality
road,freight,ht,d,2017-12-31,07_INA,Yearly,Stocks,Stocks,2127031.0,8th edition transport model,Carbon neutrality
road,freight,ht,g,2017-12-31,07_INA,Yearly,Stocks,Stocks,223774.0,8th edition transport model,Carbon neutrality
road,freight,ht,phevd,2017-12-31,07_INA,Yearly,Stocks,Stocks,1177.0,8th edition transport model,Carbon neutrality
road,passenger,2w,bev,2017-12-31,07_INA,Yearly,Stocks,Stocks,5343.0,8th edition transport model,Carbon neutrality
road,passenger,2w,g,2017-12-31,07_INA,Yearly,Stocks,Stocks,106893383.0,8th edition transport model,Carbon neutrality
road,passenger,bus,cng,2017-12-31,07_INA,Yearly,Stocks,Stocks,3400.0,8th edition transport model,Carbon neutrality
road,passenger,bus,d,2017-12-31,07_INA,Yearly,Stocks,Stocks,2046938.0,8th edition transport model,Carbon neutrality
road,passenger,bus,g,2017-12-31,07_INA,Yearly,Stocks,Stocks,441846.0,8th edition transport model,Carbon neutrality
road,passenger,bus,phevd,2017-12-31,07_INA,Yearly,Stocks,Stocks,1133.0,8th edition transport model,Carbon neutrality
road,freight,ht,bev,2017-12-31,08_JPN,Yearly,Stocks,Stocks,109.0,8th edition transport model,Carbon neutrality
road,freight,ht,cng,2017-12-31,08_JPN,Yearly,Stocks,Stocks,5480.0,8th edition transport model,Carbon neutrality
road,freight,ht,d,2017-12-31,08_JPN,Yearly,Stocks,Stocks,554125.0,8th edition transport model,Carbon neutrality
road,freight,ht,g,2017-12-31,08_JPN,Yearly,Stocks,Stocks,1204916.0,8th edition transport model,Carbon neutrality
road,freight,ht,lpg,2017-12-31,08_JPN,Yearly,Stocks,Stocks,2850.0,8th edition transport model,Carbon neutrality
