Economy,Year,Transport Type,Vehicle Type,Turnover_rate,Scenario
01_AUS,2035,passenger,bus,0.05,Reference
01_AUS,2035,passenger,lt,0.0699999999999999,Reference
01_AUS,2035,passenger,lv,0.09,Reference
01_AUS,2036,freight,ht,0.0699999999999999,Reference
01_AUS,2036,freight,lt,0.0699999999999999,Reference
01_AUS,2036,passenger,2w,0.11,Reference
01_AUS,2036,passenger,bus,0.05,Reference
01_AUS,2036,passenger,lt,0.0699999999999999,Reference
01_AUS,2036,passenger,lv,0.09,Reference
01_AUS,2037,freight,ht,0.0699999999999999,Reference
01_AUS,2037,freight,lt,0.0699999999999999,Reference
01_AUS,2037,passenger,2w,0.11,Reference
01_AUS,2037,passenger,bus,0.05,Reference
01_AUS,2037,passenger,lt,0.0699999999999999,Reference
01_AUS,2037,passenger,lv,0.09,Reference
01_AUS,2038,freight,ht,0.0699999999999999,Reference
01_AUS,2038,freight,lt,0.0699999999999999,Reference
01_AUS,2038,passenger,2w,0.11,Reference
01_AUS,2038,passenger,bus,0.05,Reference
01_AUS,2038,passenger,lt,0.0699999999999999,Reference
01_AUS,2038,passenger,lv,0.09,Reference
01_AUS,2039,freight,ht,0.0699999999999999,Reference
01_AUS,2039,freight,lt,0.0699999999999999,Reference
01_AUS,2039,passenger,2w,0.11,Reference
01_AUS,2039,passenger,bus,0.05,Reference
01_AUS,2039,passenger,lt,0.0699999999999999,Reference
01_AUS,2039,passenger,lv,0.09,Reference
01_AUS,2040,freight,ht,0.0699999999999999,Reference
01_AUS,2040,freight,lt,0.0699999999999999,Reference
01_AUS,2040,passenger,2w,0.11,Reference
01_AUS,2040,passenger,bus,0.05,Reference
01_AUS,2040,passenger,lt,0.0699999999999999,Reference
01_AUS,2040,passenger,lv,0.09,Reference
01_AUS,2041,freight,ht,0.0699999999999999,Reference
01_AUS,2041,freight,lt,0.0699999999999999,Reference
01_AUS,2041,passenger,2w,0.11,Reference
01_AUS,2041,passenger,bus,0.05,Reference
01_AUS,2041,passenger,lt,0.0699999999999999,Reference
01_AUS,2041,passenger,lv,0.09,Reference
