Economy,Year,Transport Type,Vehicle Type,Occupancy_or_load,Scenario
01_AUS,2007,freight,2w,0.05,Reference
01_AUS,2007,freight,ht,9.0,Reference
01_AUS,2007,freight,lt,0.4,Reference
01_AUS,2007,passenger,2w,1.5,Reference
01_AUS,2007,passenger,bus,8.55677546724477,Reference
01_AUS,2007,passenger,lt,1.15,Reference
01_AUS,2007,passenger,lv,1.6,Reference
01_AUS,2008,freight,2w,0.05,Reference
01_AUS,2008,freight,ht,9.0,Reference
01_AUS,2008,freight,lt,0.4,Reference
01_AUS,2008,passenger,2w,1.5,Reference
01_AUS,2008,passenger,bus,8.39300510860109,Reference
01_AUS,2008,passenger,lt,1.15,Reference
01_AUS,2008,passenger,lv,1.6,Reference
01_AUS,2009,freight,2w,0.05,Reference
01_AUS,2009,freight,ht,9.0,Reference
01_AUS,2009,freight,lt,0.4,Reference
01_AUS,2009,passenger,2w,1.5,Reference
01_AUS,2009,passenger,bus,8.16381333310035,Reference
01_AUS,2009,passenger,lt,1.15,Reference
01_AUS,2009,passenger,lv,1.6,Reference
01_AUS,2010,freight,2w,0.05,Reference
01_AUS,2010,freight,ht,9.0,Reference
01_AUS,2010,freight,lt,0.4,Reference
01_AUS,2010,passenger,2w,1.5,Reference
01_AUS,2010,passenger,bus,8.10284105483354,Reference
01_AUS,2010,passenger,lt,1.15,Reference
01_AUS,2010,passenger,lv,1.6,Reference
01_AUS,2011,freight,2w,0.05,Reference
01_AUS,2011,freight,ht,9.0,Reference
01_AUS,2011,freight,lt,0.4,Reference
01_AUS,2011,passenger,2w,1.5,Reference
01_AUS,2011,passenger,bus,8.12137849305228,Reference
01_AUS,2011,passenger,lt,1.15,Reference
01_AUS,2011,passenger,lv,1.6,Reference
01_AUS,2012,freight,2w,0.05,Reference
01_AUS,2012,freight,ht,9.0,Reference
01_AUS,2012,freight,lt,0.4,Reference
01_AUS,2012,passenger,2w,1.5,Reference
01_AUS,2012,passenger,bus,8.06886249596341,Reference
01_AUS,2012,passenger,lt,1.15,Reference
01_AUS,2012,passenger,lv,1.6,Reference
01_AUS,2013,freight,2w,0.05,Reference
01_AUS,2013,freight,ht,9.0,Reference
01_AUS,2013,freight,lt,0.4,Reference
01_AUS,2013,passenger,2w,1.5,Reference
01_AUS,2013,passenger,bus,8.00072121168894,Reference
01_AUS,2013,passenger,lt,1.15,Reference
01_AUS,2013,passenger,lv,1.6,Reference
01_AUS,2014,freight,2w,0.05,Reference
01_AUS,2014,freight,ht,9.0,Reference
01_AUS,2014,freight,lt,0.4,Reference
01_AUS,2014,passenger,2w,1.5,Reference
01_AUS,2014,passenger,bus,8.05521318374718,Reference
01_AUS,2014,passenger,lt,1.15,Reference
01_AUS,2014,passenger,lv,1.6,Reference
01_AUS,2015,freight,2w,0.05,Reference
01_AUS,2015,freight,ht,9.0,Reference
01_AUS,2015,freight,lt,0.4,Reference
01_AUS,2015,passenger,2w,1.5,Reference
01_AUS,2015,passenger,bus,8.01866061275072,Reference
01_AUS,2015,passenger,lt,1.15,Reference
01_AUS,2015,passenger,lv,1.6,Reference
01_AUS,2016,freight,2w,0.04975,Reference
01_AUS,2016,freight,ht,8.955,Reference
01_AUS,2016,freight,lt,0.398,Reference
01_AUS,2016,passenger,2w,1.4925,Reference
01_AUS,2016,passenger,bus,8.01346249845407,Reference
01_AUS,2016,passenger,lt,1.1385,Reference
01_AUS,2016,passenger,lv,1.592,Reference
02_BD,1990,freight,2w,0.05,Reference
02_BD,1990,freight,ht,6.0,Reference
02_BD,1990,freight,lt,0.25,Reference
02_BD,1990,passenger,2w,1.6,Reference
02_BD,1990,passenger,lt,1.8,Reference
02_BD,1990,passenger,lv,1.7,Reference
02_BD,1991,freight,2w,0.05,Reference
02_BD,1991,freight,ht,6.0,Reference
02_BD,1991,freight,lt,0.25,Reference
02_BD,1991,passenger,2w,1.6,Reference
02_BD,1991,passenger,lt,1.8,Reference
