Year,Economy,Scenario,Transport Type,Vehicle Type,Drive,New_vehicle_efficiency
2030,01_AUS,Carbon Neutral,freight,ht,d,0.127202623423038
2031,01_AUS,Carbon Neutral,freight,ht,d,0.12878085968078
2032,01_AUS,Carbon Neutral,freight,ht,d,0.130385712144343
2033,01_AUS,Carbon Neutral,freight,ht,d,0.132017792576538
2034,01_AUS,Carbon Neutral,freight,ht,d,0.13367773117555
2035,01_AUS,Carbon Neutral,freight,ht,d,0.135366177321707
2036,01_AUS,Carbon Neutral,freight,ht,d,0.137083800288622
2037,01_AUS,Carbon Neutral,freight,ht,d,0.13883129000411
2038,01_AUS,Carbon Neutral,freight,ht,d,0.140609357846075
2039,01_AUS,Carbon Neutral,freight,ht,d,0.141315937534743
2040,01_AUS,Carbon Neutral,freight,ht,d,0.142026067866145
2041,01_AUS,Carbon Neutral,freight,ht,d,0.142382022935314
2042,01_AUS,Carbon Neutral,freight,ht,d,0.142738870102287
2043,01_AUS,Carbon Neutral,freight,ht,d,0.143096611643293
2044,01_AUS,Carbon Neutral,freight,ht,d,0.143455249764317
2045,01_AUS,Carbon Neutral,freight,ht,d,0.143814786723286
2046,01_AUS,Carbon Neutral,freight,ht,d,0.144175224789666
2047,01_AUS,Carbon Neutral,freight,ht,d,0.144536566202829
2048,01_AUS,Carbon Neutral,freight,ht,d,0.144898813234134
2049,01_AUS,Carbon Neutral,freight,ht,d,0.145261968166495
2050,01_AUS,Carbon Neutral,freight,ht,d,0.145626033252111
2018,01_AUS,Carbon Neutral,freight,ht,fcev,0.160732331684246
2019,01_AUS,Carbon Neutral,freight,ht,fcev,0.161215979625818
2020,01_AUS,Carbon Neutral,freight,ht,fcev,0.161701082869656
2021,01_AUS,Carbon Neutral,freight,ht,fcev,0.161943998875144
2022,01_AUS,Carbon Neutral,freight,ht,fcev,0.162187279790575
2023,01_AUS,Carbon Neutral,freight,ht,fcev,0.162430926167431
2024,01_AUS,Carbon Neutral,freight,ht,fcev,0.16267493858535
2025,01_AUS,Carbon Neutral,freight,ht,fcev,0.162919317572907
2026,01_AUS,Carbon Neutral,freight,ht,fcev,0.163164063660077
2027,01_AUS,Carbon Neutral,freight,ht,fcev,0.16340917743165
2028,01_AUS,Carbon Neutral,freight,ht,fcev,0.163654659420915
2029,01_AUS,Carbon Neutral,freight,ht,fcev,0.163900510189458
2030,01_AUS,Carbon Neutral,freight,ht,fcev,0.16414673027369
2031,01_AUS,Carbon Neutral,freight,ht,fcev,0.16439332026553
2032,01_AUS,Carbon Neutral,freight,ht,fcev,0.164640280677696
2033,01_AUS,Carbon Neutral,freight,ht,fcev,0.164887612105628
2034,01_AUS,Carbon Neutral,freight,ht,fcev,0.165135315065101
2035,01_AUS,Carbon Neutral,freight,ht,fcev,0.165383390155127
2036,01_AUS,Carbon Neutral,freight,ht,fcev,0.165631837922022
2037,01_AUS,Carbon Neutral,freight,ht,fcev,0.165880658886118
2038,01_AUS,Carbon Neutral,freight,ht,fcev,0.166129853679355
2039,01_AUS,Carbon Neutral,freight,ht,fcev,0.166379422825492
2040,01_AUS,Carbon Neutral,freight,ht,fcev,0.166629366849526
2041,01_AUS,Carbon Neutral,freight,ht,fcev,0.166754432692927
2042,01_AUS,Carbon Neutral,freight,ht,fcev,0.166879592371496
2043,01_AUS,Carbon Neutral,freight,ht,fcev,0.167004846024374
2044,01_AUS,Carbon Neutral,freight,ht,fcev,0.167130193651554
2045,01_AUS,Carbon Neutral,freight,ht,fcev,0.167255635392585
2046,01_AUS,Carbon Neutral,freight,ht,fcev,0.167381171275472
2047,01_AUS,Carbon Neutral,freight,ht,fcev,0.167506801356127
2048,01_AUS,Carbon Neutral,freight,ht,fcev,0.167632525774782
2049,01_AUS,Carbon Neutral,freight,ht,fcev,0.167758344531479
2050,01_AUS,Carbon Neutral,freight,ht,fcev,0.167884257710497
2018,01_AUS,Carbon Neutral,freight,ht,g,0.119393432431045
2019,01_AUS,Carbon Neutral,freight,ht,g,0.120599426700644
2020,01_AUS,Carbon Neutral,freight,ht,g,0.121817602730742
2021,01_AUS,Carbon Neutral,freight,ht,g,0.122429751484661
2022,01_AUS,Carbon Neutral,freight,ht,g,0.12304497636074
2023,01_AUS,Carbon Neutral,freight,ht,g,0.123663292830217
2024,01_AUS,Carbon Neutral,freight,ht,g,0.124284716413668
2025,01_AUS,Carbon Neutral,freight,ht,g,0.126363839022859
2026,01_AUS,Carbon Neutral,freight,ht,g,0.130806971917212
2027,01_AUS,Carbon Neutral,freight,ht,g,0.135528190164494
2028,01_AUS,Carbon Neutral,freight,ht,g,0.140554122952503
2029,01_AUS,Carbon Neutral,freight,ht,g,0.14591490926424
2030,01_AUS,Carbon Neutral,freight,ht,g,0.151644795752866
2031,01_AUS,Carbon Neutral,freight,ht,g,0.157782861336101
2032,01_AUS,Carbon Neutral,freight,ht,g,0.164373900493528
2033,01_AUS,Carbon Neutral,freight,ht,g,0.171469507951118
2034,01_AUS,Carbon Neutral,freight,ht,g,0.179129419913197
2035,01_AUS,Carbon Neutral,freight,ht,g,0.187423185942631
2036,01_AUS,Carbon Neutral,freight,ht,g,0.196432270290313
2037,01_AUS,Carbon Neutral,freight,ht,g,0.206252717579361
2038,01_AUS,Carbon Neutral,freight,ht,g,0.216998567414951
2039,01_AUS,Carbon Neutral,freight,ht,g,0.228806275908305
2040,01_AUS,Carbon Neutral,freight,ht,g,0.241840508325048
2041,01_AUS,Carbon Neutral,freight,ht,g,0.255659465388134
2042,01_AUS,Carbon Neutral,freight,ht,g,0.271073142542996
2043,01_AUS,Carbon Neutral,freight,ht,g,0.271752523846535
2044,01_AUS,Carbon Neutral,freight,ht,g,0.289096907862259
2045,01_AUS,Carbon Neutral,freight,ht,g,0.289821461574847
2046,01_AUS,Carbon Neutral,freight,ht,g,0.290547831131624
2047,01_AUS,Carbon Neutral,freight,ht,g,0.291276021163375
2048,01_AUS,Carbon Neutral,freight,ht,g,0.292006036240154
2049,01_AUS,Carbon Neutral,freight,ht,g,0.292737880955151
2050,01_AUS,Carbon Neutral,freight,ht,g,0.293471559838855
2018,01_AUS,Carbon Neutral,freight,ht,lpg,0.0788075461853771
