Year,Economy,Scenario,Transport Type,Vehicle Type,Drive,New_vehicle_efficiency
2018,08_JPN,Carbon Neutral,freight,ht,lpg,0.112579293718375
2019,08_JPN,Carbon Neutral,freight,ht,lpg,0.113716458298932
2020,08_JPN,Carbon Neutral,freight,ht,lpg,0.114865109387847
2021,08_JPN,Carbon Neutral,freight,ht,lpg,0.115442320991478
2022,08_JPN,Carbon Neutral,freight,ht,lpg,0.116022433163928
2023,08_JPN,Carbon Neutral,freight,ht,lpg,0.116605460464355
2024,08_JPN,Carbon Neutral,freight,ht,lpg,0.117191417544288
2025,08_JPN,Carbon Neutral,freight,ht,lpg,0.116590618948926
2026,08_JPN,Carbon Neutral,freight,ht,lpg,0.117176501456551
2027,08_JPN,Carbon Neutral,freight,ht,lpg,0.117765328104109
2028,08_JPN,Carbon Neutral,freight,ht,lpg,0.11835711367065
2029,08_JPN,Carbon Neutral,freight,ht,lpg,0.118951873028189
2030,08_JPN,Carbon Neutral,freight,ht,lpg,0.119549621142647
2031,08_JPN,Carbon Neutral,freight,ht,lpg,0.119849244257949
2032,08_JPN,Carbon Neutral,freight,ht,lpg,0.120149618301868
2033,08_JPN,Carbon Neutral,freight,ht,lpg,0.120450745160717
2034,08_JPN,Carbon Neutral,freight,ht,lpg,0.120752626730379
2035,08_JPN,Carbon Neutral,freight,ht,lpg,0.121055264887116
2036,08_JPN,Carbon Neutral,freight,ht,lpg,0.121358661545865
2037,08_JPN,Carbon Neutral,freight,ht,lpg,0.121662818587091
2038,08_JPN,Carbon Neutral,freight,ht,lpg,0.121967737930173
2039,08_JPN,Carbon Neutral,freight,ht,lpg,0.122273421489415
2040,08_JPN,Carbon Neutral,freight,ht,lpg,0.122579871158768
2041,08_JPN,Carbon Neutral,freight,ht,lpg,0.122887088886709
2042,08_JPN,Carbon Neutral,freight,ht,lpg,0.123195076586426
2043,08_JPN,Carbon Neutral,freight,ht,lpg,0.123503836165314
2044,08_JPN,Carbon Neutral,freight,ht,lpg,0.123813369586029
2045,08_JPN,Carbon Neutral,freight,ht,lpg,0.124123678790729
2046,08_JPN,Carbon Neutral,freight,ht,lpg,0.124434765700423
2047,08_JPN,Carbon Neutral,freight,ht,lpg,0.124746632292136
2048,08_JPN,Carbon Neutral,freight,ht,lpg,0.125059280490711
2049,08_JPN,Carbon Neutral,freight,ht,lpg,0.125372712261683
2050,08_JPN,Carbon Neutral,freight,ht,lpg,0.125686929596389
2018,08_JPN,Carbon Neutral,freight,ht,phevd,0.12793101558448
2019,08_JPN,Carbon Neutral,freight,ht,phevd,0.129223248057617
2020,08_JPN,Carbon Neutral,freight,ht,phevd,0.130528533405503
2021,08_JPN,Carbon Neutral,freight,ht,phevd,0.131184455670069
2022,08_JPN,Carbon Neutral,freight,ht,phevd,0.13184367404366
2023,08_JPN,Carbon Neutral,freight,ht,phevd,0.13250620507875
2024,08_JPN,Carbon Neutral,freight,ht,phevd,0.133172065406843
2025,08_JPN,Carbon Neutral,freight,ht,phevd,0.132489339725221
2026,08_JPN,Carbon Neutral,freight,ht,phevd,0.13315511529579
2027,08_JPN,Carbon Neutral,freight,ht,phevd,0.133824236479793
2028,08_JPN,Carbon Neutral,freight,ht,phevd,0.134496720081008
2029,08_JPN,Carbon Neutral,freight,ht,phevd,0.135172583000464
2030,08_JPN,Carbon Neutral,freight,ht,phevd,0.135851842200172
2031,08_JPN,Carbon Neutral,freight,ht,phevd,0.136192323018171
2032,08_JPN,Carbon Neutral,freight,ht,phevd,0.136533657153011
2033,08_JPN,Carbon Neutral,freight,ht,phevd,0.136875846780287
2034,08_JPN,Carbon Neutral,freight,ht,phevd,0.137218894011795
2035,08_JPN,Carbon Neutral,freight,ht,phevd,0.137562801007329
2036,08_JPN,Carbon Neutral,freight,ht,phevd,0.137907569937722
2037,08_JPN,Carbon Neutral,freight,ht,phevd,0.138253202946757
2038,08_JPN,Carbon Neutral,freight,ht,phevd,0.138599702188768
2039,08_JPN,Carbon Neutral,freight,ht,phevd,0.138947069867385
2040,08_JPN,Carbon Neutral,freight,ht,phevd,0.139295308139621
2041,08_JPN,Carbon Neutral,freight,ht,phevd,0.139644419192562
2042,08_JPN,Carbon Neutral,freight,ht,phevd,0.139994405204792
2043,08_JPN,Carbon Neutral,freight,ht,phevd,0.140345268365735
2044,08_JPN,Carbon Neutral,freight,ht,phevd,0.140697010895591
2045,08_JPN,Carbon Neutral,freight,ht,phevd,0.141049634986281
2046,08_JPN,Carbon Neutral,freight,ht,phevd,0.141403142840591
2047,08_JPN,Carbon Neutral,freight,ht,phevd,0.141757536692394
2048,08_JPN,Carbon Neutral,freight,ht,phevd,0.142112818726519
2049,08_JPN,Carbon Neutral,freight,ht,phevd,0.142468991219449
2050,08_JPN,Carbon Neutral,freight,ht,phevd,0.142826056357902
2018,08_JPN,Reference,freight,ht,bev,0.278626715912473
2019,08_JPN,Reference,freight,ht,bev,0.28002685016329
2020,08_JPN,Reference,freight,ht,bev,0.281434020264613
2021,08_JPN,Reference,freight,ht,bev,0.282139368686329
2022,08_JPN,Reference,freight,ht,bev,0.282846484898575
2023,08_JPN,Reference,freight,ht,bev,0.283555373331905
2024,08_JPN,Reference,freight,ht,bev,0.284266038427975
2025,08_JPN,Reference,freight,ht,bev,0.284978484639574
2026,08_JPN,Reference,freight,ht,bev,0.28569271643065
2027,08_JPN,Reference,freight,ht,bev,0.286408738276341
2028,08_JPN,Reference,freight,ht,bev,0.287126554662999
2029,08_JPN,Reference,freight,ht,bev,0.287846170088219
2030,08_JPN,Reference,freight,ht,bev,0.288567589060871
2031,08_JPN,Reference,freight,ht,bev,0.288567589060871
2032,08_JPN,Reference,freight,ht,bev,0.288567589060871
2033,08_JPN,Reference,freight,ht,bev,0.288567589060871
2034,08_JPN,Reference,freight,ht,bev,0.288567589060871
2035,08_JPN,Reference,freight,ht,bev,0.288567589060871
2036,08_JPN,Reference,freight,ht,bev,0.288567589060871
2037,08_JPN,Reference,freight,ht,bev,0.288567589060871
2038,08_JPN,Reference,freight,ht,bev,0.288567589060871
2039,08_JPN,Reference,freight,ht,bev,0.288567589060871
2040,08_JPN,Reference,freight,ht,bev,0.288567589060871
2041,08_JPN,Reference,freight,ht,bev,0.288567589060871
2042,08_JPN,Reference,freight,ht,bev,0.288567589060871
2043,08_JPN,Reference,freight,ht,bev,0.288567589060871
2044,08_JPN,Reference,freight,ht,bev,0.288567589060871
2045,08_JPN,Reference,freight,ht,bev,0.288567589060871
2046,08_JPN,Reference,freight,ht,bev,0.288567589060871
2047,08_JPN,Reference,freight,ht,bev,0.288567589060871
2048,08_JPN,Reference,freight,ht,bev,0.288567589060871
2049,08_JPN,Reference,freight,ht,bev,0.288567589060871
2050,08_JPN,Reference,freight,ht,bev,0.288567589060871
2018,08_JPN,Reference,freight,ht,cng,0.102344812466723
2019,08_JPN,Reference,freight,ht,cng,0.103378598451235
2020,08_JPN,Reference,freight,ht,cng,0.104422826718419
2021,08_JPN,Reference,freight,ht,cng,0.104947564541125
2022,08_JPN,Reference,freight,ht,cng,0.105474939237311
2023,08_JPN,Reference,freight,ht,cng,0.106004964057599
2024,08_JPN,Reference,freight,ht,cng,0.106537652319195
2025,08_JPN,Reference,freight,ht,cng,0.107073017406226
2026,08_JPN,Reference,freight,ht,cng,0.107611072770077
2027,08_JPN,Reference,freight,ht,cng,0.108151831929725
2028,08_JPN,Reference,freight,ht,cng,0.108695308472086
2029,08_JPN,Reference,freight,ht,cng,0.109241516052348
2030,08_JPN,Reference,freight,ht,cng,0.109790468394319
2031,08_JPN,Reference,freight,ht,cng,0.109790468394319
2032,08_JPN,Reference,freight,ht,cng,0.109790468394319
2033,08_JPN,Reference,freight,ht,cng,0.109790468394319
2034,08_JPN,Reference,freight,ht,cng,0.109790468394319
2035,08_JPN,Reference,freight,ht,cng,0.109790468394319
2036,08_JPN,Reference,freight,ht,cng,0.109790468394319
2037,08_JPN,Reference,freight,ht,cng,0.109790468394319
2038,08_JPN,Reference,freight,ht,cng,0.109790468394319
2039,08_JPN,Reference,freight,ht,cng,0.109790468394319
2040,08_JPN,Reference,freight,ht,cng,0.109790468394319
2041,08_JPN,Reference,freight,ht,cng,0.109790468394319
2042,08_JPN,Reference,freight,ht,cng,0.109790468394319
2043,08_JPN,Reference,freight,ht,cng,0.109790468394319
2044,08_JPN,Reference,freight,ht,cng,0.109790468394319
2045,08_JPN,Reference,freight,ht,cng,0.109790468394319
2046,08_JPN,Reference,freight,ht,cng,0.109790468394319
2047,08_JPN,Reference,freight,ht,cng,0.109790468394319
2048,08_JPN,Reference,freight,ht,cng,0.109790468394319
2049,08_JPN,Reference,freight,ht,cng,0.109790468394319
2050,08_JPN,Reference,freight,ht,cng,0.109790468394319
2018,08_JPN,Reference,freight,ht,d,0.0804137812238538
2019,08_JPN,Reference,freight,ht,d,0.0812260416402564
2020,08_JPN,Reference,freight,ht,d,0.0820465067073297
2021,08_JPN,Reference,freight,ht,d,0.0824588007108841
2022,08_JPN,Reference,freight,ht,d,0.0828731665436021
2023,08_JPN,Reference,freight,ht,d,0.0832896146166855
2024,08_JPN,Reference,freight,ht,d,0.0837081553936538
2025,08_JPN,Reference,freight,ht,d,0.0841287993906068
2026,08_JPN,Reference,freight,ht,d,0.0845515571764893
2027,08_JPN,Reference,freight,ht,d,0.0849764393733561
2028,08_JPN,Reference,freight,ht,d,0.0854034566566393
2029,08_JPN,Reference,freight,ht,d,0.0858326197554163
2030,08_JPN,Reference,freight,ht,d,0.0862639394526798
2031,08_JPN,Reference,freight,ht,d,0.0862639394526798
2032,08_JPN,Reference,freight,ht,d,0.0862639394526798
2033,08_JPN,Reference,freight,ht,d,0.0862639394526798
2034,08_JPN,Reference,freight,ht,d,0.0862639394526798
2035,08_JPN,Reference,freight,ht,d,0.0862639394526798
2036,08_JPN,Reference,freight,ht,d,0.0862639394526798
2037,08_JPN,Reference,freight,ht,d,0.0862639394526798
2038,08_JPN,Reference,freight,ht,d,0.0862639394526798
2039,08_JPN,Reference,freight,ht,d,0.0862639394526798
2040,08_JPN,Reference,freight,ht,d,0.0862639394526798
2041,08_JPN,Reference,freight,ht,d,0.0862639394526798
2042,08_JPN,Reference,freight,ht,d,0.0862639394526798
2043,08_JPN,Reference,freight,ht,d,0.0862639394526798
2044,08_JPN,Reference,freight,ht,d,0.0862639394526798
2045,08_JPN,Reference,freight,ht,d,0.0862639394526798
2046,08_JPN,Reference,freight,ht,d,0.0862639394526798
2047,08_JPN,Reference,freight,ht,d,0.0862639394526798
2048,08_JPN,Reference,freight,ht,d,0.0862639394526798
2049,08_JPN,Reference,freight,ht,d,0.0862639394526798
2050,08_JPN,Reference,freight,ht,d,0.0862639394526798
2018,08_JPN,Reference,freight,ht,fcev,0.15324469375186
2019,08_JPN,Reference,freight,ht,fcev,0.154014767589809
2020,08_JPN,Reference,freight,ht,fcev,0.154788711145537
2021,08_JPN,Reference,freight,ht,fcev,0.155176652777481
2022,08_JPN,Reference,freight,ht,fcev,0.155565566694216
2023,08_JPN,Reference,freight,ht,fcev,0.155955455332548
2024,08_JPN,Reference,freight,ht,fcev,0.156346321135386
2025,08_JPN,Reference,freight,ht,fcev,0.156738166551765
2026,08_JPN,Reference,freight,ht,fcev,0.157130994036858
2027,08_JPN,Reference,freight,ht,fcev,0.157524806051988
2028,08_JPN,Reference,freight,ht,fcev,0.157919605064649
2029,08_JPN,Reference,freight,ht,fcev,0.15831539354852
2030,08_JPN,Reference,freight,ht,fcev,0.158712173983479
2031,08_JPN,Reference,freight,ht,fcev,0.158712173983479
2032,08_JPN,Reference,freight,ht,fcev,0.158712173983479
2033,08_JPN,Reference,freight,ht,fcev,0.158712173983479
2034,08_JPN,Reference,freight,ht,fcev,0.158712173983479
2035,08_JPN,Reference,freight,ht,fcev,0.158712173983479
2036,08_JPN,Reference,freight,ht,fcev,0.158712173983479
2037,08_JPN,Reference,freight,ht,fcev,0.158712173983479
2038,08_JPN,Reference,freight,ht,fcev,0.158712173983479
2039,08_JPN,Reference,freight,ht,fcev,0.158712173983479
2040,08_JPN,Reference,freight,ht,fcev,0.158712173983479
2041,08_JPN,Reference,freight,ht,fcev,0.158712173983479
2042,08_JPN,Reference,freight,ht,fcev,0.158712173983479
2043,08_JPN,Reference,freight,ht,fcev,0.158712173983479
2044,08_JPN,Reference,freight,ht,fcev,0.158712173983479
2045,08_JPN,Reference,freight,ht,fcev,0.158712173983479
2046,08_JPN,Reference,freight,ht,fcev,0.158712173983479
2047,08_JPN,Reference,freight,ht,fcev,0.158712173983479
2048,08_JPN,Reference,freight,ht,fcev,0.158712173983479
2049,08_JPN,Reference,freight,ht,fcev,0.158712173983479
2050,08_JPN,Reference,freight,ht,fcev,0.158712173983479
2018,08_JPN,Reference,freight,ht,g,0.112579293713395
2019,08_JPN,Reference,freight,ht,g,0.113716458296358
2020,08_JPN,Reference,freight,ht,g,0.114865109390261
2021,08_JPN,Reference,freight,ht,g,0.115442320995237
2022,08_JPN,Reference,freight,ht,g,0.116022433161042
2023,08_JPN,Reference,freight,ht,g,0.116605460463359
2024,08_JPN,Reference,freight,ht,g,0.117191417551115
2025,08_JPN,Reference,freight,ht,g,0.117780319146849
2026,08_JPN,Reference,freight,ht,g,0.118372180047085
2027,08_JPN,Reference,freight,ht,g,0.118967015122698
2028,08_JPN,Reference,freight,ht,g,0.119564839319294
2029,08_JPN,Reference,freight,ht,g,0.120165667657582
2030,08_JPN,Reference,freight,ht,g,0.120769515233751
2031,08_JPN,Reference,freight,ht,g,0.120769515233751
2032,08_JPN,Reference,freight,ht,g,0.120769515233751
2033,08_JPN,Reference,freight,ht,g,0.120769515233751
2034,08_JPN,Reference,freight,ht,g,0.120769515233751
2035,08_JPN,Reference,freight,ht,g,0.120769515233751
2036,08_JPN,Reference,freight,ht,g,0.120769515233751
2037,08_JPN,Reference,freight,ht,g,0.120769515233751
2038,08_JPN,Reference,freight,ht,g,0.120769515233751
2039,08_JPN,Reference,freight,ht,g,0.120769515233751
2040,08_JPN,Reference,freight,ht,g,0.120769515233751
2041,08_JPN,Reference,freight,ht,g,0.120769515233751
2042,08_JPN,Reference,freight,ht,g,0.120769515233751
2043,08_JPN,Reference,freight,ht,g,0.120769515233751
2044,08_JPN,Reference,freight,ht,g,0.120769515233751
2045,08_JPN,Reference,freight,ht,g,0.120769515233751
2046,08_JPN,Reference,freight,ht,g,0.120769515233751
2047,08_JPN,Reference,freight,ht,g,0.120769515233751
2048,08_JPN,Reference,freight,ht,g,0.120769515233751
2049,08_JPN,Reference,freight,ht,g,0.120769515233751
2050,08_JPN,Reference,freight,ht,g,0.120769515233751
2018,08_JPN,Reference,freight,ht,lpg,0.112579293713395
2019,08_JPN,Reference,freight,ht,lpg,0.113716458296358
2020,08_JPN,Reference,freight,ht,lpg,0.114865109390261
2021,08_JPN,Reference,freight,ht,lpg,0.115442320995237
2022,08_JPN,Reference,freight,ht,lpg,0.116022433161042
2023,08_JPN,Reference,freight,ht,lpg,0.116605460463359
2024,08_JPN,Reference,freight,ht,lpg,0.117191417551115
2025,08_JPN,Reference,freight,ht,lpg,0.117780319146849
2026,08_JPN,Reference,freight,ht,lpg,0.118372180047085
2027,08_JPN,Reference,freight,ht,lpg,0.118967015122698
2028,08_JPN,Reference,freight,ht,lpg,0.119564839319294
2029,08_JPN,Reference,freight,ht,lpg,0.120165667657582
2030,08_JPN,Reference,freight,ht,lpg,0.120769515233751
2031,08_JPN,Reference,freight,ht,lpg,0.120769515233751
2032,08_JPN,Reference,freight,ht,lpg,0.120769515233751
2033,08_JPN,Reference,freight,ht,lpg,0.120769515233751
2034,08_JPN,Reference,freight,ht,lpg,0.120769515233751
2035,08_JPN,Reference,freight,ht,lpg,0.120769515233751
2036,08_JPN,Reference,freight,ht,lpg,0.120769515233751
2037,08_JPN,Reference,freight,ht,lpg,0.120769515233751
2038,08_JPN,Reference,freight,ht,lpg,0.120769515233751
2039,08_JPN,Reference,freight,ht,lpg,0.120769515233751
2040,08_JPN,Reference,freight,ht,lpg,0.120769515233751
2041,08_JPN,Reference,freight,ht,lpg,0.120769515233751
2042,08_JPN,Reference,freight,ht,lpg,0.120769515233751
2043,08_JPN,Reference,freight,ht,lpg,0.120769515233751
2044,08_JPN,Reference,freight,ht,lpg,0.120769515233751
2045,08_JPN,Reference,freight,ht,lpg,0.120769515233751
2046,08_JPN,Reference,freight,ht,lpg,0.120769515233751
2047,08_JPN,Reference,freight,ht,lpg,0.120769515233751
2048,08_JPN,Reference,freight,ht,lpg,0.120769515233751
2049,08_JPN,Reference,freight,ht,lpg,0.120769515233751
2050,08_JPN,Reference,freight,ht,lpg,0.120769515233751
2018,08_JPN,Reference,freight,ht,phevd,0.127931015583403
2019,08_JPN,Reference,freight,ht,phevd,0.129223248064044
2020,08_JPN,Reference,freight,ht,phevd,0.130528533398024
2021,08_JPN,Reference,freight,ht,phevd,0.131184455676406
2022,08_JPN,Reference,freight,ht,phevd,0.131843674046639
2023,08_JPN,Reference,freight,ht,phevd,0.132506205071999
2024,08_JPN,Reference,freight,ht,phevd,0.133172065398994
2025,08_JPN,Reference,freight,ht,phevd,0.133841271757783
2026,08_JPN,Reference,freight,ht,phevd,0.134513840962596
2027,08_JPN,Reference,freight,ht,phevd,0.135189789912157
2028,08_JPN,Reference,freight,ht,phevd,0.135869135590107
2029,08_JPN,Reference,freight,ht,phevd,0.136551895065435
2030,08_JPN,Reference,freight,ht,phevd,0.137238085492899
2031,08_JPN,Reference,freight,ht,phevd,0.137238085492899
2032,08_JPN,Reference,freight,ht,phevd,0.137238085492899
2033,08_JPN,Reference,freight,ht,phevd,0.137238085492899
2034,08_JPN,Reference,freight,ht,phevd,0.137238085492899
2035,08_JPN,Reference,freight,ht,phevd,0.137238085492899
2036,08_JPN,Reference,freight,ht,phevd,0.137238085492899
2037,08_JPN,Reference,freight,ht,phevd,0.137238085492899
2038,08_JPN,Reference,freight,ht,phevd,0.137238085492899
2039,08_JPN,Reference,freight,ht,phevd,0.137238085492899
2040,08_JPN,Reference,freight,ht,phevd,0.137238085492899
2041,08_JPN,Reference,freight,ht,phevd,0.137238085492899
2042,08_JPN,Reference,freight,ht,phevd,0.137238085492899
2043,08_JPN,Reference,freight,ht,phevd,0.137238085492899
2044,08_JPN,Reference,freight,ht,phevd,0.137238085492899
2045,08_JPN,Reference,freight,ht,phevd,0.137238085492899
2046,08_JPN,Reference,freight,ht,phevd,0.137238085492899
2047,08_JPN,Reference,freight,ht,phevd,0.137238085492899
2048,08_JPN,Reference,freight,ht,phevd,0.137238085492899
2049,08_JPN,Reference,freight,ht,phevd,0.137238085492899
2050,08_JPN,Reference,freight,ht,phevd,0.137238085492899
2018,09_ROK,Carbon Neutral,freight,ht,bev,0.277542043973453
2019,09_ROK,Carbon Neutral,freight,ht,bev,0.278936727648468
2020,09_ROK,Carbon Neutral,freight,ht,bev,0.280338419740917
2021,09_ROK,Carbon Neutral,freight,ht,bev,0.281041022295869
2022,09_ROK,Carbon Neutral,freight,ht,bev,0.281745385797777
2023,09_ROK,Carbon Neutral,freight,ht,bev,0.28245151452201
2024,09_ROK,Carbon Neutral,freight,ht,bev,0.283159413084112
2025,09_ROK,Carbon Neutral,freight,ht,bev,0.283869085803444
2026,09_ROK,Carbon Neutral,freight,ht,bev,0.284580537181336
2027,09_ROK,Carbon Neutral,freight,ht,bev,0.28529377157984
2028,09_ROK,Carbon Neutral,freight,ht,bev,0.286008793545139
2029,09_ROK,Carbon Neutral,freight,ht,bev,0.286725607565283
2030,09_ROK,Carbon Neutral,freight,ht,bev,0.287444218151045
2031,09_ROK,Carbon Neutral,freight,ht,bev,0.287444218151045
2032,09_ROK,Carbon Neutral,freight,ht,bev,0.287444218151045
2033,09_ROK,Carbon Neutral,freight,ht,bev,0.287444218151045
2034,09_ROK,Carbon Neutral,freight,ht,bev,0.287444218151045
2035,09_ROK,Carbon Neutral,freight,ht,bev,0.287444218151045
2036,09_ROK,Carbon Neutral,freight,ht,bev,0.287444218151045
2037,09_ROK,Carbon Neutral,freight,ht,bev,0.287444218151045
2038,09_ROK,Carbon Neutral,freight,ht,bev,0.287444218151045
2039,09_ROK,Carbon Neutral,freight,ht,bev,0.287444218151045
2040,09_ROK,Carbon Neutral,freight,ht,bev,0.287444218151045
2041,09_ROK,Carbon Neutral,freight,ht,bev,0.287444218151045
2042,09_ROK,Carbon Neutral,freight,ht,bev,0.287444218151045
2043,09_ROK,Carbon Neutral,freight,ht,bev,0.287444218151045
2044,09_ROK,Carbon Neutral,freight,ht,bev,0.287444218151045
2045,09_ROK,Carbon Neutral,freight,ht,bev,0.287444218151045
2046,09_ROK,Carbon Neutral,freight,ht,bev,0.287444218151045
2047,09_ROK,Carbon Neutral,freight,ht,bev,0.287444218151045
2048,09_ROK,Carbon Neutral,freight,ht,bev,0.287444218151045
2049,09_ROK,Carbon Neutral,freight,ht,bev,0.287444218151045
2050,09_ROK,Carbon Neutral,freight,ht,bev,0.287444218151045
2018,09_ROK,Carbon Neutral,freight,ht,cng,0.112707400221581
2019,09_ROK,Carbon Neutral,freight,ht,cng,0.113845858801124
2020,09_ROK,Carbon Neutral,freight,ht,cng,0.114995816977709
2021,09_ROK,Carbon Neutral,freight,ht,cng,0.115573685399256
2022,09_ROK,Carbon Neutral,freight,ht,cng,0.116154457684996
2023,09_ROK,Carbon Neutral,freight,ht,cng,0.116738148427336
2024,09_ROK,Carbon Neutral,freight,ht,cng,0.117324772298003
2025,09_ROK,Carbon Neutral,freight,ht,cng,0.117914344020526
2026,09_ROK,Carbon Neutral,freight,ht,cng,0.118506878411255
2027,09_ROK,Carbon Neutral,freight,ht,cng,0.119102390351935
2028,09_ROK,Carbon Neutral,freight,ht,cng,0.119700894832226
2029,09_ROK,Carbon Neutral,freight,ht,cng,0.120302406864533
2030,09_ROK,Carbon Neutral,freight,ht,cng,0.120906941569033
2031,09_ROK,Carbon Neutral,freight,ht,cng,0.121209966495604
2032,09_ROK,Carbon Neutral,freight,ht,cng,0.121513750863262
2033,09_ROK,Carbon Neutral,freight,ht,cng,0.1218182966162
2034,09_ROK,Carbon Neutral,freight,ht,cng,0.122123605619538
2035,09_ROK,Carbon Neutral,freight,ht,cng,0.122429679822083
2036,09_ROK,Carbon Neutral,freight,ht,cng,0.122736521122749
2037,09_ROK,Carbon Neutral,freight,ht,cng,0.123044131460007
2038,09_ROK,Carbon Neutral,freight,ht,cng,0.123352512736688
2039,09_ROK,Carbon Neutral,freight,ht,cng,0.123661666910715
2040,09_ROK,Carbon Neutral,freight,ht,cng,0.123971595888786
2041,09_ROK,Carbon Neutral,freight,ht,cng,0.124282301648531
2042,09_ROK,Carbon Neutral,freight,ht,cng,0.124593786115989
2043,09_ROK,Carbon Neutral,freight,ht,cng,0.124906051242188
2044,09_ROK,Carbon Neutral,freight,ht,cng,0.125219098987976
2045,09_ROK,Carbon Neutral,freight,ht,cng,0.125532931324146
2046,09_ROK,Carbon Neutral,freight,ht,cng,0.125847550199883
2047,09_ROK,Carbon Neutral,freight,ht,cng,0.126162957589848
2048,09_ROK,Carbon Neutral,freight,ht,cng,0.126479155478705
2049,09_ROK,Carbon Neutral,freight,ht,cng,0.126796145845162
2050,09_ROK,Carbon Neutral,freight,ht,cng,0.127113930661702
2018,09_ROK,Carbon Neutral,freight,ht,d,0.125230444681236
2019,09_ROK,Carbon Neutral,freight,ht,d,0.126495398671116
2020,09_ROK,Carbon Neutral,freight,ht,d,0.127773129971967
2021,09_ROK,Carbon Neutral,freight,ht,d,0.128415205999173
2022,09_ROK,Carbon Neutral,freight,ht,d,0.129060508543882
2023,09_ROK,Carbon Neutral,freight,ht,d,0.129709053814881
2024,09_ROK,Carbon Neutral,freight,ht,d,0.130360858100395
2025,09_ROK,Carbon Neutral,freight,ht,d,0.131674309333702
2026,09_ROK,Carbon Neutral,freight,ht,d,0.133273592450407
2027,09_ROK,Carbon Neutral,freight,ht,d,0.13489907164021
2028,09_ROK,Carbon Neutral,freight,ht,d,0.136551328802999
2029,09_ROK,Carbon Neutral,freight,ht,d,0.138230962725237
2030,09_ROK,Carbon Neutral,freight,ht,d,0.139938589785866
2031,09_ROK,Carbon Neutral,freight,ht,d,0.141319769719226
2032,09_ROK,Carbon Neutral,freight,ht,d,0.142722281963137
2033,09_ROK,Carbon Neutral,freight,ht,d,0.144146605866892
2034,09_ROK,Carbon Neutral,freight,ht,d,0.145593235134957
2035,09_ROK,Carbon Neutral,freight,ht,d,0.147062678474751
2036,09_ROK,Carbon Neutral,freight,ht,d,0.148555460083566
2037,09_ROK,Carbon Neutral,freight,ht,d,0.15007212033145
2038,09_ROK,Carbon Neutral,freight,ht,d,0.15161321625281
2039,09_ROK,Carbon Neutral,freight,ht,d,0.151993199235748
2040,09_ROK,Carbon Neutral,freight,ht,d,0.152374134587502
2041,09_ROK,Carbon Neutral,freight,ht,d,0.152756024647317
2042,09_ROK,Carbon Neutral,freight,ht,d,0.153138871812403
2043,09_ROK,Carbon Neutral,freight,ht,d,0.153522678515686
2044,09_ROK,Carbon Neutral,freight,ht,d,0.153907447131803
2045,09_ROK,Carbon Neutral,freight,ht,d,0.154293180094506
2046,09_ROK,Carbon Neutral,freight,ht,d,0.154679879778379
2047,09_ROK,Carbon Neutral,freight,ht,d,0.155067548665514
2048,09_ROK,Carbon Neutral,freight,ht,d,0.155456189130566
2049,09_ROK,Carbon Neutral,freight,ht,d,0.155845803632197
2050,09_ROK,Carbon Neutral,freight,ht,d,0.156236394617401
2018,09_ROK,Carbon Neutral,freight,ht,fcev,0.152648124210819
2019,09_ROK,Carbon Neutral,freight,ht,fcev,0.153415200210937
2020,09_ROK,Carbon Neutral,freight,ht,fcev,0.154186130848859
2021,09_ROK,Carbon Neutral,freight,ht,fcev,0.15457256227576
2022,09_ROK,Carbon Neutral,freight,ht,fcev,0.154959962164764
2023,09_ROK,Carbon Neutral,freight,ht,fcev,0.15534833300685
2024,09_ROK,Carbon Neutral,freight,ht,fcev,0.155737677185237
2025,09_ROK,Carbon Neutral,freight,ht,fcev,0.156127997191894
2026,09_ROK,Carbon Neutral,freight,ht,fcev,0.156519295434145
2027,09_ROK,Carbon Neutral,freight,ht,fcev,0.156911574355482
2028,09_ROK,Carbon Neutral,freight,ht,fcev,0.157304836461074
2029,09_ROK,Carbon Neutral,freight,ht,fcev,0.157699084169949
2030,09_ROK,Carbon Neutral,freight,ht,fcev,0.158094319962625
2031,09_ROK,Carbon Neutral,freight,ht,fcev,0.158292185208556
2032,09_ROK,Carbon Neutral,freight,ht,fcev,0.158490298079086
2033,09_ROK,Carbon Neutral,freight,ht,fcev,0.15868865890029
2034,09_ROK,Carbon Neutral,freight,ht,fcev,0.158887267973943
2035,09_ROK,Carbon Neutral,freight,ht,fcev,0.159086125627818
2036,09_ROK,Carbon Neutral,freight,ht,fcev,0.159285232165269
2037,09_ROK,Carbon Neutral,freight,ht,fcev,0.159484587915787
2038,09_ROK,Carbon Neutral,freight,ht,fcev,0.159684193158827
2039,09_ROK,Carbon Neutral,freight,ht,fcev,0.159884048199865
2040,09_ROK,Carbon Neutral,freight,ht,fcev,0.160084153396345
2041,09_ROK,Carbon Neutral,freight,ht,fcev,0.160284509029874
2042,09_ROK,Carbon Neutral,freight,ht,fcev,0.160485115434038
2043,09_ROK,Carbon Neutral,freight,ht,fcev,0.160685972891772
2044,09_ROK,Carbon Neutral,freight,ht,fcev,0.160887081764142
2045,09_ROK,Carbon Neutral,freight,ht,fcev,0.161088442309675
2046,09_ROK,Carbon Neutral,freight,ht,fcev,0.161290054865168
2047,09_ROK,Carbon Neutral,freight,ht,fcev,0.161491919768428
2048,09_ROK,Carbon Neutral,freight,ht,fcev,0.161694037332131
2049,09_ROK,Carbon Neutral,freight,ht,fcev,0.161896407817296
