,date,vehicle_type,transport_type,measure,comment,frequency,fuel,scope,economy,medium,unit,dataset,drive,value
42,2009,2w,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
43,2010,2w,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
44,2011,2w,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
45,2012,2w,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
46,2013,2w,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
47,2014,2w,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
48,2015,2w,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
49,2016,2w,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
50,2017,2w,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
51,2018,2w,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
52,2019,2w,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
53,2020,2w,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
54,2021,2w,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
55,1991,bus,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
56,1993,bus,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
57,1995,bus,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
58,1996,bus,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
59,1997,bus,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
60,1998,bus,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
61,1999,bus,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
62,2001,bus,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
63,2002,bus,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
64,2003,bus,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
65,2004,bus,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
