date,economy,measure,vehicle_type,unit,medium,transport_type,drive,frequency,fuel,comment,scope,dataset,value
2017,02_BD,stocks,car,stocks,road,passenger,bev,yearly,all,no_comment,national,8th_-_new_vtypes_and_drives $ reference vehicle_dist_split,63.0
2017,02_BD,stocks,suv,stocks,road,passenger,bev,yearly,all,no_comment,national,8th_-_new_vtypes_and_drives $ reference vehicle_dist_split,0.0
2017,02_BD,stocks,suv,stocks,road,passenger,bev,yearly,all,no_comment,national,8th_-_new_vtypes_and_drives $ reference vehicle_dist_split,5.25
2017,02_BD,stocks,lt,stocks,road,passenger,bev,yearly,all,no_comment,national,8th_-_new_vtypes_and_drives $ reference vehicle_dist_split,0.0
2017,02_BD,stocks,lt,stocks,road,passenger,bev,yearly,all,no_comment,national,8th_-_new_vtypes_and_drives $ reference vehicle_dist_split,1.75
2017,06_HKC,stocks,car,stocks,road,passenger,bev,yearly,all,no_comment,national,8th_-_new_vtypes_and_drives $ reference vehicle_dist_split,0.0
2017,06_HKC,stocks,car,stocks,road,passenger,bev,yearly,all,no_comment,national,8th_-_new_vtypes_and_drives $ reference vehicle_dist_split,3672.9
2017,06_HKC,stocks,suv,stocks,road,passenger,bev,yearly,all,no_comment,national,8th_-_new_vtypes_and_drives $ reference vehicle_dist_split,0.0
2017,06_HKC,stocks,suv,stocks,road,passenger,bev,yearly,all,no_comment,national,8th_-_new_vtypes_and_drives $ reference vehicle_dist_split,306.075
2017,06_HKC,stocks,lt,stocks,road,passenger,bev,yearly,all,no_comment,national,8th_-_new_vtypes_and_drives $ reference vehicle_dist_split,0.0
2017,06_HKC,stocks,lt,stocks,road,passenger,bev,yearly,all,no_comment,national,8th_-_new_vtypes_and_drives $ reference vehicle_dist_split,102.025
2017,08_JPN,stocks,ht,stocks,road,freight,bev,yearly,all,no_comment,national,8th_-_new_vtypes_and_drives $ reference vehicle_dist_split,0.0
2017,08_JPN,stocks,ht,stocks,road,freight,bev,yearly,all,no_comment,national,8th_-_new_vtypes_and_drives $ reference vehicle_dist_split,65.39999999999999
2017,08_JPN,stocks,mt,stocks,road,freight,bev,yearly,all,no_comment,national,8th_-_new_vtypes_and_drives $ reference vehicle_dist_split,0.0
2017,08_JPN,stocks,mt,stocks,road,freight,bev,yearly,all,no_comment,national,8th_-_new_vtypes_and_drives $ reference vehicle_dist_split,43.6
2017,10_MAS,stocks,ht,stocks,road,freight,bev,yearly,all,no_comment,national,8th_-_new_vtypes_and_drives $ reference vehicle_dist_split,0.0
2017,10_MAS,stocks,ht,stocks,road,freight,bev,yearly,all,no_comment,national,8th_-_new_vtypes_and_drives $ reference vehicle_dist_split,117.0
2017,10_MAS,stocks,mt,stocks,road,freight,bev,yearly,all,no_comment,national,8th_-_new_vtypes_and_drives $ reference vehicle_dist_split,0.0
