Vehicle Type,Drive,Value,date,transport_type,economy,medium,measure,dataset,source,unit,fuel,comment,scope,frequency
2w,bev,0.0,2017,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
bus,bev,0.0,2017,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
car,bev,16287.0,2017,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
suv,bev,3291.0,2017,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lt,bev,16.0,2017,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
ht,bev,0.0,2017,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lcv,bev,36.0,2017,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
2w,lpg,0.0,2017,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
bus,lpg,436.0,2017,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
car,lpg,21.5,2017,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
suv,lpg,7.5,2017,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lt,lpg,77.0,2017,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
ht,lpg,872.0,2017,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lcv,lpg,134.0,2017,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
2w,cng,0.0,2017,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
bus,cng,436.0,2017,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
car,cng,21.5,2017,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
suv,cng,7.5,2017,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lt,cng,77.0,2017,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
ht,cng,872.0,2017,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
