Date,vehicle type,value,transport_type,economy,date,medium,measure,dataset,source,unit,fuel,comment,scope,frequency
2022,lcv,968843,freight,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
1952,2w,2002,passenger,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
1981,2w,4591547,passenger,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
1991,2w,7409175,passenger,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2001,2w,11733202,passenger,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2011,2w,15173602,passenger,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2013,2w,14195123,passenger,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2014,2w,13735960,passenger,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2015,2w,13661719,passenger,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2016,2w,13668227,passenger,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2017,2w,13755582,passenger,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2018,2w,13835520,passenger,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2019,2w,13992922,passenger,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2020,2w,14103763,passenger,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2021,2w,14266920,passenger,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2022,2w,14390626,passenger,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
