date,economy,measure,vehicle_type,unit,medium,transport_type,drive,frequency,fuel,comment,scope,dataset,value
2018,09_ROK,stocks,car,stocks,road,passenger,ice_g,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer_no_data ice_split,14881004.479916152
2018,09_ROK,stocks,car,stocks,road,passenger,ice_g,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer_no_data ice_split,826409.7212477109
2019,09_ROK,stocks,car,stocks,road,passenger,ice_g,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer_no_data ice_split,28091.88315146304
2019,09_ROK,stocks,car,stocks,road,passenger,ice_g,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer_no_data ice_split,15225189.865091383
2019,09_ROK,stocks,car,stocks,road,passenger,ice_g,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer_no_data ice_split,903525.0745497402
2020,09_ROK,stocks,car,stocks,road,passenger,ice_g,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer_no_data ice_split,28323.56704861552
2020,09_ROK,stocks,car,stocks,road,passenger,ice_g,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer_no_data ice_split,15743190.407318698
2020,09_ROK,stocks,car,stocks,road,passenger,ice_g,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer_no_data ice_split,961080.409523809
2021,09_ROK,stocks,car,stocks,road,passenger,ice_g,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer_no_data ice_split,29106.23737754154
2021,09_ROK,stocks,car,stocks,road,passenger,ice_g,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer_no_data ice_split,16149009.606544781
2021,09_ROK,stocks,car,stocks,road,passenger,ice_g,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer_no_data ice_split,1017587.6907958498
2022,09_ROK,stocks,car,stocks,road,passenger,ice_g,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer_no_data ice_split,29546.858025580623
2022,09_ROK,stocks,car,stocks,road,passenger,ice_g,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer_no_data ice_split,16553161.524198268
