,date,vehicle_type,transport_type,economy,medium,measure,dataset,unit,fuel,comment,scope,frequency,drive,value
122,2007,all,passenger,18_CT,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,15769120000.0
123,2008,all,passenger,18_CT,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,19065567000.0
124,2009,all,passenger,18_CT,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,19277396000.0
125,2010,all,passenger,18_CT,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,20930786000.0
126,2011,all,passenger,18_CT,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,22825847000.0
127,2012,all,passenger,18_CT,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,24207701000.0
128,2013,all,passenger,18_CT,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,25322754000.0
129,2014,all,passenger,18_CT,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,26339951000.0
130,2015,all,passenger,18_CT,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,27110887000.0
131,2016,all,passenger,18_CT,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,27949684000.0
132,2017,all,passenger,18_CT,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,29003961000.0
133,2018,all,passenger,18_CT,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,29624218000.0
134,2019,all,passenger,18_CT,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,30443103000.0
135,2020,all,passenger,18_CT,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,25554099000.0
136,1991,bus,passenger,18_CT,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,20548765000.0
137,1992,bus,passenger,18_CT,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,19468755000.0
138,1993,bus,passenger,18_CT,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,19410980000.0
139,1994,bus,passenger,18_CT,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,17995161000.0
140,1995,bus,passenger,18_CT,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,16150892000.0
141,1996,bus,passenger,18_CT,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,15421155000.0
142,1997,bus,passenger,18_CT,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,14417039000.0
143,1998,bus,passenger,18_CT,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,14298481000.0
144,1999,bus,passenger,18_CT,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,14246730000.0
145,2000,bus,passenger,18_CT,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,14657161000.0
146,2001,bus,passenger,18_CT,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,15236537000.0
147,2002,bus,passenger,18_CT,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,15769658000.0
148,2003,bus,passenger,18_CT,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,14743627000.0
149,2004,bus,passenger,18_CT,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,15777746000.0
150,2005,bus,passenger,18_CT,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,16100169000.0
151,2006,bus,passenger,18_CT,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,16385985000.0
152,2007,bus,passenger,18_CT,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,15979244000.0
153,2008,bus,passenger,18_CT,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,15783116000.0
154,2009,bus,passenger,18_CT,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,15882309000.0
155,2010,bus,passenger,18_CT,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,16307047000.0
156,2011,bus,passenger,18_CT,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,17039887999.999998
157,2012,bus,passenger,18_CT,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,17585569000.0
158,2013,bus,passenger,18_CT,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,17927530000.0
159,2014,bus,passenger,18_CT,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,18384479000.0
160,2015,bus,passenger,18_CT,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,17565272000.0
161,2016,bus,passenger,18_CT,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,17378671000.0
162,2017,bus,passenger,18_CT,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,17053464000.0
163,2018,bus,passenger,18_CT,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,17136287000.0
164,2019,bus,passenger,18_CT,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,17064210000.0
165,2020,bus,passenger,18_CT,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,14302635000.0
166,2021,bus,passenger,18_CT,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,10133414000.0
167,2007,high_speed_rail,passenger,18_CT,rail,activity,ato $ international_union_of_railways_(uic),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,3520000000.0
168,2008,high_speed_rail,passenger,18_CT,rail,activity,ato $ international_union_of_railways_(uic),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,6566000000.0
169,2009,high_speed_rail,passenger,18_CT,rail,activity,ato $ international_union_of_railways_(uic),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,6863000000.0
170,2010,high_speed_rail,passenger,18_CT,rail,activity,ato $ international_union_of_railways_(uic),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,7491000000.0
171,2011,high_speed_rail,passenger,18_CT,rail,activity,ato $ international_union_of_railways_(uic),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,8148000000.0
172,2012,high_speed_rail,passenger,18_CT,rail,activity,ato $ international_union_of_railways_(uic),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,8643000000.0
173,2013,high_speed_rail,passenger,18_CT,rail,activity,ato $ international_union_of_railways_(uic),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,9118000000.0
174,2014,high_speed_rail,passenger,18_CT,rail,activity,ato $ international_union_of_railways_(uic),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,9235000000.0
175,2015,high_speed_rail,passenger,18_CT,rail,activity,ato $ international_union_of_railways_(uic),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,9655000000.0
176,2016,high_speed_rail,passenger,18_CT,rail,activity,ato $ international_union_of_railways_(uic),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,10488000000.0
177,2017,high_speed_rail,passenger,18_CT,rail,activity,ato $ international_union_of_railways_(uic),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,11103000000.0
178,2018,high_speed_rail,passenger,18_CT,rail,activity,ato $ international_union_of_railways_(uic),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,11559000000.0
179,2019,high_speed_rail,passenger,18_CT,rail,activity,ato $ international_union_of_railways_(uic),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,11994000000.0
180,2020,high_speed_rail,passenger,18_CT,rail,activity,ato $ international_union_of_railways_(uic),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,all,9912000000.0
181,1996,all,passenger,18_CT,air,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,"national,_international",yearly,all,42208877000.0
182,1997,all,passenger,18_CT,air,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,"national,_international",yearly,all,43727487000.0
183,1998,all,passenger,18_CT,air,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,"national,_international",yearly,all,44192385000.0
184,1999,all,passenger,18_CT,air,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,"national,_international",yearly,all,48083601000.0
185,2000,all,passenger,18_CT,air,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,"national,_international",yearly,all,51638525000.0
186,2001,all,passenger,18_CT,air,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,"national,_international",yearly,all,48603649000.0
187,2002,all,passenger,18_CT,air,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,"national,_international",yearly,all,51057628000.0
188,2003,all,passenger,18_CT,air,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,"national,_international",yearly,all,46611102000.0
189,2004,all,passenger,18_CT,air,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,"national,_international",yearly,all,57267909000.0
