Transport Type,,freight,freight,freight,freight,freight,freight,freight,freight,freight,freight,freight,freight,freight,freight,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger
Vehicle Type,,HT,HT,HT,HT,HT,HT,HT,LT,LT,LT,LT,LT,LT,LT,2W,2W,BUS,BUS,BUS,BUS,BUS,BUS,BUS,LT,LT,LT,LT,LT,LT,LT,LV,LV,LV,LV,LV,LV,LV
Drive,,BEV,CNG,D,FCEV,G,LPG,PHEVD,BEV,CNG,D,FCEV,G,LPG,PHEVG,BEV,G,BEV,CNG,D,FCEV,G,LPG,PHEVD,BEV,CNG,D,FCEV,G,LPG,PHEVG,BEV,CNG,D,FCEV,G,LPG,PHEVG
Economy,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_AUS,2018,3.421837997578867,12.689140173956082,8.784792384544593,6.221523631961576,8.375670081819198,12.689140173956082,6.868049467091743,1.7649701197561123,3.7489364814089927,2.8404221495965998,3.199361100719872,3.408124074008175,3.7489364814089927,2.378113242752371,0.5029087179766398,1.4770755990824478,3.3910416412139153,11.173001928636952,8.784792384544593,6.146940730826784,5.078637240289522,11.173001928636952,4.041615715752417,1.7649701197561123,3.7489364814089927,2.8404221495965998,3.199361100719872,3.408124074008175,3.7489364814089927,2.378113242752371,0.9519343590272112,2.8736682533114384,2.5360912049969646,1.7255712856664165,2.7368269079156557,2.8736682533114384,1.6420961447493934
01_AUS,2019,3.4115724835861303,12.56224877221652,8.696944460699147,6.202859061065691,8.291913381001006,12.56224877221652,6.799368972420826,1.7543802990375756,3.673957751780813,2.7836137066046676,3.176965573014833,3.3399615925280117,3.673957751780813,2.3305509778973237,0.49989126566878,1.457873616294376,3.3706953913666315,11.061271909350582,8.696944460699147,6.103912145710996,5.0278508678866265,11.061271909350582,4.001199558594893,1.7543802990375756,3.673957751780813,2.7836137066046676,3.176965573014833,3.3399615925280117,3.673957751780813,2.3305509778973237,0.946222752873048,2.8161948882452097,2.4853693808970254,1.7134922866667515,2.6820903697573426,2.8161948882452097,1.6092542218544055
01_AUS,2020,3.401337766135372,12.436626284494356,8.609975016092156,6.1842504838824945,8.208994247190995,12.436626284494356,6.731375282696618,1.74385401724335,3.6004785967451967,2.727941432472574,3.154726814003729,3.2731623606774516,3.6004785967451967,2.2839399583393774,0.49689191807476735,1.438921259282549,3.3504712190184316,10.950659190257076,8.609975016092156,6.061184760691019,4.97757235920776,10.950659190257076,3.9611875630089437,1.74385401724335,3.6004785967451967,2.727941432472574,3.154726814003729,3.2731623606774516,3.6004785967451967,2.2839399583393774,0.9405454163558097,2.7598709904803056,2.435661993279085,1.7014978406600842,2.6284485623621956,2.7598709904803056,1.5770691374173174
01_AUS,2021,3.396235759486169,12.374443153071883,8.566925141011694,6.174974108156671,8.16794927595504,12.374443153071883,6.697718406283135,1.73862245519162,3.5644738107777445,2.7006620181478485,3.143685270154716,3.240430737070677,3.5644738107777445,2.2611005587559836,0.49540124232054306,1.4295682710972126,3.3404198053613765,10.895905894305791,8.566925141011694,6.039970614028602,4.952684497411721,10.895905894305791,3.941381625193899,1.73862245519162,3.5644738107777445,2.7006620181478485,3.143685270154716,3.240430737070677,3.5644738107777445,2.2611005587559836,0.9377237801067423,2.7322722805755024,2.411305373346294,1.695542598217774,2.6021640767385734,2.7322722805755024,1.5612984460431443
01_AUS,2022,3.39114140584694,12.312570937306525,8.524090515306636,6.165711646994437,8.127109529575264,12.312570937306525,6.664229814251719,1.7334065878260452,3.528829072669967,2.6736553979663698,3.1326823717091745,3.20802642969997,3.528829072669967,2.238489553168424,0.49391503859358143,1.4202760773350809,3.3303985459452923,10.841426364834263,8.524090515306636,6.018830716879502,4.9279210749246625,10.841426364834263,3.92167471706793,1.7334065878260452,3.528829072669967,2.6736553979663698,3.1326823717091745,3.20802642969997,3.528829072669967,2.238489553168424,0.9349106087664221,2.7049495577697473,2.387192319612831,1.689608199124012,2.5761424359711875,2.7049495577697473,1.545685461582713
01_AUS,2023,3.3860546937381697,12.251008082619991,8.481470062730102,6.156463079523945,8.086473981927387,12.251008082619991,6.630908665180461,1.728206368062567,3.4935407819432673,2.646918843986706,3.1217179834081925,3.17594616540297,3.4935407819432673,2.21610465763674,0.4924332934778007,1.411044282832403,3.3204073503074563,10.787219233010092,8.481470062730102,5.997764809370424,4.9032814695500395,10.787219233010092,3.90206634348259,1.728206368062567,3.4935407819432673,2.646918843986706,3.1217179834081925,3.17594616540297,3.4935407819432673,2.21610465763674,0.9321058769401228,2.67790006219205,2.363320396416703,1.683694570427078,2.5503810116114756,2.67790006219205,1.5302286069668858
01_AUS,2024,3.3809756116975627,12.189753042206892,8.439062712416451,6.147228384904659,8.046041612017751,12.189753042206892,6.597754121854559,1.7230217489583792,3.4586053741238345,2.6204496555468393,3.110791970466264,3.1441867037489404,3.4586053741238345,2.1939436110603725,0.4909559935973673,1.4018724949939925,3.310446128256534,10.73328313684504,8.439062712416451,5.976772632537628,4.878765062202289,10.73328313684504,3.882556011765177,1.7230217489583792,3.4586053741238345,2.6204496555468393,3.110791970466264,3.1441867037489404,3.4586053741238345,2.1939436110603725,0.9293095593093025,2.6511210615701293,2.3396871924525358,1.6778016394305832,2.524877201495361,2.6511210615701293,1.514926320897217
01_AUS,2025,3.3759041482800165,12.128804276995858,8.396867398854369,6.138007542327303,8.005811403957662,12.128804276995858,6.564765351245286,1.717852683711504,3.424019320382596,2.5942451589913706,3.0999041985696323,3.112744836711451,3.424019320382596,2.1720041749497687,0.4894831256165752,1.3927603237765316,3.3005147898717646,10.679616721160816,8.396867398854369,5.955853928323747,4.854371236891278,10.679616721160816,3.863143231706351,1.717852683711504,3.424019320382596,2.5942451589913706,3.0999041985696323,3.112744836711451,3.424019320382596,2.1720041749497687,0.9265216306313746,2.624609850954428,2.3162903205280103,1.6719293336925762,2.499628429480407,2.624609850954428,1.4997770576882448
01_AUS,2026,3.3708402920575966,12.068160255610879,8.354883061860097,6.1288005310138125,7.965782346937873,12.068160255610879,6.531941524489059,1.7126991256603694,3.38977912717877,2.568302707401457,3.0890545338746387,3.0816173883443363,3.38977912717877,2.150284133200271,0.4880146762397255,1.3837073816719843,3.2906132455021493,10.626218637555011,8.354883061860097,5.935008439574614,4.830099380706821,10.626218637555011,3.843827515547819,1.7126991256603694,3.38977912717877,2.568302707401457,3.0890545338746387,3.0816173883443363,3.38977912717877,2.150284133200271,0.9237420657394805,2.5983637524448833,2.2931274173227303,1.6660775810246522,2.4746321451856033,2.5983637524448833,1.4847792871113623
01_AUS,2027,3.3657840316195102,12.007819454332825,8.313108646550797,6.119607330217292,7.9259534352031835,12.007819454332825,6.499281816866613,1.7075610282833884,3.3558813359069823,2.5426196803274426,3.0782428430060778,3.050801214460893,3.3558813359069823,2.1287812918682683,0.4865506322110063,1.3747132836911164,3.2807414057656428,10.573087544367237,8.313108646550797,5.914235910036103,4.805948883803287,10.573087544367237,3.82460837797008,1.7075610282833884,3.3558813359069823,2.5426196803274426,3.0782428430060778,3.050801214460893,3.3558813359069823,2.1287812918682683,0.920970839542262,2.5723801149204344,2.270196143149503,1.660246309491066,2.449885823733747,2.5723801149204344,1.4699314942402486
01_AUS,2028,3.360735355572081,11.947780357061161,8.271543103318043,6.110427919221967,7.886323668027168,11.947780357061161,6.466785407782281,1.7024383451985383,3.3223225225479123,2.517193483524168,3.0674689930555568,3.020293202316284,3.3223225225479123,2.1074934789495856,0.4850909803143733,1.3657776473471244,3.2708991815483457,10.5202221066454,8.271543103318043,5.893536084350977,4.781919139384271,10.5202221066454,3.80548533608023,1.7024383451985383,3.3223225225479123,2.517193483524168,3.0674689930555568,3.020293202316284,3.3223225225479123,2.1074934789495856,0.9182079270236352,2.54665631377123,2.247494181718008,1.6544354474078473,2.4253869654964095,2.54665631377123,1.4552321792978462
01_AUS,2029,3.355694252538723,11.888041455275856,8.230185387801454,6.101262277343134,7.846892049687032,11.888041455275856,6.434451480743369,1.6973310301629427,3.289099297322433,2.4920215486889266,3.0567328515798624,2.990090270293121,3.289099297322433,2.0864185441600895,0.4836357073734302,1.3569000926393682,3.261086484003701,10.467620996112174,8.230185387801454,5.872908708055749,4.758009543687349,10.467620996112174,3.7864579093998287,1.6973310301629427,3.289099297322433,2.4920215486889266,3.0567328515798624,2.990090270293121,3.289099297322433,2.0864185441600895,0.9154533032425642,2.5211897506335177,2.2250192399008277,1.64864492334192,2.4011330958414456,2.5211897506335177,1.4406798575048678
01_AUS,2030,3.350660711159915,11.828601247999476,8.189034460862446,6.09211038392712,7.8076575894385964,11.828601247999476,6.402279223339652,1.6922390370724538,3.256208304349209,2.467101333202037,3.046034286599333,2.96018936759019,3.256208304349209,2.065554358718489,0.4821848002513099,1.3480802420372124,3.2513032245516897,10.415282891131612,8.189034460862446,5.852353527577554,4.734219495968912,10.415282891131612,3.7675256198528295,1.6922390370724538,3.256208304349209,2.467101333202037,3.046034286599333,2.96018936759019,3.256208304349209,2.065554358718489,0.9127069433328365,2.4959778531271826,2.2027690475018193,1.6428746661102234,2.377121764883031,2.4959778531271826,1.4262730589298191
01_AUS,2031,3.350660711159915,11.828601247999476,8.189034460862446,6.09211038392712,7.8076575894385964,11.828601247999476,6.402279223339652,1.6922390370724538,3.2399272628274627,2.454765826536027,3.046034286599333,2.945388420752239,3.2399272628274627,2.0552265869248965,0.4814615230509329,1.3436989812505915,3.2464262697148625,10.389244683903783,8.16856187471029,5.842111908904293,4.722383947228989,10.389244683903783,3.7581068058031977,1.6922390370724538,3.2399272628274627,2.454765826536027,3.046034286599333,2.945388420752239,3.2399272628274627,2.0552265869248965,0.9113378829178373,2.483497963861547,2.1917552022643103,1.6399996354445305,2.3652361560586157,2.483497963861547,1.41914169363517
01_AUS,2032,3.350660711159915,11.828601247999476,8.189034460862446,6.09211038392712,7.8076575894385964,11.828601247999476,6.402279223339652,1.6922390370724538,3.2237276265133255,2.4424919974033465,3.046034286599333,2.930661478648478,3.2237276265133255,2.044950453990272,0.48073933076635655,1.3393319595615272,3.2415566303102903,10.363271572194025,8.148140470023515,5.831888213063711,4.710577987360917,10.363271572194025,3.74871153878869,1.6922390370724538,3.2237276265133255,2.4424919974033465,3.046034286599333,2.930661478648478,3.2237276265133255,2.044950453990272,0.9099708760934606,2.471080474042239,2.180796426252989,1.6371296360825025,2.3534099752783226,2.471080474042239,1.4120459851669942
01_AUS,2033,3.350660711159915,11.828601247999476,8.189034460862446,6.09211038392712,7.8076575894385964,11.828601247999476,6.402279223339652,1.6922390370724538,3.207608988380759,2.4302795374163297,3.046034286599333,2.9160081712552355,3.207608988380759,2.034725701720321,0.48001822177020703,1.3349791306929522,3.236694295364825,10.33736339326354,8.127770118848456,5.821682408690849,4.698801542392515,10.33736339326354,3.739339759941718,1.6922390370724538,3.207608988380759,2.4302795374163297,3.046034286599333,2.9160081712552355,3.207608988380759,2.034725701720321,0.9086059197793205,2.4587250716720277,2.1698924441217238,1.6342646592193582,2.341642925401931,2.4587250716720277,1.4049857552411593
01_AUS,2034,3.350660711159915,11.828601247999476,8.189034460862446,6.09211038392712,7.8076575894385964,11.828601247999476,6.402279223339652,1.6922390370724538,3.191570943438855,2.418128139729248,3.046034286599333,2.9014281303989593,3.191570943438855,2.0245520732117193,0.47929819443755173,1.3306404485182002,3.2318392539217777,10.311519984780382,8.107450693551336,5.81149446447564,4.687054538536534,10.311519984780382,3.729991410541864,1.6922390370724538,3.191570943438855,2.418128139729248,3.046034286599333,2.9014281303989593,3.191570943438855,2.0245520732117193,0.9072430108996515,2.4464314463136674,2.159042981901115,1.6314046960657242,2.3299347107749213,2.4464314463136674,1.3979608264649535
01_AUS,2035,3.350660711159915,11.828601247999476,8.189034460862446,6.09211038392712,7.8076575894385964,11.828601247999476,6.402279223339652,1.6922390370724538,3.175613088721661,2.4060374990306017,3.046034286599333,2.8869209897469643,3.175613088721661,2.0144293128456607,0.47857924714589545,1.326315867060516,3.2269914950408953,10.285741184818432,8.087182066817457,5.801324349162807,4.675336902190193,10.285741184818432,3.7206664320155096,1.6922390370724538,3.175613088721661,2.4060374990306017,3.046034286599333,2.8869209897469643,3.175613088721661,2.0144293128456607,0.9058821463833021,2.434199289082099,2.1482477669916094,1.6285497378476093,2.3182850372210466,2.434199289082099,1.3909710223326286
01_AUS,2036,3.350660711159915,11.828601247999476,8.189034460862446,6.09211038392712,7.8076575894385964,11.828601247999476,6.402279223339652,1.6922390370724538,3.159735023278053,2.3940073115354488,3.046034286599333,2.8724863847982296,3.159735023278053,2.0043571662814323,0.4778613782751766,1.3220053404925693,3.222151007798334,10.260026831856386,8.066964111650414,5.791172031551772,4.663648559934718,10.260026831856386,3.711364765935471,1.6922390370724538,3.159735023278053,2.3940073115354488,3.046034286599333,2.8724863847982296,3.159735023278053,2.0043571662814323,0.9045233231637272,2.4220282926366887,2.1375065281566514,1.6256997758063758,2.3066936120349415,2.4220282926366887,1.3840161672209654
01_AUS,2037,3.350660711159915,11.828601247999476,8.189034460862446,6.09211038392712,7.8076575894385964,11.828601247999476,6.402279223339652,1.6922390370724538,3.1439363481616627,2.3820372749777716,3.046034286599333,2.8581239528742386,3.1439363481616627,1.9943353804500252,0.47714458620776384,1.3177088231359686,3.2173177812866367,10.234376764776746,8.046796701371289,5.781037480496557,4.651989438534882,10.234376764776746,3.702086354020633,1.6922390370724538,3.1439363481616627,2.3820372749777716,3.046034286599333,2.8581239528742386,3.1439363481616627,1.9943353804500252,0.9031665381789816,2.4099181511735055,2.126818995515868,1.6228548011987145,2.295160143974767,2.4099181511735055,1.3770960863848607
01_AUS,2038,3.350660711159915,11.828601247999476,8.189034460862446,6.09211038392712,7.8076575894385964,11.828601247999476,6.402279223339652,1.6922390370724538,3.128216666420854,2.370127088602883,3.046034286599333,2.8438333331098673,3.128216666420854,1.984363703547775,0.47642886932845224,1.3134262694607768,3.212491804614707,10.208790822864804,8.026679709617861,5.770920664905687,4.640359464938545,10.208790822864804,3.6928311381355816,1.6922390370724538,3.128216666420854,2.370127088602883,3.046034286599333,2.8438333331098673,3.128216666420854,1.984363703547775,0.9018117883717132,2.397868560417638,2.116184900538289,1.6200148052966168,2.283684343254893,2.397868560417638,1.3702106059529364
01_AUS,2039,3.350660711159915,11.828601247999476,8.189034460862446,6.09211038392712,7.8076575894385964,11.828601247999476,6.402279223339652,1.6922390370724538,3.11257558308875,2.3582764531598683,3.046034286599333,2.8296141664443177,3.11257558308875,1.974441885030036,0.47571422602445956,1.3091576340850293,3.207673066907785,10.183268845807643,8.006613010343816,5.760821553742102,4.628758566276199,10.183268845807643,3.6835990602902426,1.6922390370724538,3.11257558308875,2.3582764531598683,3.046034286599333,2.8296141664443177,3.11257558308875,1.974441885030036,0.9004590706891556,2.3858792176155497,2.1056039760355976,1.6171797793873477,2.2722659215386187,2.3858792176155497,1.3633595529231717
01_AUS,2040,3.350660711159915,11.828601247999476,8.189034460862446,6.09211038392712,7.8076575894385964,11.828601247999476,6.402279223339652,1.6922390370724538,3.097012705173306,2.3464850708940688,3.046034286599333,2.8154660956120963,3.097012705173306,1.9645696756048858,0.4750006546854229,1.304902871774253,3.2028615573074233,10.157810673693124,7.986596477817957,5.750740116023053,4.617186669860509,10.157810673693124,3.6743900626395174,1.6922390370724538,3.097012705173306,2.3464850708940688,3.046034286599333,2.8154660956120963,3.097012705173306,1.9645696756048858,0.8991083820831219,2.373949821527472,2.0950759561554197,1.6143497147734198,2.2609045919309256,2.373949821527472,1.3565427551585558
01_AUS,2041,3.350660711159915,11.828601247999476,8.189034460862446,6.09211038392712,7.8076575894385964,11.828601247999476,6.402279223339652,1.6922390370724538,3.097012705173306,2.3464850708940688,3.046034286599333,2.8154660956120963,3.097012705173306,1.9645696756048858,0.4750006546854229,1.304902871774253,3.2028615573074233,10.157810673693124,7.986596477817957,5.750740116023053,4.617186669860509,10.157810673693124,3.6743900626395174,1.6922390370724538,3.097012705173306,2.3464850708940688,3.046034286599333,2.8154660956120963,3.097012705173306,1.9645696756048858,0.8991083820831219,2.373949821527472,2.0950759561554197,1.6143497147734198,2.2609045919309256,2.373949821527472,1.3565427551585558
01_AUS,2042,3.350660711159915,11.828601247999476,8.189034460862446,6.09211038392712,7.8076575894385964,11.828601247999476,6.402279223339652,1.6922390370724538,3.097012705173306,2.3464850708940688,3.046034286599333,2.8154660956120963,3.097012705173306,1.9645696756048858,0.4750006546854229,1.304902871774253,3.2028615573074233,10.157810673693124,7.986596477817957,5.750740116023053,4.617186669860509,10.157810673693124,3.6743900626395174,1.6922390370724538,3.097012705173306,2.3464850708940688,3.046034286599333,2.8154660956120963,3.097012705173306,1.9645696756048858,0.8991083820831219,2.373949821527472,2.0950759561554197,1.6143497147734198,2.2609045919309256,2.373949821527472,1.3565427551585558
