Transport Type,,freight,freight,freight,freight,freight,freight,freight,freight,freight,freight,freight,freight,freight,freight,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger
Vehicle Type,,HT,HT,HT,HT,HT,HT,HT,LT,LT,LT,LT,LT,LT,LT,2W,2W,BUS,BUS,BUS,BUS,BUS,BUS,BUS,LT,LT,LT,LT,LT,LT,LT,LV,LV,LV,LV,LV,LV,LV
Drive,,BEV,CNG,FCEV,D,G,LPG,PHEVD,BEV,CNG,FCEV,D,G,LPG,PHEVG,BEV,G,BEV,CNG,FCEV,D,G,LPG,PHEVD,BEV,CNG,FCEV,D,G,LPG,PHEVG,BEV,CNG,FCEV,D,G,LPG,PHEVG
Economy,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_AUS,2029,3.355694253,11.88804146,6.101262277,7.95858927,6.853309268,11.88804146,6.434451481,1.69733103,3.289099297,3.008758204,2.245311415,2.792744312,3.289099297,2.086418544,0.483635707,1.356900093,3.261086484,10.467621,5.872908708,7.686993152,4.286966599,10.467621,3.786457909,1.69733103,3.289099297,3.008758204,2.245311415,2.792744312,3.289099297,2.086418544,0.915453303,2.521189751,1.648644923,2.004742335,2.242658312,2.521189751,1.440679858
01_AUS,2030,3.350660711,11.82860125,6.092110384,7.861473082,6.594357525,11.82860125,6.402279223,1.692239037,3.256208304,2.992962224,2.171049173,2.720414029,3.256208304,2.065554359,0.4821848,1.348080242,3.251303225,10.41528289,5.852353528,7.52572267,4.166113156,10.41528289,3.76752562,1.692239037,3.256208304,2.992962224,2.171049173,2.720414029,3.256208304,2.065554359,0.912706943,2.495977853,1.642874666,1.938436762,2.184574902,2.495977853,1.426273059
01_AUS,2031,3.350660711,11.76945824,6.082972218,7.765129092,6.337823966,11.76945824,6.370267827,1.692239037,3.223646221,2.98772454,2.098047645,2.649251076,3.223646221,2.044898815,0.481461523,1.33931772,3.24642627,10.36320648,5.83187029,7.365872717,4.046361074,10.36320648,3.748687992,1.692239037,3.223646221,2.98772454,2.098047645,2.649251076,3.223646221,2.044898815,0.911337883,2.471018075,1.637124605,1.873256826,2.127428895,2.471018075,1.412010328
01_AUS,2032,3.350660711,11.71061095,6.07384776,7.669552005,6.083690884,11.71061095,6.338416488,1.692239037,3.191409759,2.982496022,2.026289042,2.579239342,3.191409759,2.024449827,0.480739331,1.330612155,3.24155663,10.31139044,5.811458744,7.207433121,3.92770236,10.31139044,3.729944552,1.692239037,3.191409759,2.982496022,2.026289042,2.579239342,3.191409759,2.024449827,0.909970876,2.446307894,1.631394669,1.809186645,2.07120735,2.446307894,1.397890225
01_AUS,2033,3.350660711,11.6520579,6.064736988,7.57473656,5.831940687,11.6520579,6.306724406,1.692239037,3.159495662,2.977276654,1.955755806,2.510362917,3.159495662,2.004205329,0.480018222,1.321963176,3.236694295,10.25983349,5.791118639,7.050393774,3.810129074,10.25983349,3.711294829,1.692239037,3.159495662,2.977276654,1.955755806,2.510362917,3.159495662,2.004205329,0.90860592,2.421844815,1.625684787,1.746210541,2.015897494,2.421844815,1.383911323
01_AUS,2034,3.350660711,11.59379761,6.055639883,7.480677531,5.5825559,11.59379761,6.275190784,1.692239037,3.127900705,2.97206642,1.886430607,2.442606096,3.127900705,1.984163275,0.479298194,1.313370416,3.231839254,10.20853432,5.770849723,6.894744634,3.693633328,10.20853432,3.692738355,1.692239037,3.127900705,2.97206642,1.886430607,2.442606096,3.127900705,1.984163275,0.907243011,2.397626367,1.619994891,1.684313042,1.961486713,2.397626367,1.37007221
01_AUS,2035,3.350660711,11.53582862,6.046556423,7.387369724,5.335519162,11.53582862,6.24381483,1.692239037,3.096621698,2.966865303,1.818296335,2.375953375,3.096621698,1.964321643,0.478579247,1.304833508,3.226991495,10.15749165,5.750651749,6.740475726,3.578207287,10.15749165,3.674274663,1.692239037,3.096621698,2.966865303,1.818296335,2.375953375,3.096621698,1.964321643,0.905882146,2.373650103,1.614324908,1.623478871,1.907962559,2.373650103,1.356371487
01_AUS,2036,3.350660711,11.47814948,6.037486588,7.294807978,5.090813228,11.47814948,6.212595756,1.692239037,3.065655481,2.961673289,1.751336107,2.310389449,3.065655481,1.944678426,0.477861378,1.29635209,3.222151008,10.10670419,5.730524468,6.587577139,3.463843165,10.10670419,3.65590329,1.692239037,3.065655481,2.961673289,1.751336107,2.310389449,3.065655481,1.944678426,0.904523323,2.349913602,1.608674771,1.563692952,1.855312739,2.349913602,1.342807773
01_AUS,2037,3.350660711,11.42075873,6.028430359,7.202987165,4.848420965,11.42075873,6.181532777,1.692239037,3.034998926,2.956490361,1.685533253,2.245899205,3.034998926,1.925231642,0.477144586,1.287925802,3.217317781,10.05617067,5.710467633,6.436039025,3.350533229,10.05617067,3.637623773,1.692239037,3.034998926,2.956490361,1.685533253,2.245899205,3.034998926,1.925231642,0.903166538,2.326414466,1.60304441,1.504940404,1.803525119,2.326414466,1.329379695
01_AUS,2038,3.350660711,11.36365493,6.019387713,7.11190219,4.608325354,11.36365493,6.150625113,1.692239037,3.004648937,2.951316503,1.620871322,2.182467728,3.004648937,1.905979326,0.476428869,1.279554284,3.212491805,10.00588982,5.690480996,6.285851604,3.238269796,10.00588982,3.619435654,1.692239037,3.004648937,2.951316503,1.620871322,2.182467728,3.004648937,1.905979326,0.901811788,2.303150321,1.597433754,1.447206538,1.752587721,2.303150321,1.316085898
