,economy,measure,vehicle_type,medium,transport_type,unit,date,fuel,frequency,scope,comment,dataset,drive,value
99,01_AUS,stocks,others,road,combined,stocks,2010,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
100,01_AUS,stocks,others,road,combined,stocks,2011,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
101,01_AUS,stocks,others,road,combined,stocks,2012,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
102,01_AUS,stocks,others,road,combined,stocks,2013,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
103,01_AUS,stocks,others,road,combined,stocks,2014,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
104,01_AUS,stocks,others,road,combined,stocks,2015,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
105,01_AUS,stocks,others,road,combined,stocks,2016,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
106,01_AUS,stocks,others,road,combined,stocks,2017,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
107,01_AUS,stocks,others,road,combined,stocks,2018,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
108,01_AUS,stocks,others,road,combined,stocks,2019,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
109,01_AUS,stocks,all,road,combined,stocks,1991,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
110,01_AUS,stocks,all,road,combined,stocks,1993,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
111,01_AUS,stocks,all,road,combined,stocks,1995,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
112,01_AUS,stocks,all,road,combined,stocks,1996,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
113,01_AUS,stocks,all,road,combined,stocks,1997,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
114,01_AUS,stocks,all,road,combined,stocks,1998,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
115,01_AUS,stocks,all,road,combined,stocks,1999,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
116,01_AUS,stocks,all,road,combined,stocks,2001,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
117,01_AUS,stocks,all,road,combined,stocks,2002,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
118,01_AUS,stocks,all,road,combined,stocks,2003,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
119,01_AUS,stocks,all,road,combined,stocks,2004,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
120,01_AUS,stocks,all,road,combined,stocks,2005,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
121,01_AUS,stocks,all,road,combined,stocks,2006,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
122,01_AUS,stocks,all,road,combined,stocks,2007,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
123,01_AUS,stocks,all,road,combined,stocks,2008,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
124,01_AUS,stocks,all,road,combined,stocks,2009,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
125,01_AUS,stocks,all,road,combined,stocks,2010,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
126,01_AUS,stocks,all,road,combined,stocks,2011,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
127,01_AUS,stocks,all,road,combined,stocks,2012,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
128,01_AUS,stocks,all,road,combined,stocks,2013,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
129,01_AUS,stocks,all,road,combined,stocks,2014,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
130,01_AUS,stocks,all,road,combined,stocks,2015,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
131,01_AUS,stocks,all,road,combined,stocks,2016,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
132,01_AUS,stocks,all,road,combined,stocks,2017,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
133,01_AUS,stocks,all,road,combined,stocks,2018,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
134,01_AUS,stocks,all,road,combined,stocks,2019,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
135,01_AUS,stocks,all,road,combined,stocks,2020,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
136,01_AUS,stocks,all,road,combined,stocks,2021,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
137,15_PHL,stocks,2w,road,passenger,stocks,2010,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
138,15_PHL,stocks,2w,road,passenger,stocks,2011,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
139,15_PHL,stocks,2w,road,passenger,stocks,2012,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
140,15_PHL,stocks,2w,road,passenger,stocks,2013,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
141,15_PHL,stocks,2w,road,passenger,stocks,2014,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
142,15_PHL,stocks,2w,road,passenger,stocks,2015,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
143,15_PHL,stocks,2w,road,passenger,stocks,2016,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
144,15_PHL,stocks,2w,road,passenger,stocks,2017,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
145,15_PHL,stocks,2w,road,passenger,stocks,2018,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
146,15_PHL,stocks,2w,road,passenger,stocks,2019,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
147,15_PHL,stocks,2w,road,passenger,stocks,2020,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
148,15_PHL,stocks,3w,road,passenger,stocks,2020,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
149,15_PHL,stocks,3w,road,passenger,stocks,2021,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
150,15_PHL,stocks,bus,road,passenger,stocks,1992,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
151,15_PHL,stocks,bus,road,passenger,stocks,1993,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
152,15_PHL,stocks,bus,road,passenger,stocks,1994,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
153,15_PHL,stocks,bus,road,passenger,stocks,1995,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
154,15_PHL,stocks,bus,road,passenger,stocks,1996,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
155,15_PHL,stocks,bus,road,passenger,stocks,1997,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
156,15_PHL,stocks,bus,road,passenger,stocks,1998,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
157,15_PHL,stocks,bus,road,passenger,stocks,1999,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
