,date,vehicle_type,measure,transport_type,frequency,medium,unit,fuel,economy,scope,comment,dataset,drive,value
101,2014,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer  historical,bev,55.105600423812724
102,2015,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer  historical,bev,56.54400043487534
103,2016,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer  historical,bev,58.44000232219619
104,2017,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer  historical,bev,60.51629730999405
105,2018,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer  historical,bev,78.42659762978467
106,2019,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer  historical,bev,100.89929837822855
107,2020,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer  historical,bev,114.17
108,2000,others,stocks,combined,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
109,2001,others,stocks,combined,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
110,2002,others,stocks,combined,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
111,2003,others,stocks,combined,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
112,2004,others,stocks,combined,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
113,2005,others,stocks,combined,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
114,2006,others,stocks,combined,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
115,2007,others,stocks,combined,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
116,2008,others,stocks,combined,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
117,2009,others,stocks,combined,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
118,2010,others,stocks,combined,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
119,2011,others,stocks,combined,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
120,2012,others,stocks,combined,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
121,2013,others,stocks,combined,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
122,2014,others,stocks,combined,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
123,2015,others,stocks,combined,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
124,2016,others,stocks,combined,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
125,2017,others,stocks,combined,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
126,2018,others,stocks,combined,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
127,2019,others,stocks,combined,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
128,2020,others,stocks,combined,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
129,2000,all,stocks,combined,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
130,2001,all,stocks,combined,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
131,2002,all,stocks,combined,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
132,2003,all,stocks,combined,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
133,2004,all,stocks,combined,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
134,2005,all,stocks,combined,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
135,2006,all,stocks,combined,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
136,2007,all,stocks,combined,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
137,2008,all,stocks,combined,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
138,2009,all,stocks,combined,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
139,2010,all,stocks,combined,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
140,2011,all,stocks,combined,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
141,2012,all,stocks,combined,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
142,2013,all,stocks,combined,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
143,2014,all,stocks,combined,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
144,2015,all,stocks,combined,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
145,2016,all,stocks,combined,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
146,2017,all,stocks,combined,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
147,2018,all,stocks,combined,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
148,2019,all,stocks,combined,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
149,2020,all,stocks,combined,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
150,2017,all,stocks,freight,yearly,air,stocks,all,12_NZ,national,no_comment,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,bev,0.0
151,2017,all,stocks,passenger,yearly,air,stocks,all,12_NZ,national,no_comment,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,bev,0.0
152,2017,all,stocks,freight,yearly,rail,stocks,all,12_NZ,national,no_comment,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,bev,0.0
153,2017,all,stocks,passenger,yearly,rail,stocks,all,12_NZ,national,no_comment,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,bev,0.0
154,2017,all,stocks,freight,yearly,ship,stocks,all,12_NZ,national,no_comment,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,bev,0.0
155,2017,all,stocks,passenger,yearly,ship,stocks,all,12_NZ,national,no_comment,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,bev,0.0
156,2017,lcv,stocks,freight,yearly,road,stocks,all,12_NZ,national,no_comment,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,bev,0.0
157,2017,2w,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,bev,0.0
158,2017,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer  historical,bev,61.96179724574023
159,2000,lcv,stocks,freight,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,phev,0.0
160,2001,lcv,stocks,freight,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,phev,0.0
161,2002,lcv,stocks,freight,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,phev,0.0
162,2003,lcv,stocks,freight,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,phev,0.0
163,2004,lcv,stocks,freight,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,phev,0.0
164,2005,lcv,stocks,freight,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,phev,0.0
165,2006,lcv,stocks,freight,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,phev,0.0
166,2007,lcv,stocks,freight,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,phev,0.0
167,2008,lcv,stocks,freight,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,phev,0.0
168,2009,lcv,stocks,freight,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,phev,0.0
169,2010,lcv,stocks,freight,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,phev,0.0
170,2011,lcv,stocks,freight,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,phev,0.0
171,2012,lcv,stocks,freight,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,phev,0.0
172,2013,lcv,stocks,freight,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,phev,0.0
173,2014,lcv,stocks,freight,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,phev,0.0
174,2015,lcv,stocks,freight,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,phev,0.0
175,2016,lcv,stocks,freight,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,phev,0.0
176,2017,lcv,stocks,freight,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,phev,0.0
177,2018,lcv,stocks,freight,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,phev,0.0
178,2019,lcv,stocks,freight,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer  historical,phev,0.0
179,2020,lcv,stocks,freight,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer  historical,phev,1.044228398830714
180,2021,lcv,stocks,freight,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer  historical,phev,24.862955329733992
181,2000,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,phev,0.0
182,2001,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,phev,0.0
183,2002,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,phev,0.0
184,2003,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,phev,0.0
185,2004,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,phev,0.0
186,2005,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,phev,0.0
