Date,Value,Vehicle_Type,Measure,Drive,Transport_Type,Frequency,Medium,Dataset,Unit,Fuel,Economy,Scope
2018,17.058048086,2W,Average_Age,All,Passenger,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2019,17.359834551,2W,Average_Age,All,Passenger,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2020,17.641407873,2W,Average_Age,All,Passenger,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2021,17.862771267,2W,Average_Age,All,Passenger,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2000,14.322845067,HT,Average_Age,All,Freight,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2001,14.612249279,HT,Average_Age,All,Freight,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2002,14.727981186,HT,Average_Age,All,Freight,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2003,14.768943367,HT,Average_Age,All,Freight,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2004,14.750569676,HT,Average_Age,All,Freight,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2005,14.753591834,HT,Average_Age,All,Freight,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2006,14.94223587,HT,Average_Age,All,Freight,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2007,15.115440211,HT,Average_Age,All,Freight,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2008,15.329159452,HT,Average_Age,All,Freight,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2009,15.810863839,HT,Average_Age,All,Freight,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2010,16.276966052,HT,Average_Age,All,Freight,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2011,16.663576112,HT,Average_Age,All,Freight,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2012,17.034527866,HT,Average_Age,All,Freight,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2013,17.294910769,HT,Average_Age,All,Freight,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2014,17.435564668,HT,Average_Age,All,Freight,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2015,17.563469645,HT,Average_Age,All,Freight,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2016,17.730834625,HT,Average_Age,All,Freight,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2017,17.729865981,HT,Average_Age,All,Freight,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2018,17.729094164,HT,Average_Age,All,Freight,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2019,17.732113378,HT,Average_Age,All,Freight,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2020,17.933883532,HT,Average_Age,All,Freight,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2021,17.987767005,HT,Average_Age,All,Freight,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2000,16.119506726,Bus,Average_Age,All,Passenger,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2001,16.241636861,Bus,Average_Age,All,Passenger,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2002,16.243067675,Bus,Average_Age,All,Passenger,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2003,16.178468208,Bus,Average_Age,All,Passenger,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2004,16.043536504,Bus,Average_Age,All,Passenger,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2005,16.133159062,Bus,Average_Age,All,Passenger,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2006,16.498326742,Bus,Average_Age,All,Passenger,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2007,16.541489059,Bus,Average_Age,All,Passenger,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2008,16.450226244,Bus,Average_Age,All,Passenger,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2009,16.28313253,Bus,Average_Age,All,Passenger,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2010,16.505855239,Bus,Average_Age,All,Passenger,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2011,16.548924401,Bus,Average_Age,All,Passenger,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2012,16.627329944,Bus,Average_Age,All,Passenger,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2013,16.623033576,Bus,Average_Age,All,Passenger,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2014,16.717774219,Bus,Average_Age,All,Passenger,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2015,16.816874721,Bus,Average_Age,All,Passenger,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2016,16.378064045,Bus,Average_Age,All,Passenger,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2017,16.103880036,Bus,Average_Age,All,Passenger,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2018,15.527474042,Bus,Average_Age,All,Passenger,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2019,15.729293654,Bus,Average_Age,All,Passenger,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2020,16.234528268,Bus,Average_Age,All,Passenger,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
2021,16.595114892,Bus,Average_Age,All,Passenger,Annual,Road,nz_fleet_stats,Age,All,12_NZ,National
