,economy,date,medium,measure,unit,fuel,comment,scope,frequency,vehicle_type,transport_type,dataset,drive,value
0,09_ROK,2017,road,stocks,stocks,all,no_comment,national,yearly,car,passenger,statistics_korea_stocks $ iea_ev_explorer_no_data,bev,0.0
1,09_ROK,2017,road,stocks,stocks,all,no_comment,national,yearly,lcv,freight,statistics_korea_stocks $ iea_ev_explorer  historical,bev,2.504678033206137
2,09_ROK,2017,road,stocks,stocks,all,no_comment,national,yearly,lt,passenger,statistics_korea_stocks $ iea_ev_explorer_no_data,bev,0.0
3,09_ROK,2018,road,stocks,stocks,all,no_comment,national,yearly,car,passenger,statistics_korea_stocks $ iea_ev_explorer_no_data,bev,0.0
4,09_ROK,2018,road,stocks,stocks,all,no_comment,national,yearly,lcv,freight,statistics_korea_stocks $ iea_ev_explorer  historical,bev,24.972321357128074
5,09_ROK,2018,road,stocks,stocks,all,no_comment,national,yearly,lt,passenger,statistics_korea_stocks $ iea_ev_explorer_no_data,bev,0.0
6,09_ROK,2019,road,stocks,stocks,all,no_comment,national,yearly,car,passenger,statistics_korea_stocks $ iea_ev_explorer_no_data,bev,0.0
7,09_ROK,2019,road,stocks,stocks,all,no_comment,national,yearly,lcv,freight,statistics_korea_stocks $ iea_ev_explorer  historical,bev,145.33889619894285
8,09_ROK,2019,road,stocks,stocks,all,no_comment,national,yearly,lt,passenger,statistics_korea_stocks $ iea_ev_explorer_no_data,bev,0.0
9,09_ROK,2020,road,stocks,stocks,all,no_comment,national,yearly,car,passenger,statistics_korea_stocks $ iea_ev_explorer_no_data,bev,0.0
10,09_ROK,2020,road,stocks,stocks,all,no_comment,national,yearly,lcv,freight,statistics_korea_stocks $ iea_ev_explorer  historical,bev,1241.3068206477096
11,09_ROK,2020,road,stocks,stocks,all,no_comment,national,yearly,lt,passenger,statistics_korea_stocks $ iea_ev_explorer_no_data,bev,0.0
12,09_ROK,2021,road,stocks,stocks,all,no_comment,national,yearly,car,passenger,statistics_korea_stocks $ iea_ev_explorer_no_data,bev,0.0
13,09_ROK,2021,road,stocks,stocks,all,no_comment,national,yearly,lcv,freight,statistics_korea_stocks $ iea_ev_explorer  historical,bev,2680.4059663653343
14,09_ROK,2021,road,stocks,stocks,all,no_comment,national,yearly,lt,passenger,statistics_korea_stocks $ iea_ev_explorer_no_data,bev,0.0
15,09_ROK,2022,road,stocks,stocks,all,no_comment,national,yearly,car,passenger,statistics_korea_stocks $ iea_ev_explorer_no_data,bev,0.0
16,09_ROK,2022,road,stocks,stocks,all,no_comment,national,yearly,lcv,freight,statistics_korea_stocks $ iea_ev_explorer  historical,bev,4771.4241338348365
17,09_ROK,2022,road,stocks,stocks,all,no_comment,national,yearly,lt,passenger,statistics_korea_stocks $ iea_ev_explorer_no_data,bev,0.0
18,09_ROK,2001,road,stocks,stocks,all,no_comment,national,yearly,2w,passenger,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
19,09_ROK,2002,road,stocks,stocks,all,no_comment,national,yearly,2w,passenger,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
20,09_ROK,2003,road,stocks,stocks,all,no_comment,national,yearly,2w,passenger,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
21,09_ROK,2004,road,stocks,stocks,all,no_comment,national,yearly,2w,passenger,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
22,09_ROK,2005,road,stocks,stocks,all,no_comment,national,yearly,2w,passenger,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
23,09_ROK,2006,road,stocks,stocks,all,no_comment,national,yearly,2w,passenger,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
24,09_ROK,2007,road,stocks,stocks,all,no_comment,national,yearly,2w,passenger,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
25,09_ROK,2008,road,stocks,stocks,all,no_comment,national,yearly,2w,passenger,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
26,09_ROK,2009,road,stocks,stocks,all,no_comment,national,yearly,2w,passenger,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
27,09_ROK,2010,road,stocks,stocks,all,no_comment,national,yearly,2w,passenger,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
28,09_ROK,2011,road,stocks,stocks,all,no_comment,national,yearly,2w,passenger,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
29,09_ROK,2012,road,stocks,stocks,all,no_comment,national,yearly,2w,passenger,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
30,09_ROK,2013,road,stocks,stocks,all,no_comment,national,yearly,2w,passenger,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
31,09_ROK,2014,road,stocks,stocks,all,no_comment,national,yearly,2w,passenger,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
32,09_ROK,2015,road,stocks,stocks,all,no_comment,national,yearly,2w,passenger,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
33,09_ROK,2016,road,stocks,stocks,all,no_comment,national,yearly,2w,passenger,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
34,09_ROK,2017,road,stocks,stocks,all,no_comment,national,yearly,2w,passenger,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
35,09_ROK,2018,road,stocks,stocks,all,no_comment,national,yearly,2w,passenger,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
36,09_ROK,2019,road,stocks,stocks,all,no_comment,national,yearly,2w,passenger,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
