transport_type,vehicle_type,drive,unit,medium,scope,date,measure,value,economy,frequency
freight,ht,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,59388834.899039,01_AUS,Yearly
freight,ht,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,59388834.899039,02_BD,Yearly
freight,ht,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,59388834.899039,03_CDA,Yearly
freight,ht,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,59388834.899039,04_CHL,Yearly
freight,ht,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,59388834.899039,05_PRC,Yearly
freight,ht,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,59388834.899039,06_HKC,Yearly
freight,ht,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,59388834.899039,07_INA,Yearly
freight,ht,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,59388834.899039,08_JPN,Yearly
freight,ht,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,59388834.899039,09_ROK,Yearly
freight,ht,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,59388834.899039,10_MAS,Yearly
freight,ht,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,59388834.899039,11_MEX,Yearly
freight,ht,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,59388834.899039,12_NZ,Yearly
freight,ht,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,59388834.899039,13_PNG,Yearly
freight,ht,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,59388834.899039,14_PE,Yearly
freight,ht,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,59388834.899039,15_RP,Yearly
freight,ht,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,59388834.899039,16_RUS,Yearly
freight,ht,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,59388834.899039,17_SIN,Yearly
freight,ht,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,59388834.899039,18_CT,Yearly
freight,ht,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,59388834.899039,19_THA,Yearly
freight,ht,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,59388834.899039,20_USA,Yearly
freight,ht,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,59388834.899039,21_VN,Yearly
freight,ht,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,52559118.8856495,01_AUS,Yearly
freight,ht,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,52559118.8856495,02_BD,Yearly
freight,ht,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,52559118.8856495,03_CDA,Yearly
freight,ht,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,52559118.8856495,04_CHL,Yearly
freight,ht,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,52559118.8856495,05_PRC,Yearly
freight,ht,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,52559118.8856495,06_HKC,Yearly
freight,ht,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,52559118.8856495,07_INA,Yearly
freight,ht,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,52559118.8856495,08_JPN,Yearly
freight,ht,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,52559118.8856495,09_ROK,Yearly
freight,ht,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,52559118.8856495,10_MAS,Yearly
freight,ht,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,52559118.8856495,11_MEX,Yearly
freight,ht,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,52559118.8856495,12_NZ,Yearly
freight,ht,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,52559118.8856495,13_PNG,Yearly
freight,ht,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,52559118.8856495,14_PE,Yearly
freight,ht,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,52559118.8856495,15_RP,Yearly
freight,ht,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,52559118.8856495,16_RUS,Yearly
freight,ht,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,52559118.8856495,17_SIN,Yearly
freight,ht,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,52559118.8856495,18_CT,Yearly
freight,ht,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,52559118.8856495,19_THA,Yearly
freight,ht,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,52559118.8856495,20_USA,Yearly
freight,ht,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,52559118.8856495,21_VN,Yearly
freight,lcv,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,266898975.53497234,01_AUS,Yearly
freight,lcv,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,266898975.53497234,02_BD,Yearly
freight,lcv,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,266898975.53497234,03_CDA,Yearly
freight,lcv,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,266898975.53497234,04_CHL,Yearly
freight,lcv,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,266898975.53497234,05_PRC,Yearly
freight,lcv,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,266898975.53497234,06_HKC,Yearly
freight,lcv,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,266898975.53497234,07_INA,Yearly
freight,lcv,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,266898975.53497234,08_JPN,Yearly
freight,lcv,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,266898975.53497234,09_ROK,Yearly
freight,lcv,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,266898975.53497234,10_MAS,Yearly
freight,lcv,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,266898975.53497234,11_MEX,Yearly
freight,lcv,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,266898975.53497234,12_NZ,Yearly
freight,lcv,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,266898975.53497234,13_PNG,Yearly
freight,lcv,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,266898975.53497234,14_PE,Yearly
freight,lcv,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,266898975.53497234,15_RP,Yearly
freight,lcv,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,266898975.53497234,16_RUS,Yearly
freight,lcv,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,266898975.53497234,17_SIN,Yearly
freight,lcv,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,266898975.53497234,18_CT,Yearly
freight,lcv,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,266898975.53497234,19_THA,Yearly
freight,lcv,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,266898975.53497234,20_USA,Yearly
freight,lcv,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,266898975.53497234,21_VN,Yearly
freight,lcv,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,236205593.34845054,01_AUS,Yearly
freight,lcv,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,236205593.34845054,02_BD,Yearly
freight,lcv,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,236205593.34845054,03_CDA,Yearly
freight,lcv,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,236205593.34845054,04_CHL,Yearly
freight,lcv,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,236205593.34845054,05_PRC,Yearly
freight,lcv,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,236205593.34845054,06_HKC,Yearly
