transport_type,vehicle_sub_type,vehicle_type,drive,unit,medium,scope,date,measure,value,economy,frequency
freight,Class 8,ht,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,76328150.30774216,01_AUS,Yearly
freight,Class 8,ht,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,76328150.30774216,02_BD,Yearly
freight,Class 8,ht,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,76328150.30774216,03_CDA,Yearly
freight,Class 8,ht,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,76328150.30774216,04_CHL,Yearly
freight,Class 8,ht,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,76328150.30774216,05_PRC,Yearly
freight,Class 8,ht,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,76328150.30774216,06_HKC,Yearly
freight,Class 8,ht,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,76328150.30774216,07_INA,Yearly
freight,Class 8,ht,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,76328150.30774216,08_JPN,Yearly
freight,Class 8,ht,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,76328150.30774216,09_ROK,Yearly
freight,Class 8,ht,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,76328150.30774216,10_MAS,Yearly
freight,Class 8,ht,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,76328150.30774216,11_MEX,Yearly
freight,Class 8,ht,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,76328150.30774216,12_NZ,Yearly
freight,Class 8,ht,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,76328150.30774216,13_PNG,Yearly
freight,Class 8,ht,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,76328150.30774216,14_PE,Yearly
freight,Class 8,ht,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,76328150.30774216,15_RP,Yearly
freight,Class 8,ht,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,76328150.30774216,16_RUS,Yearly
freight,Class 8,ht,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,76328150.30774216,17_SIN,Yearly
freight,Class 8,ht,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,76328150.30774216,18_CT,Yearly
freight,Class 8,ht,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,76328150.30774216,19_THA,Yearly
freight,Class 8,ht,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,76328150.30774216,20_USA,Yearly
