transport_type,vehicle_sub_type,vehicle_type,drive,unit,medium,scope,date,measure,value,economy,frequency
passenger,light truck,ldv,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,1380.7784745762713,12_NZ,Yearly
passenger,light truck,ldv,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,1380.7784745762713,13_PNG,Yearly
passenger,light truck,ldv,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,1380.7784745762713,14_PE,Yearly
passenger,light truck,ldv,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,1380.7784745762713,15_RP,Yearly
passenger,light truck,ldv,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,1380.7784745762713,16_RUS,Yearly
passenger,light truck,ldv,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,1380.7784745762713,17_SIN,Yearly
passenger,light truck,ldv,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,1380.7784745762713,18_CT,Yearly
passenger,light truck,ldv,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,1380.7784745762713,19_THA,Yearly
passenger,light truck,ldv,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,1380.7784745762713,20_USA,Yearly
passenger,light truck,ldv,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,1380.7784745762713,21_VN,Yearly
passenger,transit,bus,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,408.493449,01_AUS,Yearly
passenger,transit,bus,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,408.493449,02_BD,Yearly
passenger,transit,bus,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,408.493449,03_CDA,Yearly
passenger,transit,bus,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,408.493449,04_CHL,Yearly
passenger,transit,bus,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,408.493449,05_PRC,Yearly
passenger,transit,bus,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,408.493449,06_HKC,Yearly
passenger,transit,bus,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,408.493449,07_INA,Yearly
passenger,transit,bus,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,408.493449,08_JPN,Yearly
passenger,transit,bus,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,408.493449,09_ROK,Yearly
passenger,transit,bus,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,408.493449,10_MAS,Yearly
passenger,transit,bus,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,408.493449,11_MEX,Yearly
passenger,transit,bus,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,408.493449,12_NZ,Yearly
passenger,transit,bus,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,408.493449,13_PNG,Yearly
passenger,transit,bus,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,408.493449,14_PE,Yearly
passenger,transit,bus,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,408.493449,15_RP,Yearly
passenger,transit,bus,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,408.493449,16_RUS,Yearly
passenger,transit,bus,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,408.493449,17_SIN,Yearly
passenger,transit,bus,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,408.493449,18_CT,Yearly
passenger,transit,bus,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,408.493449,19_THA,Yearly
passenger,transit,bus,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,408.493449,20_USA,Yearly
passenger,transit,bus,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,408.493449,21_VN,Yearly
