transport_type,vehicle_sub_type,vehicle_type,unit,medium,scope,date,measure,value,drive,economy,frequency
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,phev,11_MEX,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,lpg,11_MEX,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,cng,12_NZ,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,bev,12_NZ,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,fcev,12_NZ,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,ice,12_NZ,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,phev,12_NZ,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,lpg,12_NZ,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,cng,13_PNG,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,bev,13_PNG,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,fcev,13_PNG,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,ice,13_PNG,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,phev,13_PNG,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,lpg,13_PNG,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,cng,14_PE,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,bev,14_PE,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,fcev,14_PE,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,ice,14_PE,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,phev,14_PE,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,lpg,14_PE,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,cng,15_RP,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,bev,15_RP,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,fcev,15_RP,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,ice,15_RP,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,phev,15_RP,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,lpg,15_RP,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,cng,16_RUS,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,bev,16_RUS,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,fcev,16_RUS,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,ice,16_RUS,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,phev,16_RUS,Yearly
freight,Van,ldv,mileage,road,national,2019-12-31,Mileage,11543.0,lpg,16_RUS,Yearly
