transport_type,vehicle_sub_type,vehicle_type,unit,medium,scope,date,measure,value,drive,economy,frequency
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,fcev,03_CDA,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,phev,03_CDA,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,cng,03_CDA,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,lpg,03_CDA,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,bev,04_CHL,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,ice,04_CHL,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,fcev,04_CHL,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,phev,04_CHL,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,cng,04_CHL,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,lpg,04_CHL,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,bev,05_PRC,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,ice,05_PRC,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,fcev,05_PRC,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,phev,05_PRC,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,cng,05_PRC,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,lpg,05_PRC,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,bev,06_HKC,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,ice,06_HKC,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,fcev,06_HKC,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,phev,06_HKC,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,cng,06_HKC,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,lpg,06_HKC,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,bev,07_INA,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,ice,07_INA,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,fcev,07_INA,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,phev,07_INA,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,cng,07_INA,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,lpg,07_INA,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,bev,08_JPN,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,ice,08_JPN,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,fcev,08_JPN,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,phev,08_JPN,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,cng,08_JPN,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,lpg,08_JPN,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,bev,09_ROK,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,ice,09_ROK,Yearly
