transport_type,vehicle_type,drive,unit,medium,scope,date,measure,value,economy,frequency
freight,ht,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,55973976.89234425,01_AUS,Yearly
freight,ht,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,55973976.89234425,02_BD,Yearly
freight,ht,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,55973976.89234425,03_CDA,Yearly
freight,ht,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,55973976.89234425,04_CHL,Yearly
freight,ht,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,55973976.89234425,05_PRC,Yearly
freight,ht,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,55973976.89234425,06_HKC,Yearly
freight,ht,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,55973976.89234425,07_INA,Yearly
freight,ht,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,55973976.89234425,08_JPN,Yearly
freight,ht,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,55973976.89234425,09_ROK,Yearly
freight,ht,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,55973976.89234425,10_MAS,Yearly
freight,ht,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,55973976.89234425,11_MEX,Yearly
freight,ht,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,55973976.89234425,12_NZ,Yearly
freight,ht,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,55973976.89234425,13_PNG,Yearly
freight,ht,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,55973976.89234425,14_PE,Yearly
freight,ht,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,55973976.89234425,15_RP,Yearly
freight,ht,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,55973976.89234425,16_RUS,Yearly
freight,ht,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,55973976.89234425,17_SIN,Yearly
freight,ht,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,55973976.89234425,18_CT,Yearly
freight,ht,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,55973976.89234425,19_THA,Yearly
freight,ht,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,55973976.89234425,20_USA,Yearly
freight,ht,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,55973976.89234425,21_VN,Yearly
passenger,2w,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,632474315.1677316,01_AUS,Yearly
passenger,2w,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,632474315.1677316,02_BD,Yearly
passenger,2w,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,632474315.1677316,03_CDA,Yearly
passenger,2w,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,632474315.1677316,04_CHL,Yearly
passenger,2w,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,632474315.1677316,05_PRC,Yearly
passenger,2w,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,632474315.1677316,06_HKC,Yearly
passenger,2w,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,632474315.1677316,07_INA,Yearly
passenger,2w,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,632474315.1677316,08_JPN,Yearly
passenger,2w,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,632474315.1677316,09_ROK,Yearly
passenger,2w,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,632474315.1677316,10_MAS,Yearly
passenger,2w,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,632474315.1677316,11_MEX,Yearly
passenger,2w,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,632474315.1677316,12_NZ,Yearly
passenger,2w,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,632474315.1677316,13_PNG,Yearly
passenger,2w,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,632474315.1677316,14_PE,Yearly
passenger,2w,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,632474315.1677316,15_RP,Yearly
passenger,2w,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,632474315.1677316,16_RUS,Yearly
passenger,2w,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,632474315.1677316,17_SIN,Yearly
passenger,2w,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,632474315.1677316,18_CT,Yearly
passenger,2w,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,632474315.1677316,19_THA,Yearly
passenger,2w,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,632474315.1677316,20_USA,Yearly
passenger,2w,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,632474315.1677316,21_VN,Yearly
passenger,bus,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,79296467.26415436,01_AUS,Yearly
passenger,bus,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,79296467.26415436,02_BD,Yearly
passenger,bus,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,79296467.26415436,03_CDA,Yearly
passenger,bus,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,79296467.26415436,04_CHL,Yearly
passenger,bus,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,79296467.26415436,05_PRC,Yearly
passenger,bus,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,79296467.26415436,06_HKC,Yearly
passenger,bus,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,79296467.26415436,07_INA,Yearly
passenger,bus,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,79296467.26415436,08_JPN,Yearly
passenger,bus,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,79296467.26415436,09_ROK,Yearly
passenger,bus,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,79296467.26415436,10_MAS,Yearly
passenger,bus,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,79296467.26415436,11_MEX,Yearly
passenger,bus,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,79296467.26415436,12_NZ,Yearly
passenger,bus,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,79296467.26415436,13_PNG,Yearly
passenger,bus,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,79296467.26415436,14_PE,Yearly
passenger,bus,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,79296467.26415436,15_RP,Yearly
passenger,bus,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,79296467.26415436,16_RUS,Yearly
passenger,bus,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,79296467.26415436,17_SIN,Yearly
passenger,bus,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,79296467.26415436,18_CT,Yearly
passenger,bus,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,79296467.26415436,19_THA,Yearly
passenger,bus,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,79296467.26415436,20_USA,Yearly
passenger,bus,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,79296467.26415436,21_VN,Yearly
passenger,ldv,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,251552284.44171146,01_AUS,Yearly
passenger,ldv,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,251552284.44171146,02_BD,Yearly
passenger,ldv,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,251552284.44171146,03_CDA,Yearly
passenger,ldv,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,251552284.44171146,04_CHL,Yearly
passenger,ldv,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,251552284.44171146,05_PRC,Yearly
passenger,ldv,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,251552284.44171146,06_HKC,Yearly
passenger,ldv,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,251552284.44171146,07_INA,Yearly
passenger,ldv,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,251552284.44171146,08_JPN,Yearly
passenger,ldv,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,251552284.44171146,09_ROK,Yearly
passenger,ldv,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,251552284.44171146,10_MAS,Yearly
passenger,ldv,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,251552284.44171146,11_MEX,Yearly
passenger,ldv,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,251552284.44171146,12_NZ,Yearly
passenger,ldv,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,251552284.44171146,13_PNG,Yearly
passenger,ldv,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,251552284.44171146,14_PE,Yearly
passenger,ldv,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,251552284.44171146,15_RP,Yearly
passenger,ldv,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,251552284.44171146,16_RUS,Yearly
passenger,ldv,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,251552284.44171146,17_SIN,Yearly
passenger,ldv,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,251552284.44171146,18_CT,Yearly
passenger,ldv,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,251552284.44171146,19_THA,Yearly
passenger,ldv,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,251552284.44171146,20_USA,Yearly
passenger,ldv,ice,Km_per_PJ,road,national,2019-12-31,Efficiency,251552284.44171146,21_VN,Yearly
