transport_type,vehicle_sub_type,vehicle_type,drive,unit,medium,scope,date,economy,measure,value
freight,Van,ldv,all,mileage,road,national,2019-12-31,20_USA,Mileage,11543.0
freight,heavy truck,ht,all,mileage,road,national,2019-12-31,20_USA,Mileage,62751.0
freight,urban,ht,all,mileage,road,national,2019-12-31,20_USA,Mileage,18717.5
passenger,2w,2w,all,mileage,road,national,2019-12-31,20_USA,Mileage,2312.0
passenger,car,ldv,all,mileage,road,national,2019-12-31,20_USA,Mileage,11467.0
passenger,light truck,ldv,all,mileage,road,national,2019-12-31,20_USA,Mileage,11543.0
passenger,transit,bus,all,mileage,road,national,2019-12-31,20_USA,Mileage,36538.0
passenger,urban,bus,all,mileage,road,national,2019-12-31,20_USA,Mileage,12000.0
