transport_type,vehicle_type,unit,medium,scope,date,measure,value,drive,economy,frequency
passenger,2w,passengers,road,national,2019-12-31,Occupancy,1.2,bev,01_AUS,Yearly
passenger,2w,passengers,road,national,2019-12-31,Occupancy,1.2,ice_d,01_AUS,Yearly
passenger,2w,passengers,road,national,2019-12-31,Occupancy,1.2,ice_g,01_AUS,Yearly
passenger,2w,passengers,road,national,2019-12-31,Occupancy,1.2,bev,02_BD,Yearly
passenger,2w,passengers,road,national,2019-12-31,Occupancy,1.2,ice_d,02_BD,Yearly
passenger,2w,passengers,road,national,2019-12-31,Occupancy,1.2,ice_g,02_BD,Yearly
passenger,2w,passengers,road,national,2019-12-31,Occupancy,1.2,bev,03_CDA,Yearly
passenger,2w,passengers,road,national,2019-12-31,Occupancy,1.2,ice_d,03_CDA,Yearly
passenger,2w,passengers,road,national,2019-12-31,Occupancy,1.2,ice_g,03_CDA,Yearly
passenger,2w,passengers,road,national,2019-12-31,Occupancy,1.2,bev,04_CHL,Yearly
passenger,2w,passengers,road,national,2019-12-31,Occupancy,1.2,ice_d,04_CHL,Yearly
passenger,2w,passengers,road,national,2019-12-31,Occupancy,1.2,ice_g,04_CHL,Yearly
passenger,2w,passengers,road,national,2019-12-31,Occupancy,1.2,bev,05_PRC,Yearly
passenger,2w,passengers,road,national,2019-12-31,Occupancy,1.2,ice_d,05_PRC,Yearly
passenger,2w,passengers,road,national,2019-12-31,Occupancy,1.2,ice_g,05_PRC,Yearly
passenger,2w,passengers,road,national,2019-12-31,Occupancy,1.2,bev,06_HKC,Yearly
passenger,2w,passengers,road,national,2019-12-31,Occupancy,1.2,ice_d,06_HKC,Yearly
passenger,2w,passengers,road,national,2019-12-31,Occupancy,1.2,ice_g,06_HKC,Yearly
passenger,2w,passengers,road,national,2019-12-31,Occupancy,1.2,bev,07_INA,Yearly
passenger,2w,passengers,road,national,2019-12-31,Occupancy,1.2,ice_d,07_INA,Yearly
passenger,2w,passengers,road,national,2019-12-31,Occupancy,1.2,ice_g,07_INA,Yearly
passenger,2w,passengers,road,national,2019-12-31,Occupancy,1.2,bev,08_JPN,Yearly
passenger,2w,passengers,road,national,2019-12-31,Occupancy,1.2,ice_d,08_JPN,Yearly
passenger,2w,passengers,road,national,2019-12-31,Occupancy,1.2,ice_g,08_JPN,Yearly
passenger,2w,passengers,road,national,2019-12-31,Occupancy,1.2,bev,09_ROK,Yearly
passenger,2w,passengers,road,national,2019-12-31,Occupancy,1.2,ice_d,09_ROK,Yearly
passenger,2w,passengers,road,national,2019-12-31,Occupancy,1.2,ice_g,09_ROK,Yearly
passenger,2w,passengers,road,national,2019-12-31,Occupancy,1.2,bev,10_MAS,Yearly
passenger,2w,passengers,road,national,2019-12-31,Occupancy,1.2,ice_d,10_MAS,Yearly
passenger,2w,passengers,road,national,2019-12-31,Occupancy,1.2,ice_g,10_MAS,Yearly
passenger,2w,passengers,road,national,2019-12-31,Occupancy,1.2,bev,11_MEX,Yearly
passenger,2w,passengers,road,national,2019-12-31,Occupancy,1.2,ice_d,11_MEX,Yearly
passenger,2w,passengers,road,national,2019-12-31,Occupancy,1.2,ice_g,11_MEX,Yearly
passenger,2w,passengers,road,national,2019-12-31,Occupancy,1.2,bev,12_NZ,Yearly
