transport_type,vehicle_type,unit,medium,scope,date,measure,value,drive,economy,frequency
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_g,09_ROK,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,lpg,09_ROK,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_d,09_ROK,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_g,09_ROK,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,bev,10_MAS,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,cng,10_MAS,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,fcev,10_MAS,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_d,10_MAS,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_g,10_MAS,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,lpg,10_MAS,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_d,10_MAS,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_g,10_MAS,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,bev,11_MEX,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,cng,11_MEX,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,fcev,11_MEX,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_d,11_MEX,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_g,11_MEX,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,lpg,11_MEX,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_d,11_MEX,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_g,11_MEX,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,bev,12_NZ,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,cng,12_NZ,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,fcev,12_NZ,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_d,12_NZ,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_g,12_NZ,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,lpg,12_NZ,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_d,12_NZ,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_g,12_NZ,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,bev,13_PNG,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,cng,13_PNG,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,fcev,13_PNG,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_d,13_PNG,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_g,13_PNG,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,lpg,13_PNG,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_d,13_PNG,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_g,13_PNG,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,bev,14_PE,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,cng,14_PE,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,fcev,14_PE,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_d,14_PE,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_g,14_PE,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,lpg,14_PE,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_d,14_PE,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_g,14_PE,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,bev,15_RP,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,cng,15_RP,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,fcev,15_RP,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_d,15_RP,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_g,15_RP,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,lpg,15_RP,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_d,15_RP,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_g,15_RP,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,bev,16_RUS,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,cng,16_RUS,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,fcev,16_RUS,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_d,16_RUS,Yearly
