transport_type,vehicle_type,drive,unit,medium,scope,date,economy,measure,value
freight,ht,ice,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,563920464729033.4
freight,ht,ice_d,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,48877209.052581474
freight,ht,ice_g,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,47667902.7411878
freight,lcv,ice,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,947130053260808.2
freight,lcv,ice_d,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,82091494.29513116
freight,lcv,ice_g,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,80060409.37667678
freight,mt,ice,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,676704557674840.0
freight,mt,ice_d,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,58652650.86309777
freight,mt,ice_g,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,57201483.28942536
passenger,2w,ice,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,6371982652305462.0
passenger,2w,ice_d,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,552284848.0517681
passenger,2w,ice_g,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,538620369.9569243
passenger,bus,ice,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,798887325032797.4
passenger,bus,ice_d,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,69242712.82449043
passenger,bus,ice_g,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,67529528.88334937
passenger,car,ice,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,3504590458768004.5
passenger,car,ice_d,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,303756666.42847246
passenger,car,ice_g,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,296241203.47630835
passenger,lt,ice,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,2534311282166945.0
passenger,lt,ice_d,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,219658746.38422593
passenger,lt,ice_g,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,214224010.77832216
passenger,ridesource,ice,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,3692853582586120.0
passenger,ridesource,ice_d,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,320074173.30272925
passenger,ridesource,ice_g,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,312154987.13412654
passenger,suv,ice,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,3504590458768004.5
passenger,suv,ice_d,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,303756666.42847246
passenger,suv,ice_g,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,296241203.47630835
