,date,economy,measure,vehicle_type,unit,medium,transport_type,drive,fuel,frequency,scope,potential_datapoints,num_datapoints,sum_of_values,scenario,unit.1,dataset,value,dataset_selection_method,comment
29,2015,07_INA,efficiency,2w,km_per_pj,road,passenger,bev,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,45230831149.18894,,,usa_alternative_fuels_data_center,1400685482.3174047,manual,no_comment
30,2016,07_INA,mileage,2w,km_per_stock,road,passenger,bev,all,yearly,national,['manually_inputted_data $ guess'],1,97500.0,,,manually_inputted_data $ guess,7500.0,single_datapoint,no_comment
31,2016,07_INA,occupancy_or_load,2w,passengers_or_tonnes,road,passenger,bev,all,yearly,national,['manually_inputted_data $ guess'],1,15.56,,,manually_inputted_data $ guess,1.1,manual,no_comment
32,2016,07_INA,stocks,2w,stocks,road,passenger,bev,all,yearly,national,['ato  country_official_statistics $ iea_ev_explorer_no_data'],1,5343.0,,,ato  country_official_statistics $ iea_ev_explorer_no_data,0.0,manual,no_comment
33,2016,07_INA,average_age,2w,age,road,passenger,bev,all,yearly,national,['manually_inputted_data $ guess'],1,13.0,,,manually_inputted_data $ guess,1.0,single_datapoint,no_comment
34,2016,07_INA,efficiency,2w,km_per_pj,road,passenger,bev,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,45230831149.18894,,,usa_alternative_fuels_data_center,1400685482.3174047,manual,no_comment
35,2017,07_INA,occupancy_or_load,2w,passengers_or_tonnes,road,passenger,bev,all,yearly,national,"['8th_-_new_vtypes_and_drives $ reference', 'manually_inputted_data $ guess']",2,15.56,,,manually_inputted_data $ guess,1.1,manual,no_comment
36,2017,07_INA,stocks,2w,stocks,road,passenger,bev,all,yearly,national,"['8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data', '8th_-_new_vtypes_and_drives $ reference', 'ato  country_official_statistics $ iea_ev_explorer_no_data']",3,5343.0,,,8th_-_new_vtypes_and_drives $ reference,5343.0,manual,no_comment
37,2017,07_INA,mileage,2w,km_per_stock,road,passenger,bev,all,yearly,national,['manually_inputted_data $ guess'],1,97500.0,,,manually_inputted_data $ guess,7500.0,single_datapoint,no_comment
38,2017,07_INA,average_age,2w,age,road,passenger,bev,all,yearly,national,['manually_inputted_data $ guess'],1,13.0,,,manually_inputted_data $ guess,1.0,single_datapoint,no_comment
39,2017,07_INA,efficiency,2w,km_per_pj,road,passenger,bev,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,45230831149.18894,,,usa_alternative_fuels_data_center,1400685482.3174047,manual,no_comment
40,2018,07_INA,mileage,2w,km_per_stock,road,passenger,bev,all,yearly,national,['manually_inputted_data $ guess'],1,97500.0,,,manually_inputted_data $ guess,7500.0,single_datapoint,no_comment
41,2018,07_INA,occupancy_or_load,2w,passengers_or_tonnes,road,passenger,bev,all,yearly,national,['manually_inputted_data $ guess'],1,15.56,,,manually_inputted_data $ guess,1.1,manual,no_comment
42,2018,07_INA,stocks,2w,stocks,road,passenger,bev,all,yearly,national,['ato  country_official_statistics $ iea_ev_explorer_no_data'],1,5343.0,,,ato  country_official_statistics $ iea_ev_explorer_no_data,0.0,manual,no_comment
43,2018,07_INA,average_age,2w,age,road,passenger,bev,all,yearly,national,['manually_inputted_data $ guess'],1,13.0,,,manually_inputted_data $ guess,1.0,single_datapoint,no_comment
44,2018,07_INA,efficiency,2w,km_per_pj,road,passenger,bev,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,45230831149.18894,,,usa_alternative_fuels_data_center,1400685482.3174047,manual,no_comment
45,2019,07_INA,mileage,2w,km_per_stock,road,passenger,bev,all,yearly,national,['manually_inputted_data $ guess'],1,97500.0,,,manually_inputted_data $ guess,7500.0,single_datapoint,no_comment
46,2019,07_INA,stocks,2w,stocks,road,passenger,bev,all,yearly,national,['ato  country_official_statistics $ iea_ev_explorer_no_data'],1,5343.0,,,ato  country_official_statistics $ iea_ev_explorer_no_data,0.0,manual,no_comment
47,2019,07_INA,occupancy_or_load,2w,passengers_or_tonnes,road,passenger,bev,all,yearly,national,['manually_inputted_data $ guess'],1,15.56,,,manually_inputted_data $ guess,1.1,manual,no_comment
48,2019,07_INA,average_age,2w,age,road,passenger,bev,all,yearly,national,['manually_inputted_data $ guess'],1,13.0,,,manually_inputted_data $ guess,1.0,single_datapoint,no_comment
