economy,date,medium,measure,dataset,unit,fuel,comment,scope,frequency,drive,vehicle_type,transport_type,value
20_USA,1993,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1993,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1994,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1994,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1994,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1995,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1995,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1995,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1996,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1996,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1996,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1997,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1997,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1997,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1998,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1998,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1998,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1999,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1999,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1999,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2000,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2000,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2000,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2001,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2001,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2001,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2002,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2002,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2002,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2003,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2003,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2003,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2004,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2004,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2004,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2005,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2005,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2005,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2006,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2006,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2006,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2007,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2007,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2007,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2008,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2008,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2008,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2009,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2009,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2009,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2010,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,0.0005585408927378155
20_USA,2010,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,0.0007912563814492102
20_USA,2010,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,9.03331863204559e-05
20_USA,2011,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,0.004595562883834835
20_USA,2011,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,0.008609381435560797
20_USA,2011,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,0.0015429000537877152
20_USA,2012,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,0.018688524309296534
20_USA,2012,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,0.03124134414343693
20_USA,2012,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,0.006705466835665901
20_USA,2013,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,0.04054818627166454
20_USA,2013,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,0.07198528247649708
20_USA,2013,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,0.014099846205905153
20_USA,2014,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,0.06835120811455701
20_USA,2014,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,0.11947968490077983
20_USA,2014,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,0.0231209510027429
20_USA,2015,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,0.09262557896712312
20_USA,2015,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,0.16699628925556478
20_USA,2015,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,0.032104859766486346
20_USA,2016,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,0.1357505598242211
20_USA,2016,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,0.23236691953779298
20_USA,2016,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,0.04506738031002499
20_USA,2017,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,250.1972749484579
20_USA,2017,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,405.41579047927513
20_USA,2017,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,78.4256837210657
20_USA,2018,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,0.2738544804145626
20_USA,2018,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,0.5242661686785799
20_USA,2018,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,0.08989852838834964
20_USA,2019,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,0.3539731160800595
20_USA,2019,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,0.6486751613184033
20_USA,2019,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,0.1148892117436078
20_USA,2020,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,773.2318123447792
20_USA,2020,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,1784.5241002945118
20_USA,2020,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,305.47048367633323
20_USA,1980,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,1980,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,1980,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,1981,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,1981,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,1981,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,1982,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,1982,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,1982,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,1983,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,1983,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,1983,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,1984,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,1984,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,1984,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,1985,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,1985,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,1985,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,1986,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,1986,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,1986,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,1987,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,1987,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
20_USA,1987,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,passenger,
