,Date,Economy,Measure,Vehicle Type,Unit,Medium,Transport Type,Drive,Fuel_Type,Frequency,Scope,level_0,index,Final_dataset_selection_method,Value,Dataset
34,2014-12-31,09_ROK,passenger_km,,passenger_km,ship,passenger,,,Yearly,National,14158.0,14308.0,Automatic,755788457.0,ATO $ Country Official Statistics
35,2015-12-31,09_ROK,passenger_km,,passenger_km,ship,passenger,,,Yearly,National,14159.0,14309.0,Automatic,757404496.0,ATO $ Country Official Statistics
36,2016-12-31,09_ROK,passenger_km,,passenger_km,ship,passenger,,,Yearly,National,14160.0,14310.0,Automatic,839080084.0,ATO $ Country Official Statistics
37,2017-12-31,09_ROK,passenger_km,,passenger_km,ship,passenger,,,Yearly,National,14161.0,14311.0,Automatic,915668809.0,ATO $ Country Official Statistics
38,2018-12-31,09_ROK,passenger_km,,passenger_km,ship,passenger,,,Yearly,National,14162.0,14312.0,interpolation,915668809.0,
39,2019-12-31,09_ROK,passenger_km,,passenger_km,ship,passenger,,,Yearly,National,14163.0,14313.0,interpolation,915668809.0,
40,2010-12-31,21_VN,passenger_km,,passenger_km,air,passenger,,,Yearly,"National, International",14164.0,14514.0,Automatic,21162000000.0,ATO $ Country Official Statistics
41,2011-12-31,21_VN,passenger_km,,passenger_km,air,passenger,,,Yearly,"National, International",14165.0,14515.0,Automatic,23269000000.0,ATO $ Country Official Statistics
42,2012-12-31,21_VN,passenger_km,,passenger_km,air,passenger,,,Yearly,"National, International",14166.0,14516.0,Automatic,23626000000.0,ATO $ Country Official Statistics
43,2013-12-31,21_VN,passenger_km,,passenger_km,air,passenger,,,Yearly,"National, International",14167.0,14517.0,Automatic,26877700000.0,ATO $ Country Official Statistics
44,2014-12-31,21_VN,passenger_km,,passenger_km,air,passenger,,,Yearly,"National, International",14168.0,14518.0,Automatic,34707500000.0,ATO $ Country Official Statistics
45,2015-12-31,21_VN,passenger_km,,passenger_km,air,passenger,,,Yearly,"National, International",14169.0,14519.0,Automatic,42068400000.0,ATO $ Country Official Statistics
46,2016-12-31,21_VN,passenger_km,,passenger_km,air,passenger,,,Yearly,"National, International",14170.0,14520.0,Automatic,48236600000.0,ATO $ Country Official Statistics
47,2017-12-31,21_VN,passenger_km,,passenger_km,air,passenger,,,Yearly,"National, International",14171.0,14521.0,Automatic,54314400000.0,ATO $ Country Official Statistics
48,2018-12-31,21_VN,passenger_km,,passenger_km,air,passenger,,,Yearly,"National, International",14172.0,14522.0,interpolation,65858600000.0,
49,2019-12-31,21_VN,passenger_km,,passenger_km,air,passenger,,,Yearly,"National, International",14173.0,14523.0,Automatic,77402800000.0,ATO $ Country Official Statistics
50,2010-12-31,19_THA,freight_tonne_km,,freight_tonne_km,ship,freight,,,Yearly,National,14174.0,14534.0,interpolation,7993440000.0,
51,2011-12-31,19_THA,freight_tonne_km,,freight_tonne_km,ship,freight,,,Yearly,National,14175.0,14535.0,interpolation,7993440000.0,
52,2012-12-31,19_THA,freight_tonne_km,,freight_tonne_km,ship,freight,,,Yearly,National,14176.0,14536.0,interpolation,7993440000.0,
53,2013-12-31,19_THA,freight_tonne_km,,freight_tonne_km,ship,freight,,,Yearly,National,14177.0,14537.0,interpolation,7993440000.0,
54,2014-12-31,19_THA,freight_tonne_km,,freight_tonne_km,ship,freight,,,Yearly,National,14178.0,14538.0,Automatic,7993440000.0,ATO $ Country Official Statistics
55,2015-12-31,19_THA,freight_tonne_km,,freight_tonne_km,ship,freight,,,Yearly,National,14179.0,14539.0,Automatic,7160720000.0,ATO $ Country Official Statistics
56,2016-12-31,19_THA,freight_tonne_km,,freight_tonne_km,ship,freight,,,Yearly,National,14180.0,14540.0,Automatic,7056380000.0,ATO $ Country Official Statistics
57,2017-12-31,19_THA,freight_tonne_km,,freight_tonne_km,ship,freight,,,Yearly,National,14181.0,14541.0,Automatic,7403770000.0,ATO $ Country Official Statistics
58,2018-12-31,19_THA,freight_tonne_km,,freight_tonne_km,ship,freight,,,Yearly,National,14182.0,14542.0,Automatic,7808170000.0,ATO $ Country Official Statistics
