,date,economy,measure,vehicle_type,unit,medium,transport_type,drive,fuel,frequency,scope,potential_datapoints,num_datapoints,sum_of_values,dataset,value,dataset_selection_method,comment
26,2021,15_PHL,energy,2w,pj,road,passenger,bev,all,yearly,national,"['9th_outlook_esto', 'estimated $ calculate_energy_and_activity()']",2,0.006446843430589467,9th_outlook_esto,0.0,manual,no_comment
27,2022,15_PHL,new_vehicle_efficiency,2w,km_per_pj,road,passenger,bev,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,45230831149.18894,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,2078609221.46636,manual,usa_data
28,2022,15_PHL,travel_km,2w,km,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_activity()'],1,9030000.0,estimated $ calculate_energy_and_activity(),4515000.0,single_datapoint,no_comment
29,2022,15_PHL,activity,2w,passenger_km_or_freight_tonne_km,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_activity()'],1,9933000.0,estimated $ calculate_energy_and_activity(),4966500.0,single_datapoint,no_comment
30,2022,15_PHL,energy,2w,pj,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_activity()'],1,0.006446843430589467,estimated $ calculate_energy_and_activity(),0.0032234217152947334,manual,no_comment
31,2010,15_PHL,new_vehicle_efficiency,2w,km_per_pj,road,passenger,ice_d,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,15903486682.158934,usa_alternative_fuels_data_center,552284848.0517681,manual,no_comment
32,2010,15_PHL,energy,2w,pj,road,passenger,ice_d,all,yearly,national,['9th_outlook_esto'],1,0.001629593864787033,9th_outlook_esto,0.0,manual,no_comment
33,2011,15_PHL,new_vehicle_efficiency,2w,km_per_pj,road,passenger,ice_d,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,15903486682.158934,usa_alternative_fuels_data_center,552284848.0517681,manual,no_comment
34,2011,15_PHL,energy,2w,pj,road,passenger,ice_d,all,yearly,national,['9th_outlook_esto'],1,0.001629593864787033,9th_outlook_esto,0.0,manual,no_comment
35,2012,15_PHL,new_vehicle_efficiency,2w,km_per_pj,road,passenger,ice_d,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,15903486682.158934,usa_alternative_fuels_data_center,552284848.0517681,manual,no_comment
36,2012,15_PHL,energy,2w,pj,road,passenger,ice_d,all,yearly,national,['9th_outlook_esto'],1,0.001629593864787033,9th_outlook_esto,0.0,manual,no_comment
37,2013,15_PHL,new_vehicle_efficiency,2w,km_per_pj,road,passenger,ice_d,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,15903486682.158934,usa_alternative_fuels_data_center,552284848.0517681,manual,no_comment
38,2013,15_PHL,energy,2w,pj,road,passenger,ice_d,all,yearly,national,['9th_outlook_esto'],1,0.001629593864787033,9th_outlook_esto,0.0,manual,no_comment
39,2014,15_PHL,new_vehicle_efficiency,2w,km_per_pj,road,passenger,ice_d,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,15903486682.158934,usa_alternative_fuels_data_center,552284848.0517681,manual,no_comment
40,2014,15_PHL,energy,2w,pj,road,passenger,ice_d,all,yearly,national,['9th_outlook_esto'],1,0.001629593864787033,9th_outlook_esto,0.0,manual,no_comment
41,2015,15_PHL,new_vehicle_efficiency,2w,km_per_pj,road,passenger,ice_d,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,15903486682.158934,usa_alternative_fuels_data_center,552284848.0517681,manual,no_comment
42,2015,15_PHL,energy,2w,pj,road,passenger,ice_d,all,yearly,national,['9th_outlook_esto'],1,0.001629593864787033,9th_outlook_esto,0.0,manual,no_comment
43,2016,15_PHL,new_vehicle_efficiency,2w,km_per_pj,road,passenger,ice_d,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,15903486682.158934,usa_alternative_fuels_data_center,552284848.0517681,manual,no_comment
44,2016,15_PHL,energy,2w,pj,road,passenger,ice_d,all,yearly,national,['9th_outlook_esto'],1,0.001629593864787033,9th_outlook_esto,0.0,manual,no_comment
45,2017,15_PHL,new_vehicle_efficiency,2w,km_per_pj,road,passenger,ice_d,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,15903486682.158934,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,671060281.345073,manual,usa_data
46,2017,15_PHL,energy,2w,pj,road,passenger,ice_d,all,yearly,national,['9th_outlook_esto'],1,0.001629593864787033,9th_outlook_esto,0.0,manual,no_comment
47,2018,15_PHL,new_vehicle_efficiency,2w,km_per_pj,road,passenger,ice_d,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,15903486682.158934,usa_alternative_fuels_data_center,552284848.0517681,manual,no_comment
48,2018,15_PHL,energy,2w,pj,road,passenger,ice_d,all,yearly,national,['9th_outlook_esto'],1,0.001629593864787033,9th_outlook_esto,0.0,manual,no_comment
49,2019,15_PHL,new_vehicle_efficiency,2w,km_per_pj,road,passenger,ice_d,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,15903486682.158934,usa_alternative_fuels_data_center,552284848.0517681,manual,no_comment
50,2019,15_PHL,energy,2w,pj,road,passenger,ice_d,all,yearly,national,['9th_outlook_esto'],1,0.001629593864787033,9th_outlook_esto,0.0,manual,no_comment
51,2020,15_PHL,new_vehicle_efficiency,2w,km_per_pj,road,passenger,ice_d,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,15903486682.158934,usa_alternative_fuels_data_center,552284848.0517681,manual,no_comment
52,2020,15_PHL,energy,2w,pj,road,passenger,ice_d,all,yearly,national,['9th_outlook_esto'],1,0.001629593864787033,9th_outlook_esto,0.0,manual,no_comment
53,2021,15_PHL,new_vehicle_efficiency,2w,km_per_pj,road,passenger,ice_d,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,15903486682.158934,usa_alternative_fuels_data_center,552284848.0517681,manual,no_comment
54,2021,15_PHL,travel_km,2w,km,road,passenger,ice_d,all,yearly,national,['estimated $ calculate_energy_and_activity()'],1,900000.0,estimated $ calculate_energy_and_activity(),450000.0,single_datapoint,no_comment
55,2021,15_PHL,activity,2w,passenger_km_or_freight_tonne_km,road,passenger,ice_d,all,yearly,national,['estimated $ calculate_energy_and_activity()'],1,990000.0000000001,estimated $ calculate_energy_and_activity(),495000.00000000006,single_datapoint,no_comment
56,2021,15_PHL,energy,2w,pj,road,passenger,ice_d,all,yearly,national,"['9th_outlook_esto', 'estimated $ calculate_energy_and_activity()']",2,0.001629593864787033,estimated $ calculate_energy_and_activity(),0.0008147969323935165,manual,no_comment
57,2022,15_PHL,new_vehicle_efficiency,2w,km_per_pj,road,passenger,ice_d,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,15903486682.158934,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,671060281.345073,manual,usa_data
58,2022,15_PHL,travel_km,2w,km,road,passenger,ice_d,all,yearly,national,['estimated $ calculate_energy_and_activity()'],1,900000.0,estimated $ calculate_energy_and_activity(),450000.0,single_datapoint,no_comment
59,2022,15_PHL,activity,2w,passenger_km_or_freight_tonne_km,road,passenger,ice_d,all,yearly,national,['estimated $ calculate_energy_and_activity()'],1,990000.0000000001,estimated $ calculate_energy_and_activity(),495000.00000000006,single_datapoint,no_comment
60,2022,15_PHL,energy,2w,pj,road,passenger,ice_d,all,yearly,national,['estimated $ calculate_energy_and_activity()'],1,0.001629593864787033,estimated $ calculate_energy_and_activity(),0.0008147969323935165,manual,no_comment
61,2010,15_PHL,new_vehicle_efficiency,2w,km_per_pj,road,passenger,ice_g,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,14722613346.315086,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,593888348.99039,manual,usa_data
62,2010,15_PHL,energy,2w,pj,road,passenger,ice_g,all,yearly,national,['9th_outlook_esto'],1,266.7231980718799,9th_outlook_esto,0.0,manual,no_comment
63,2011,15_PHL,new_vehicle_efficiency,2w,km_per_pj,road,passenger,ice_g,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,14722613346.315086,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,593888348.99039,manual,usa_data
64,2011,15_PHL,energy,2w,pj,road,passenger,ice_g,all,yearly,national,['9th_outlook_esto'],1,266.7231980718799,9th_outlook_esto,0.0,manual,no_comment
65,2012,15_PHL,new_vehicle_efficiency,2w,km_per_pj,road,passenger,ice_g,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,14722613346.315086,usa_alternative_fuels_data_center,538620369.9569243,manual,no_comment
66,2012,15_PHL,energy,2w,pj,road,passenger,ice_g,all,yearly,national,['9th_outlook_esto'],1,266.7231980718799,9th_outlook_esto,0.0,manual,no_comment
67,2013,15_PHL,new_vehicle_efficiency,2w,km_per_pj,road,passenger,ice_g,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,14722613346.315086,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,593888348.99039,manual,usa_data
68,2013,15_PHL,energy,2w,pj,road,passenger,ice_g,all,yearly,national,['9th_outlook_esto'],1,266.7231980718799,9th_outlook_esto,0.0,manual,no_comment
69,2014,15_PHL,new_vehicle_efficiency,2w,km_per_pj,road,passenger,ice_g,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,14722613346.315086,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,593888348.99039,manual,usa_data
70,2014,15_PHL,energy,2w,pj,road,passenger,ice_g,all,yearly,national,['9th_outlook_esto'],1,266.7231980718799,9th_outlook_esto,0.0,manual,no_comment
71,2015,15_PHL,new_vehicle_efficiency,2w,km_per_pj,road,passenger,ice_g,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,14722613346.315086,usa_alternative_fuels_data_center,538620369.9569243,manual,no_comment
72,2015,15_PHL,energy,2w,pj,road,passenger,ice_g,all,yearly,national,['9th_outlook_esto'],1,266.7231980718799,9th_outlook_esto,0.0,manual,no_comment
73,2016,15_PHL,new_vehicle_efficiency,2w,km_per_pj,road,passenger,ice_g,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,14722613346.315086,usa_alternative_fuels_data_center,538620369.9569243,manual,no_comment
74,2016,15_PHL,energy,2w,pj,road,passenger,ice_g,all,yearly,national,['9th_outlook_esto'],1,266.7231980718799,9th_outlook_esto,0.0,manual,no_comment
75,2017,15_PHL,new_vehicle_efficiency,2w,km_per_pj,road,passenger,ice_g,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,14722613346.315086,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,593888348.99039,manual,usa_data
76,2017,15_PHL,activity,2w,passenger_km_or_freight_tonne_km,road,passenger,ice_g,all,yearly,national,['8th_-_new_vtypes_and_drives $ reference'],1,157532970220.0,8th_-_new_vtypes_and_drives $ reference,17738304220.0,single_datapoint,no_comment
77,2017,15_PHL,energy,2w,pj,road,passenger,ice_g,all,yearly,national,"['8th_-_new_vtypes_and_drives $ reference', '9th_outlook_esto']",2,266.7231980718799,9th_outlook_esto,0.0,manual,no_comment
78,2018,15_PHL,new_vehicle_efficiency,2w,km_per_pj,road,passenger,ice_g,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,14722613346.315086,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,593888348.99039,manual,usa_data
79,2018,15_PHL,energy,2w,pj,road,passenger,ice_g,all,yearly,national,['9th_outlook_esto'],1,266.7231980718799,9th_outlook_esto,0.0,manual,no_comment
80,2019,15_PHL,new_vehicle_efficiency,2w,km_per_pj,road,passenger,ice_g,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,14722613346.315086,usa_alternative_fuels_data_center,538620369.9569243,manual,no_comment
81,2019,15_PHL,energy,2w,pj,road,passenger,ice_g,all,yearly,national,['9th_outlook_esto'],1,266.7231980718799,9th_outlook_esto,0.0,manual,no_comment
82,2020,15_PHL,new_vehicle_efficiency,2w,km_per_pj,road,passenger,ice_g,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,14722613346.315086,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,593888348.99039,manual,usa_data
