,date,economy,measure,vehicle_type,unit,medium,transport_type,drive,fuel,frequency,scope,potential_datapoints,num_datapoints,dataset,value,dataset_selection_method,comment
0,2017,01_AUS,energy,2w,pj,road,passenger,all,all,yearly,national,['8th_edition_transport_model $ reference'],1,8th_edition_transport_model $ reference,3.820060864278526,single_datapoint,no_comment
1,2017,01_AUS,passenger_km,2w,passenger_km,road,passenger,all,all,yearly,national,['8th_edition_transport_model $ reference'],1,8th_edition_transport_model $ reference,3387349719.599153,single_datapoint,no_comment
2,2010,01_AUS,passenger_km,bus,passenger_km,road,passenger,all,all,yearly,national,['ato $ country_official_statistics'],1,ato $ country_official_statistics,19540000000.0,Manual,no_comment
3,2011,01_AUS,passenger_km,bus,passenger_km,road,passenger,all,all,yearly,national,['ato $ country_official_statistics'],1,ato $ country_official_statistics,19930000000.0,Manual,no_comment
4,2012,01_AUS,passenger_km,bus,passenger_km,road,passenger,all,all,yearly,national,['ato $ country_official_statistics'],1,ato $ country_official_statistics,20410000000.0,Manual,no_comment
5,2013,01_AUS,passenger_km,bus,passenger_km,road,passenger,all,all,yearly,national,['ato $ country_official_statistics'],1,ato $ country_official_statistics,20770000000.0,Manual,no_comment
6,2014,01_AUS,passenger_km,bus,passenger_km,road,passenger,all,all,yearly,national,['ato $ country_official_statistics'],1,ato $ country_official_statistics,21170000000.0,Manual,no_comment
7,2015,01_AUS,passenger_km,bus,passenger_km,road,passenger,all,all,yearly,national,['ato $ country_official_statistics'],1,ato $ country_official_statistics,21300000000.0,Manual,no_comment
8,2016,01_AUS,passenger_km,bus,passenger_km,road,passenger,all,all,yearly,national,['ato $ country_official_statistics'],1,ato $ country_official_statistics,21630000000.0,Manual,no_comment
9,2017,01_AUS,energy,bus,pj,road,passenger,all,all,yearly,national,['8th_edition_transport_model $ reference'],1,8th_edition_transport_model $ reference,23.66259141742205,single_datapoint,no_comment
10,2017,01_AUS,passenger_km,bus,passenger_km,road,passenger,all,all,yearly,national,"['8th_edition_transport_model $ reference', 'ato $ country_official_statistics']",2,ato $ country_official_statistics,22090000000.0,Manual,no_comment
11,2018,01_AUS,passenger_km,bus,passenger_km,road,passenger,all,all,yearly,national,['ato $ country_official_statistics'],1,ato $ country_official_statistics,22530000000.0,Manual,no_comment
12,2019,01_AUS,passenger_km,bus,passenger_km,road,passenger,all,all,yearly,national,['ato $ country_official_statistics'],1,ato $ country_official_statistics,22080000000.0,Manual,no_comment
13,2020,01_AUS,passenger_km,bus,passenger_km,road,passenger,all,all,yearly,national,['ato $ country_official_statistics'],1,ato $ country_official_statistics,16810000000.0,Manual,no_comment
14,2021,01_AUS,passenger_km,bus,passenger_km,road,passenger,all,all,yearly,national,['ato $ country_official_statistics'],1,ato $ country_official_statistics,12970000000.0,Manual,no_comment
15,2017,01_AUS,energy,ldv,pj,road,passenger,all,all,yearly,national,['8th_edition_transport_model $ reference'],1,8th_edition_transport_model $ reference,783.1183780649202,single_datapoint,no_comment
16,2017,01_AUS,passenger_km,ldv,passenger_km,road,passenger,all,all,yearly,national,['8th_edition_transport_model $ reference'],1,8th_edition_transport_model $ reference,336445564313.27075,single_datapoint,no_comment
17,2017,02_BD,energy,2w,pj,road,passenger,all,all,yearly,national,['8th_edition_transport_model $ reference'],1,8th_edition_transport_model $ reference,0.008815126472487271,single_datapoint,no_comment
18,2017,02_BD,passenger_km,2w,passenger_km,road,passenger,all,all,yearly,national,['8th_edition_transport_model $ reference'],1,8th_edition_transport_model $ reference,13773917.899656208,single_datapoint,no_comment
19,2017,02_BD,energy,bus,pj,road,passenger,all,all,yearly,national,['8th_edition_transport_model $ reference'],1,8th_edition_transport_model $ reference,0.46019503009365414,single_datapoint,no_comment
20,2017,02_BD,passenger_km,bus,passenger_km,road,passenger,all,all,yearly,national,['8th_edition_transport_model $ reference'],1,8th_edition_transport_model $ reference,786453252.0427775,single_datapoint,no_comment
21,2017,02_BD,energy,ldv,pj,road,passenger,all,all,yearly,national,['8th_edition_transport_model $ reference'],1,8th_edition_transport_model $ reference,14.945365011123409,single_datapoint,no_comment
22,2017,02_BD,passenger_km,ldv,passenger_km,road,passenger,all,all,yearly,national,['8th_edition_transport_model $ reference'],1,8th_edition_transport_model $ reference,5463435882.535654,single_datapoint,no_comment
23,2017,03_CDA,energy,2w,pj,road,passenger,all,all,yearly,national,['8th_edition_transport_model $ reference'],1,8th_edition_transport_model $ reference,5.139170305750572,single_datapoint,no_comment
24,2017,03_CDA,passenger_km,2w,passenger_km,road,passenger,all,all,yearly,national,['8th_edition_transport_model $ reference'],1,8th_edition_transport_model $ reference,3268245667.0,single_datapoint,no_comment
25,2017,03_CDA,energy,bus,pj,road,passenger,all,all,yearly,national,['8th_edition_transport_model $ reference'],1,8th_edition_transport_model $ reference,38.51185875939911,single_datapoint,no_comment
26,2017,03_CDA,passenger_km,bus,passenger_km,road,passenger,all,all,yearly,national,['8th_edition_transport_model $ reference'],1,8th_edition_transport_model $ reference,59980843660.0,single_datapoint,no_comment
27,2017,03_CDA,energy,ldv,pj,road,passenger,all,all,yearly,national,['8th_edition_transport_model $ reference'],1,8th_edition_transport_model $ reference,1011.2634411727256,single_datapoint,no_comment
28,2017,03_CDA,passenger_km,ldv,passenger_km,road,passenger,all,all,yearly,national,['8th_edition_transport_model $ reference'],1,8th_edition_transport_model $ reference,531762157022.0,single_datapoint,no_comment
29,2017,04_CHL,energy,2w,pj,road,passenger,all,all,yearly,national,['8th_edition_transport_model $ reference'],1,8th_edition_transport_model $ reference,1.036194355083892,single_datapoint,no_comment
30,2017,04_CHL,passenger_km,2w,passenger_km,road,passenger,all,all,yearly,national,['8th_edition_transport_model $ reference'],1,8th_edition_transport_model $ reference,414499392.0,single_datapoint,no_comment
31,2017,04_CHL,energy,bus,pj,road,passenger,all,all,yearly,national,['8th_edition_transport_model $ reference'],1,8th_edition_transport_model $ reference,34.76955775606633,single_datapoint,no_comment
32,2017,04_CHL,passenger_km,bus,passenger_km,road,passenger,all,all,yearly,national,['8th_edition_transport_model $ reference'],1,8th_edition_transport_model $ reference,48189431093.0,single_datapoint,no_comment
33,2017,04_CHL,energy,ldv,pj,road,passenger,all,all,yearly,national,['8th_edition_transport_model $ reference'],1,8th_edition_transport_model $ reference,176.26266156872938,single_datapoint,no_comment
34,2017,04_CHL,passenger_km,ldv,passenger_km,road,passenger,all,all,yearly,national,['8th_edition_transport_model $ reference'],1,8th_edition_transport_model $ reference,64976447908.99999,single_datapoint,no_comment
35,2017,05_PRC,energy,2w,pj,road,passenger,all,all,yearly,national,['8th_edition_transport_model $ reference'],1,8th_edition_transport_model $ reference,220.50469033664442,single_datapoint,no_comment
36,2017,05_PRC,passenger_km,2w,passenger_km,road,passenger,all,all,yearly,national,['8th_edition_transport_model $ reference'],1,8th_edition_transport_model $ reference,261619600000.00003,single_datapoint,no_comment
37,2017,05_PRC,energy,bus,pj,road,passenger,all,all,yearly,national,['8th_edition_transport_model $ reference'],1,8th_edition_transport_model $ reference,505.6034757055372,single_datapoint,no_comment
38,2017,05_PRC,passenger_km,bus,passenger_km,road,passenger,all,all,yearly,national,['8th_edition_transport_model $ reference'],1,8th_edition_transport_model $ reference,1096071950000.0,single_datapoint,no_comment
39,2017,05_PRC,energy,ldv,pj,road,passenger,all,all,yearly,national,['8th_edition_transport_model $ reference'],1,8th_edition_transport_model $ reference,4651.998718415575,single_datapoint,no_comment
40,2017,05_PRC,passenger_km,ldv,passenger_km,road,passenger,all,all,yearly,national,['8th_edition_transport_model $ reference'],1,8th_edition_transport_model $ reference,4968710525000.0,single_datapoint,no_comment
41,2017,06_HKC,energy,2w,pj,road,passenger,all,all,yearly,national,['8th_edition_transport_model $ reference'],1,8th_edition_transport_model $ reference,0.2014343277240747,single_datapoint,no_comment
42,2017,06_HKC,passenger_km,2w,passenger_km,road,passenger,all,all,yearly,national,['8th_edition_transport_model $ reference'],1,8th_edition_transport_model $ reference,145117856.7762453,single_datapoint,no_comment
43,2017,06_HKC,energy,bus,pj,road,passenger,all,all,yearly,national,['8th_edition_transport_model $ reference'],1,8th_edition_transport_model $ reference,7.433543834538357,single_datapoint,no_comment
44,2017,06_HKC,passenger_km,bus,passenger_km,road,passenger,all,all,yearly,national,['8th_edition_transport_model $ reference'],1,8th_edition_transport_model $ reference,9592514218.560719,single_datapoint,no_comment
45,2017,06_HKC,energy,ldv,pj,road,passenger,all,all,yearly,national,['8th_edition_transport_model $ reference'],1,8th_edition_transport_model $ reference,27.34934152495251,single_datapoint,no_comment
46,2017,06_HKC,passenger_km,ldv,passenger_km,road,passenger,all,all,yearly,national,['8th_edition_transport_model $ reference'],1,8th_edition_transport_model $ reference,14821283061.165932,single_datapoint,no_comment
47,2017,07_INA,energy,2w,pj,road,passenger,all,all,yearly,national,['8th_edition_transport_model $ reference'],1,8th_edition_transport_model $ reference,373.23778198058943,single_datapoint,no_comment
48,2017,07_INA,passenger_km,2w,passenger_km,road,passenger,all,all,yearly,national,['8th_edition_transport_model $ reference'],1,8th_edition_transport_model $ reference,241437225610.0,single_datapoint,no_comment
49,2010,07_INA,passenger_km,bus,passenger_km,road,passenger,all,all,yearly,national,['ato $ country_official_statistics'],1,ato $ country_official_statistics,1165849.0,Manual,no_comment
50,2011,07_INA,passenger_km,bus,passenger_km,road,passenger,all,all,yearly,national,['ato $ country_official_statistics'],1,ato $ country_official_statistics,1047228.0,Manual,no_comment
51,2012,07_INA,passenger_km,bus,passenger_km,road,passenger,all,all,yearly,national,['ato $ country_official_statistics'],1,ato $ country_official_statistics,1267817.0,Manual,no_comment
52,2013,07_INA,passenger_km,bus,passenger_km,road,passenger,all,all,yearly,national,['ato $ country_official_statistics'],1,ato $ country_official_statistics,3881535.999999999,Manual,no_comment
53,2014,07_INA,passenger_km,bus,passenger_km,road,passenger,all,all,yearly,national,['ato $ country_official_statistics'],1,ato $ country_official_statistics,2937095.0,Manual,no_comment
54,2015,07_INA,passenger_km,bus,passenger_km,road,passenger,all,all,yearly,national,['ato $ country_official_statistics'],1,ato $ country_official_statistics,2880725.0,Manual,no_comment
55,2016,07_INA,passenger_km,bus,passenger_km,road,passenger,all,all,yearly,national,['ato $ country_official_statistics'],1,ato $ country_official_statistics,2908297.0,Manual,no_comment
56,2017,07_INA,energy,bus,pj,road,passenger,all,all,yearly,national,['8th_edition_transport_model $ reference'],1,8th_edition_transport_model $ reference,370.60827746007624,single_datapoint,no_comment
57,2017,07_INA,passenger_km,bus,passenger_km,road,passenger,all,all,yearly,national,"['8th_edition_transport_model $ reference', 'ato $ country_official_statistics']",2,ato $ country_official_statistics,2547934.0,Manual,no_comment
58,2017,07_INA,energy,ldv,pj,road,passenger,all,all,yearly,national,['8th_edition_transport_model $ reference'],1,8th_edition_transport_model $ reference,763.3257154931616,single_datapoint,no_comment
59,2017,07_INA,passenger_km,ldv,passenger_km,road,passenger,all,all,yearly,national,['8th_edition_transport_model $ reference'],1,8th_edition_transport_model $ reference,314166176574.0,single_datapoint,no_comment
60,2017,08_JPN,energy,2w,pj,road,passenger,all,all,yearly,national,['8th_edition_transport_model $ reference'],1,8th_edition_transport_model $ reference,37.12352411335378,single_datapoint,no_comment
61,2017,08_JPN,passenger_km,2w,passenger_km,road,passenger,all,all,yearly,national,['8th_edition_transport_model $ reference'],1,8th_edition_transport_model $ reference,31294950940.0,single_datapoint,no_comment
62,2010,08_JPN,passenger_km,bus,passenger_km,road,passenger,all,all,yearly,national,['ato $ country_official_statistics'],1,ato $ country_official_statistics,69955000000.0,Manual,no_comment
