Date,Vehicle Type,Transport Type,Drive,Measure,Comment,Dataset,Frequency,Fuel,Scope,Economy,Medium,Unit,Value
2016-12-31,mt,freight,cng,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,15.7
2016-12-31,mt,freight,fcev,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,1.0
2016-12-31,mt,freight,ice_d,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,15.7
2016-12-31,mt,freight,ice_d,stocks,no_comment,AUS_census,Yearly,all,National,01_AUS,road,stocks,161929.91708779853
2016-12-31,mt,freight,ice_g,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,15.7
2016-12-31,mt,freight,ice_g,stocks,no_comment,AUS_census,Yearly,all,National,01_AUS,road,stocks,6689.0033212668595
2016-12-31,mt,freight,lpg,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,15.7
2016-12-31,mt,freight,phev_d,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,1.0
2016-12-31,mt,freight,phev_g,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,1.0
2016-12-31,other,freight,all,stocks,no_comment,AUS_census,Yearly,all,National,01_AUS,road,stocks,23567.0
2016-12-31,suv,passenger,all,stocks,no_comment,AUS_census,Yearly,all,National,01_AUS,road,stocks,2072266.0499999998
2020-12-31,2w,passenger,all,stocks,no_comment,AUS_census,Yearly,all,National,01_AUS,road,stocks,880881.0
2020-12-31,bus,passenger,all,stocks,no_comment,AUS_census,Yearly,all,National,01_AUS,road,stocks,100473.0
2020-12-31,car,passenger,all,stocks,no_comment,AUS_census,Yearly,all,National,01_AUS,road,stocks,27156610.65
2020-12-31,ht,freight,all,stocks,no_comment,AUS_census,Yearly,all,National,01_AUS,road,stocks,287915.0
2020-12-31,ht,freight,bev,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,1.0
2020-12-31,ht,freight,cng,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,15.7
2020-12-31,ht,freight,fcev,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,1.0
