Unit,Date,Value,Economy,Measure,Frequency,Dataset,Source
PPP,1997-12-31,1.22,01_AUS,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,1997-12-31,426.168,01_AUS,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,1997-12-31,469.374,01_AUS,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,1998-12-31,1.219,01_AUS,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,1998-12-31,381.122,01_AUS,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,1998-12-31,496.728,01_AUS,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,1999-12-31,1.213,01_AUS,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,1999-12-31,411.455,01_AUS,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,1999-12-31,525.629,01_AUS,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2000-12-31,1.238,01_AUS,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2000-12-31,399.65,01_AUS,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2000-12-31,554.195,01_AUS,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2001-12-31,1.254,01_AUS,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2001-12-31,377.526,01_AUS,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2001-12-31,581.79,01_AUS,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2002-12-31,1.27,01_AUS,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2002-12-31,425.115,01_AUS,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2002-12-31,615.489,01_AUS,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2003-12-31,1.283,01_AUS,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2003-12-31,540.95,01_AUS,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2003-12-31,646.57,01_AUS,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2004-12-31,1.293,01_AUS,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2004-12-31,658.379,01_AUS,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2004-12-31,691.208,01_AUS,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2005-12-31,1.312,01_AUS,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2005-12-31,735.633,01_AUS,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2005-12-31,734.247,01_AUS,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2006-12-31,1.337,01_AUS,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2006-12-31,782.398,01_AUS,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2006-12-31,776.597,01_AUS,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2007-12-31,1.36,01_AUS,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2007-12-31,949.037,01_AUS,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2007-12-31,832.422,01_AUS,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2008-12-31,1.419,01_AUS,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2008-12-31,1055.936,01_AUS,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2008-12-31,870.121,01_AUS,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2009-12-31,1.416,01_AUS,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2009-12-31,999.994,01_AUS,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2009-12-31,892.432,01_AUS,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2010-12-31,1.474,01_AUS,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2010-12-31,1253.606,01_AUS,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2010-12-31,925.187,01_AUS,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2011-12-31,1.511,01_AUS,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2011-12-31,1514.658,01_AUS,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2011-12-31,971.105,01_AUS,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2012-12-31,1.54,01_AUS,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2012-12-31,1569.221,01_AUS,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2012-12-31,983.683,01_AUS,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2013-12-31,1.447,01_AUS,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2013-12-31,1518.966,01_AUS,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2013-12-31,1083.867,01_AUS,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2014-12-31,1.452,01_AUS,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2014-12-31,1456.432,01_AUS,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2014-12-31,1110.801,01_AUS,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2015-12-31,1.474,01_AUS,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2015-12-31,1233.112,01_AUS,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2015-12-31,1111.502,01_AUS,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2016-12-31,1.45,01_AUS,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2016-12-31,1263.833,01_AUS,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2016-12-31,1171.813,01_AUS,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2017-12-31,1.466,01_AUS,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2017-12-31,1381.986,01_AUS,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2017-12-31,1229.575,01_AUS,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2018-12-31,1.464,01_AUS,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2018-12-31,1416.818,01_AUS,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2018-12-31,1293.905,01_AUS,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2019-12-31,1.485,01_AUS,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2019-12-31,1386.697,01_AUS,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2019-12-31,1343.163,01_AUS,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2020-12-31,1.478,01_AUS,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2020-12-31,1357.639,01_AUS,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2020-12-31,1330.292,01_AUS,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2021-12-31,1.496,01_AUS,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2021-12-31,1635.255,01_AUS,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2021-12-31,1453.551,01_AUS,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2022-12-31,1.507,01_AUS,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2022-12-31,1724.787,01_AUS,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2022-12-31,1615.286,01_AUS,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2023-12-31,1.482,01_AUS,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2023-12-31,1787.948,01_AUS,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2023-12-31,1704.479,01_AUS,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2024-12-31,1.469,01_AUS,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2024-12-31,1837.686,01_AUS,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2024-12-31,1771.582,01_AUS,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2025-12-31,1.48,01_AUS,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2025-12-31,1913.523,01_AUS,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2025-12-31,1840.791,01_AUS,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2026-12-31,1.488,01_AUS,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2026-12-31,1994.128,01_AUS,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2026-12-31,1916.207,01_AUS,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,2027-12-31,1.496,01_AUS,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,2027-12-31,2081.613,01_AUS,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,2027-12-31,1997.794,01_AUS,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,1985-12-31,0.855,02_BD,PPP,Yearly,IMF,PPP
