economy,date,medium,measure,dataset,unit,fuel,comment,scope,frequency,vehicle_type,transport_type,drive,value
15_PHL,2022,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,ice_g,295.0
15_PHL,2022,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,lpg,2.0
15_PHL,2022,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,phev_g,0.0
15_PHL,2022,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,bev,87.0
15_PHL,2022,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,cng,2.0
15_PHL,2022,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,ice_d,27531.0
15_PHL,2022,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,ice_g,1282377.0
15_PHL,2022,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,lpg,2.0
15_PHL,2022,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,phev_g,5.0
15_PHL,2022,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,ht,freight,bev,0.0
15_PHL,2022,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,ht,freight,cng,27.0
15_PHL,2022,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,ht,freight,ice_d,516046.0
15_PHL,2022,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,ht,freight,ice_g,5769.0
15_PHL,2022,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,ht,freight,lpg,1.0
15_PHL,2022,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,ht,freight,phev_g,0.0
15_PHL,2022,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,bev,82.0
15_PHL,2022,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,cng,8.0
15_PHL,2022,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,ice_d,1792355.0
15_PHL,2022,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,ice_g,793402.0
15_PHL,2022,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,lpg,1.0
15_PHL,2022,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,phev_g,0.0
15_PHL,2022,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,mt,freight,ice_d,631.0
15_PHL,2022,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,bev,91.0
15_PHL,2022,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,cng,1.0
15_PHL,2022,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,ice_d,569109.0
15_PHL,2022,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,ice_g,395866.0
15_PHL,2022,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,lpg,0.0
15_PHL,2022,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,phev_g,161.0
