Economy,Transport Type,Medium,Vehicle Type,Drive,Date,Share,Scenario
15_PHL,passenger,road,car,phev_d,2033,0.0005261983380195349,Reference
15_PHL,passenger,road,car,phev_d,2034,0.0005257903736628804,Reference
15_PHL,passenger,road,car,phev_d,2035,0.0005262004917283235,Reference
15_PHL,passenger,road,car,phev_d,2036,0.0005260704785656331,Reference
15_PHL,passenger,road,car,phev_d,2037,0.0005261224788379665,Reference
15_PHL,passenger,road,car,phev_d,2038,0.0005260647755054655,Reference
15_PHL,passenger,road,car,phev_d,2039,0.0005260497449925405,Reference
15_PHL,passenger,road,car,phev_d,2040,0.000526300020504601,Reference
15_PHL,passenger,road,car,phev_d,2041,0.0006879056073286217,Reference
15_PHL,passenger,road,car,phev_d,2042,0.0006880264654162672,Reference
15_PHL,passenger,road,car,phev_d,2043,0.0006881243512034789,Reference
15_PHL,passenger,road,car,phev_d,2044,0.0006877214866977389,Reference
15_PHL,passenger,road,car,phev_d,2045,0.0006877167172724829,Reference
15_PHL,passenger,road,car,phev_d,2046,0.0006880352613613098,Reference
15_PHL,passenger,road,car,phev_d,2047,0.0006878636646015365,Reference
15_PHL,passenger,road,car,phev_d,2048,0.0006880531597993096,Reference
15_PHL,passenger,road,car,phev_d,2049,0.0006880761836742997,Reference
15_PHL,passenger,road,car,phev_d,2050,0.0006879064059690902,Reference
15_PHL,passenger,road,car,phev_g,2023,,Reference
15_PHL,passenger,road,car,phev_g,2024,0.024488801566653298,Reference
15_PHL,passenger,road,car,phev_g,2025,0.02448341648482124,Reference
15_PHL,passenger,road,car,phev_g,2026,0.0244870811663414,Reference
15_PHL,passenger,road,car,phev_g,2027,0.024479574000165552,Reference
15_PHL,passenger,road,car,phev_g,2028,0.024477692897148268,Reference
15_PHL,passenger,road,car,phev_g,2029,0.024470816792744928,Reference
15_PHL,passenger,road,car,phev_g,2030,0.02448127525181141,Reference
15_PHL,passenger,road,car,phev_g,2031,0.024507143464458564,Reference
15_PHL,passenger,road,car,phev_g,2032,0.024503171623954427,Reference
15_PHL,passenger,road,car,phev_g,2033,0.02450999404723682,Reference
15_PHL,passenger,road,car,phev_g,2034,0.02449099131911967,Reference
15_PHL,passenger,road,car,phev_g,2035,0.02451009436566388,Reference
15_PHL,passenger,road,car,phev_g,2036,0.024504038432732588,Reference
15_PHL,passenger,road,car,phev_g,2037,0.024506460573346222,Reference
15_PHL,passenger,road,car,phev_g,2038,0.024503772787707392,Reference
15_PHL,passenger,road,car,phev_g,2039,0.024503072675685557,Reference
15_PHL,passenger,road,car,phev_g,2040,0.024514730354677588,Reference
15_PHL,passenger,road,car,phev_g,2041,0.032042218917193555,Reference
