Economy,Transport Type,Medium,Vehicle Type,Drive,Date,Share,Scenario
15_PHL,freight,road,lcv,phev_g,2030,0.04025420343588962,Target
15_PHL,passenger,road,suv,bev,2030,0.1351382890860792,Target
15_PHL,passenger,road,suv,phev_d,2030,0.07969990576283265,Target
15_PHL,passenger,road,suv,phev_g,2030,0.055438383323246535,Target
15_PHL,passenger,road,2w,bev,2031,0.5608133264006516,Target
15_PHL,passenger,road,bus,bev,2031,0.3045513973021548,Target
15_PHL,passenger,road,car,bev,2031,0.5608133264006516,Target
15_PHL,passenger,road,car,phev_d,2031,0.001964530490503707,Target
15_PHL,passenger,road,car,phev_g,2031,0.09150661860523308,Target
15_PHL,freight,road,lcv,bev,2031,0.6759092114153147,Target
15_PHL,freight,road,lcv,phev_d,2031,0.07808954344526788,Target
15_PHL,freight,road,lcv,phev_g,2031,0.03456703607743021,Target
15_PHL,passenger,road,suv,bev,2031,0.6999326663272838,Target
15_PHL,passenger,road,suv,phev_d,2031,0.06879936091623343,Target
15_PHL,passenger,road,suv,phev_g,2031,0.0478560834716472,Target
15_PHL,passenger,road,2w,bev,2032,0.5608420805888877,Target
15_PHL,passenger,road,bus,bev,2032,0.30298047520278737,Target
15_PHL,passenger,road,car,bev,2032,0.5608420805888877,Target
15_PHL,passenger,road,car,phev_d,2032,0.001964534677863773,Target
15_PHL,passenger,road,car,phev_g,2032,0.09150681364988236,Target
15_PHL,freight,road,lcv,bev,2032,0.6849596487807976,Target
15_PHL,freight,road,lcv,phev_d,2032,0.07913522592926178,Target
15_PHL,freight,road,lcv,phev_g,2032,0.035029916798138855,Target
15_PHL,passenger,road,suv,bev,2032,0.708947917204305,Target
15_PHL,passenger,road,suv,phev_d,2032,0.06969145872872651,Target
15_PHL,passenger,road,suv,phev_g,2032,0.048476616959327735,Target
15_PHL,passenger,road,2w,bev,2033,0.5878616989611127,Target
15_PHL,passenger,road,bus,bev,2033,0.30307251320371514,Target
15_PHL,passenger,road,car,bev,2033,0.5878616989611127,Target
15_PHL,passenger,road,car,phev_d,2033,0.002059231186986465,Target
15_PHL,passenger,road,car,phev_g,2033,0.09591771863986566,Target
15_PHL,freight,road,lcv,bev,2033,0.7175427164967924,Target
15_PHL,freight,road,lcv,phev_d,2033,0.08289585832611805,Target
15_PHL,freight,road,lcv,phev_g,2033,0.03669459442334734,Target
