economy,date,medium,measure,dataset,unit,fuel,comment,scope,frequency,vehicle_type,transport_type,drive,value
15_PHL,2027,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,phev_d,5999.684817741392
15_PHL,2027,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,phev_g,4173.315182258608
15_PHL,2028,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,bev,110886.0
15_PHL,2028,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,bev,349.0
15_PHL,2028,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,bev,2134.0
15_PHL,2028,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,phev_d,313.9805306937586
15_PHL,2028,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,phev_g,14625.01946930624
15_PHL,2028,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,bev,3827.0
15_PHL,2028,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,phev_d,18567.10473180581
15_PHL,2028,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,phev_g,8218.895268194188
15_PHL,2028,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,bev,1480.0
15_PHL,2028,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,phev_d,6109.381207803311
15_PHL,2028,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,phev_g,4249.618792196689
15_PHL,2029,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,bev,106292.0
15_PHL,2029,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,bev,334.0
15_PHL,2029,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,bev,2045.0
15_PHL,2029,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,phev_d,300.94967661851064
15_PHL,2029,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,phev_g,14018.050323381489
15_PHL,2029,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,bev,3668.0
15_PHL,2029,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,phev_d,17796.998954271417
15_PHL,2029,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,phev_g,7878.0010457285825
15_PHL,2029,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,bev,1418.0
15_PHL,2029,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,phev_d,5855.78202647737
15_PHL,2029,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,phev_g,4073.21797352263
15_PHL,2030,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,bev,119946.0
15_PHL,2030,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,bev,316.0
15_PHL,2030,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,bev,1932.0
15_PHL,2030,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,phev_d,284.19872387984503
15_PHL,2030,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,phev_g,13237.801276120153
15_PHL,2030,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,bev,3464.0
15_PHL,2030,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,phev_d,16807.160025091296
15_PHL,2030,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,phev_g,7439.839974908702
15_PHL,2030,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,bev,1339.0
15_PHL,2030,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,phev_d,5529.0519184434825
15_PHL,2030,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,phev_g,3845.9480815565166
15_PHL,2031,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,bev,114421.0
15_PHL,2031,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,bev,301.0
15_PHL,2031,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,bev,11067.0
15_PHL,2031,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,phev_d,77.55459925429878
15_PHL,2031,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,phev_g,3612.445400745701
15_PHL,2031,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,bev,19835.0
15_PHL,2031,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,phev_d,4583.2037813298
15_PHL,2031,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,phev_g,2028.7962186702
15_PHL,2031,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,bev,7691.0
15_PHL,2031,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,phev_d,1512.1588393481695
15_PHL,2031,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,phev_g,1051.8411606518303
15_PHL,2032,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,bev,110967.0
15_PHL,2032,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,bev,293.0
15_PHL,2032,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,bev,10734.0
15_PHL,2032,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,phev_d,75.20063851812495
15_PHL,2032,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,phev_g,3502.7993614818747
15_PHL,2032,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,bev,19236.0
15_PHL,2032,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,phev_d,4444.570878083285
15_PHL,2032,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,phev_g,1967.4291219167155
15_PHL,2032,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,bev,7460.0
15_PHL,2032,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,phev_d,1467.3366584626544
15_PHL,2032,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,phev_g,1020.6633415373456
15_PHL,2033,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,bev,109573.0
15_PHL,2033,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,bev,289.0
15_PHL,2033,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,bev,10599.0
15_PHL,2033,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,phev_d,74.2758682289138
15_PHL,2033,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,phev_g,3459.724131771086
15_PHL,2033,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,bev,18995.0
15_PHL,2033,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,phev_d,4387.731387752213
15_PHL,2033,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,phev_g,1942.2686122477867
15_PHL,2033,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,bev,7367.0
15_PHL,2033,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,phev_d,1448.4641612477005
15_PHL,2033,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,phev_g,1007.5358387522992
15_PHL,2034,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,bev,109287.0
15_PHL,2034,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,bev,288.0
15_PHL,2034,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,bev,10571.0
15_PHL,2034,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,phev_d,74.02365815003802
15_PHL,2034,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,phev_g,3447.976341849962
15_PHL,2034,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,bev,18945.0
15_PHL,2034,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,phev_d,4376.640755492492
15_PHL,2034,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,phev_g,1937.359244507508
15_PHL,2034,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,bev,7346.0
15_PHL,2034,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,phev_d,1443.746036943962
15_PHL,2034,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,phev_g,1004.2539630560377
15_PHL,2035,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,bev,109387.0
15_PHL,2035,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,bev,288.0
15_PHL,2035,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,bev,10581.0
15_PHL,2035,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,phev_d,74.1497631894759
15_PHL,2035,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,phev_g,3453.850236810524
15_PHL,2035,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,bev,18963.0
15_PHL,2035,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,phev_d,4382.186071622353
15_PHL,2035,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,phev_g,1939.8139283776475
15_PHL,2035,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,bev,7353.0
15_PHL,2035,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,phev_d,1444.9255680198967
15_PHL,2035,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,phev_g,1005.0744319801031
15_PHL,2036,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,bev,109537.0
15_PHL,2036,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,bev,288.0
15_PHL,2036,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,bev,10595.0
15_PHL,2036,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,phev_d,74.23383321576783
15_PHL,2036,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,phev_g,3457.766166784232
15_PHL,2036,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,bev,18987.0
15_PHL,2036,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,phev_d,4387.731387752213
15_PHL,2036,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,phev_g,1942.2686122477867
15_PHL,2036,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,bev,7364.0
15_PHL,2036,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,phev_d,1447.284630171766
15_PHL,2036,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,phev_g,1006.7153698282339
15_PHL,2037,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,bev,109650.0
15_PHL,2037,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,bev,289.0
15_PHL,2037,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,bev,10607.0
15_PHL,2037,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,phev_d,74.31790324205976
15_PHL,2037,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,phev_g,3461.68209675794
15_PHL,2037,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,bev,19007.0
15_PHL,2037,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,phev_d,4390.504045817143
