economy,date,medium,measure,dataset,unit,fuel,comment,scope,frequency,vehicle_type,transport_type,value
15_PHL,2034,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,44906.89787919767
15_PHL,2034,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,2204907.990148042
15_PHL,2034,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,3953930.0845673704
15_PHL,2034,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,1528746.4182686168
15_PHL,2035,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,14780551.675964471
15_PHL,2035,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,46341.99696454985
15_PHL,2035,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,2275365.7000467237
15_PHL,2035,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,4080279.2976981723
15_PHL,2035,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,1577597.8055637735
15_PHL,2036,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,15238870.819139656
15_PHL,2036,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,47777.97170227903
15_PHL,2036,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,2345920.726645224
15_PHL,2036,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,4206801.097084455
15_PHL,2036,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,1626517.0734174228
15_PHL,2037,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,15697662.3906779
15_PHL,2037,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,49216.84473047464
15_PHL,2037,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,2416548.6756792623
15_PHL,2037,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,4333453.829494432
15_PHL,2037,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,1675486.853963796
15_PHL,2038,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,16156772.850464646
15_PHL,2038,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,50656.317809168315
15_PHL,2038,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,2487224.324114151
15_PHL,2038,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,4460194.44256448
15_PHL,2038,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,1724490.653258667
15_PHL,2039,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,16616145.345210096
15_PHL,2039,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,52095.81202844401
15_PHL,2039,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,2557941.9453815147
15_PHL,2039,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,4587006.958524128
15_PHL,2039,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,1773520.971995365
15_PHL,2040,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,17075816.35022647
15_PHL,2040,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,53536.5215537216
15_PHL,2040,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,2628705.806670394
15_PHL,2040,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,4713901.155868964
15_PHL,2040,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,1822584.7008633509
15_PHL,2041,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,17535274.997473508
