drive,vehicle_type,measure,period,scenario,unit,economy,seriesName,value
,,,2027,ref2023,mmbtu/b,20_usa,conversion factors : petroleum products : crude oil : imports,6.049477
,,,2028,ref2023,mmbtu/b,20_usa,conversion factors : petroleum products : crude oil : imports,6.061068
,,,2029,ref2023,mmbtu/b,20_usa,conversion factors : petroleum products : crude oil : imports,6.060353
,,,2030,ref2023,mmbtu/b,20_usa,conversion factors : petroleum products : crude oil : imports,6.06164
,,,2031,ref2023,mmbtu/b,20_usa,conversion factors : petroleum products : crude oil : imports,6.070837
,,,2032,ref2023,mmbtu/b,20_usa,conversion factors : petroleum products : crude oil : imports,6.079952
,,,2033,ref2023,mmbtu/b,20_usa,conversion factors : petroleum products : crude oil : imports,6.078108
,,,2034,ref2023,mmbtu/b,20_usa,conversion factors : petroleum products : crude oil : imports,6.089023
,,,2035,ref2023,mmbtu/b,20_usa,conversion factors : petroleum products : crude oil : imports,6.089758
,,,2036,ref2023,mmbtu/b,20_usa,conversion factors : petroleum products : crude oil : imports,6.089698
,,,2037,ref2023,mmbtu/b,20_usa,conversion factors : petroleum products : crude oil : imports,6.099061
,,,2038,ref2023,mmbtu/b,20_usa,conversion factors : petroleum products : crude oil : imports,6.098973
,,,2039,ref2023,mmbtu/b,20_usa,conversion factors : petroleum products : crude oil : imports,6.099608
,,,2040,ref2023,mmbtu/b,20_usa,conversion factors : petroleum products : crude oil : imports,6.101254
,,,2041,ref2023,mmbtu/b,20_usa,conversion factors : petroleum products : crude oil : imports,6.098327
,,,2042,ref2023,mmbtu/b,20_usa,conversion factors : petroleum products : crude oil : imports,6.097382
,,,2043,ref2023,mmbtu/b,20_usa,conversion factors : petroleum products : crude oil : imports,6.101766
,,,2044,ref2023,mmbtu/b,20_usa,conversion factors : petroleum products : crude oil : imports,6.104531
,,,2045,ref2023,mmbtu/b,20_usa,conversion factors : petroleum products : crude oil : imports,6.105972
,,,2046,ref2023,mmbtu/b,20_usa,conversion factors : petroleum products : crude oil : imports,6.100702
,,,2047,ref2023,mmbtu/b,20_usa,conversion factors : petroleum products : crude oil : imports,6.100448
,,,2048,ref2023,mmbtu/b,20_usa,conversion factors : petroleum products : crude oil : imports,6.09999
,,,2049,ref2023,mmbtu/b,20_usa,conversion factors : petroleum products : crude oil : imports,6.100516
,,,2050,ref2023,mmbtu/b,20_usa,conversion factors : petroleum products : crude oil : imports,6.10035
