drive,vehicle_type,measure,period,scenario,unit,economy,seriesName,value
bev,,,2031,ref2023,bkwh,5-23,electricity : net energy for load : total net energy for load,193.36087
bev,,,2032,ref2023,bkwh,5-23,electricity : net energy for load : total net energy for load,194.982635
bev,,,2033,ref2023,bkwh,5-23,electricity : net energy for load : total net energy for load,196.570206
bev,,,2034,ref2023,bkwh,5-23,electricity : net energy for load : total net energy for load,198.360031
bev,,,2035,ref2023,bkwh,5-23,electricity : net energy for load : total net energy for load,200.267212
bev,,,2036,ref2023,bkwh,5-23,electricity : net energy for load : total net energy for load,202.390579
bev,,,2037,ref2023,bkwh,5-23,electricity : net energy for load : total net energy for load,204.499268
bev,,,2038,ref2023,bkwh,5-23,electricity : net energy for load : total net energy for load,206.634995
bev,,,2039,ref2023,bkwh,5-23,electricity : net energy for load : total net energy for load,208.87616
bev,,,2040,ref2023,bkwh,5-23,electricity : net energy for load : total net energy for load,211.028259
bev,,,2041,ref2023,bkwh,5-23,electricity : net energy for load : total net energy for load,213.18103
bev,,,2042,ref2023,bkwh,5-23,electricity : net energy for load : total net energy for load,215.242294
bev,,,2043,ref2023,bkwh,5-23,electricity : net energy for load : total net energy for load,217.032974
bev,,,2044,ref2023,bkwh,5-23,electricity : net energy for load : total net energy for load,218.775146
bev,,,2045,ref2023,bkwh,5-23,electricity : net energy for load : total net energy for load,221.371353
bev,,,2046,ref2023,bkwh,5-23,electricity : net energy for load : total net energy for load,223.257111
bev,,,2047,ref2023,bkwh,5-23,electricity : net energy for load : total net energy for load,225.425995
bev,,,2048,ref2023,bkwh,5-23,electricity : net energy for load : total net energy for load,227.594955
bev,,,2049,ref2023,bkwh,5-23,electricity : net energy for load : total net energy for load,229.908737
bev,,,2050,ref2023,bkwh,5-23,electricity : net energy for load : total net energy for load,232.471878
