drive,vehicle_type,measure,period,scenario,unit,economy,seriesName,value
bev,,,2031,ref2023,quads,20_usa,renewable energy : marketed use : electric power : solar photovoltaic,6.825141
bev,,,2032,ref2023,quads,20_usa,renewable energy : marketed use : electric power : solar photovoltaic,7.316296
bev,,,2033,ref2023,quads,20_usa,renewable energy : marketed use : electric power : solar photovoltaic,7.667536
bev,,,2034,ref2023,quads,20_usa,renewable energy : marketed use : electric power : solar photovoltaic,7.998652
bev,,,2035,ref2023,quads,20_usa,renewable energy : marketed use : electric power : solar photovoltaic,8.191917
bev,,,2036,ref2023,quads,20_usa,renewable energy : marketed use : electric power : solar photovoltaic,8.540236
bev,,,2037,ref2023,quads,20_usa,renewable energy : marketed use : electric power : solar photovoltaic,8.880701
bev,,,2038,ref2023,quads,20_usa,renewable energy : marketed use : electric power : solar photovoltaic,9.202519
bev,,,2039,ref2023,quads,20_usa,renewable energy : marketed use : electric power : solar photovoltaic,9.377172
bev,,,2040,ref2023,quads,20_usa,renewable energy : marketed use : electric power : solar photovoltaic,9.679772
bev,,,2041,ref2023,quads,20_usa,renewable energy : marketed use : electric power : solar photovoltaic,9.812637
bev,,,2042,ref2023,quads,20_usa,renewable energy : marketed use : electric power : solar photovoltaic,10.01744
bev,,,2043,ref2023,quads,20_usa,renewable energy : marketed use : electric power : solar photovoltaic,10.248034
bev,,,2044,ref2023,quads,20_usa,renewable energy : marketed use : electric power : solar photovoltaic,10.580895
bev,,,2045,ref2023,quads,20_usa,renewable energy : marketed use : electric power : solar photovoltaic,10.882163
bev,,,2046,ref2023,quads,20_usa,renewable energy : marketed use : electric power : solar photovoltaic,11.308514
bev,,,2047,ref2023,quads,20_usa,renewable energy : marketed use : electric power : solar photovoltaic,11.581096
bev,,,2048,ref2023,quads,20_usa,renewable energy : marketed use : electric power : solar photovoltaic,11.847967
bev,,,2049,ref2023,quads,20_usa,renewable energy : marketed use : electric power : solar photovoltaic,12.144065
bev,,,2050,ref2023,quads,20_usa,renewable energy : marketed use : electric power : solar photovoltaic,12.509926
