drive,vehicle_type,measure,period,scenario,unit,economy,seriesName,value
,,,2029,ref2023,millions,20_usa,macro indicators : employment : nonmanufacturing : agriculture/forestry/fishing/hunting,1.680612
,,,2030,ref2023,millions,20_usa,macro indicators : employment : nonmanufacturing : agriculture/forestry/fishing/hunting,1.690174
,,,2031,ref2023,millions,20_usa,macro indicators : employment : nonmanufacturing : agriculture/forestry/fishing/hunting,1.697813
,,,2032,ref2023,millions,20_usa,macro indicators : employment : nonmanufacturing : agriculture/forestry/fishing/hunting,1.703668
,,,2033,ref2023,millions,20_usa,macro indicators : employment : nonmanufacturing : agriculture/forestry/fishing/hunting,1.707887
,,,2034,ref2023,millions,20_usa,macro indicators : employment : nonmanufacturing : agriculture/forestry/fishing/hunting,1.711006
,,,2035,ref2023,millions,20_usa,macro indicators : employment : nonmanufacturing : agriculture/forestry/fishing/hunting,1.713948
,,,2036,ref2023,millions,20_usa,macro indicators : employment : nonmanufacturing : agriculture/forestry/fishing/hunting,1.716621
,,,2037,ref2023,millions,20_usa,macro indicators : employment : nonmanufacturing : agriculture/forestry/fishing/hunting,1.719339
,,,2038,ref2023,millions,20_usa,macro indicators : employment : nonmanufacturing : agriculture/forestry/fishing/hunting,1.721735
,,,2039,ref2023,millions,20_usa,macro indicators : employment : nonmanufacturing : agriculture/forestry/fishing/hunting,1.723797
,,,2040,ref2023,millions,20_usa,macro indicators : employment : nonmanufacturing : agriculture/forestry/fishing/hunting,1.725937
,,,2041,ref2023,millions,20_usa,macro indicators : employment : nonmanufacturing : agriculture/forestry/fishing/hunting,1.727906
,,,2042,ref2023,millions,20_usa,macro indicators : employment : nonmanufacturing : agriculture/forestry/fishing/hunting,1.72983
,,,2043,ref2023,millions,20_usa,macro indicators : employment : nonmanufacturing : agriculture/forestry/fishing/hunting,1.731464
,,,2044,ref2023,millions,20_usa,macro indicators : employment : nonmanufacturing : agriculture/forestry/fishing/hunting,1.732839
,,,2045,ref2023,millions,20_usa,macro indicators : employment : nonmanufacturing : agriculture/forestry/fishing/hunting,1.734282
,,,2046,ref2023,millions,20_usa,macro indicators : employment : nonmanufacturing : agriculture/forestry/fishing/hunting,1.735569
,,,2047,ref2023,millions,20_usa,macro indicators : employment : nonmanufacturing : agriculture/forestry/fishing/hunting,1.736704
,,,2048,ref2023,millions,20_usa,macro indicators : employment : nonmanufacturing : agriculture/forestry/fishing/hunting,1.737663
,,,2049,ref2023,millions,20_usa,macro indicators : employment : nonmanufacturing : agriculture/forestry/fishing/hunting,1.738591
,,,2050,ref2023,millions,20_usa,macro indicators : employment : nonmanufacturing : agriculture/forestry/fishing/hunting,1.739469
