drive,vehicle_type,measure,period,scenario,unit,economy,seriesName,value
,,,2037,ref2023,nom $/b,20_usa,nominal petroleum prices : crude oil : west texas intermediate spot,130.292892
,,,2038,ref2023,nom $/b,20_usa,nominal petroleum prices : crude oil : west texas intermediate spot,133.717224
,,,2039,ref2023,nom $/b,20_usa,nominal petroleum prices : crude oil : west texas intermediate spot,137.449753
,,,2040,ref2023,nom $/b,20_usa,nominal petroleum prices : crude oil : west texas intermediate spot,141.151093
,,,2041,ref2023,nom $/b,20_usa,nominal petroleum prices : crude oil : west texas intermediate spot,145.099609
,,,2042,ref2023,nom $/b,20_usa,nominal petroleum prices : crude oil : west texas intermediate spot,149.102936
,,,2043,ref2023,nom $/b,20_usa,nominal petroleum prices : crude oil : west texas intermediate spot,153.158661
,,,2044,ref2023,nom $/b,20_usa,nominal petroleum prices : crude oil : west texas intermediate spot,157.370575
,,,2045,ref2023,nom $/b,20_usa,nominal petroleum prices : crude oil : west texas intermediate spot,161.615891
,,,2046,ref2023,nom $/b,20_usa,nominal petroleum prices : crude oil : west texas intermediate spot,166.709793
,,,2047,ref2023,nom $/b,20_usa,nominal petroleum prices : crude oil : west texas intermediate spot,171.444351
,,,2048,ref2023,nom $/b,20_usa,nominal petroleum prices : crude oil : west texas intermediate spot,176.821228
,,,2049,ref2023,nom $/b,20_usa,nominal petroleum prices : crude oil : west texas intermediate spot,182.425934
,,,2050,ref2023,nom $/b,20_usa,nominal petroleum prices : crude oil : west texas intermediate spot,187.283264
