Economy,Fuel,Date,Value,Transport Type,Frequency,Unit,Source,Dataset,Measure,Vehicle Type,Drive,Medium
01_AUS,1.2 Other bituminous coal,1980-12-31,0.167472,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
01_AUS,1.2 Other bituminous coal,1980-12-31,0.167472,,Yearly,PJ,EGEDA,EGEDA,Energy,,,rail
01_AUS,7.01 Motor gasoline,1980-12-31,486.799236,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
01_AUS,7.01 Motor gasoline,1980-12-31,486.799236,,Yearly,PJ,EGEDA,EGEDA,Energy,,,road
01_AUS,7.02 Aviation gasoline,1980-12-31,3.55878,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
01_AUS,7.02 Aviation gasoline,1980-12-31,3.55878,,Yearly,PJ,EGEDA,EGEDA,Energy,,,air
01_AUS,7.05 Kerosene type jet fuel,1980-12-31,38.979108,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
01_AUS,7.05 Kerosene type jet fuel,1980-12-31,38.979108,,Yearly,PJ,EGEDA,EGEDA,Energy,,,air
01_AUS,7.07 Gas/diesel oil,1980-12-31,136.364076,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
01_AUS,7.07 Gas/diesel oil,1980-12-31,94.286736,,Yearly,PJ,EGEDA,EGEDA,Energy,,,road
01_AUS,7.07 Gas/diesel oil,1980-12-31,26.209368,,Yearly,PJ,EGEDA,EGEDA,Energy,,,rail
01_AUS,7.07 Gas/diesel oil,1980-12-31,15.867972000000002,,Yearly,PJ,EGEDA,EGEDA,Energy,,,ship
01_AUS,7.08 Fuel oil,1980-12-31,31.694076000000003,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
01_AUS,7.08 Fuel oil,1980-12-31,31.694076000000003,,Yearly,PJ,EGEDA,EGEDA,Energy,,,ship
01_AUS,7.09 LPG,1980-12-31,3.684384,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
01_AUS,7.09 LPG,1980-12-31,3.684384,,Yearly,PJ,EGEDA,EGEDA,Energy,,,road
01_AUS,17 Electricity,1980-12-31,3.2238360000000004,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
01_AUS,17 Electricity,1980-12-31,3.2238360000000004,,Yearly,PJ,EGEDA,EGEDA,Energy,,,rail
01_AUS,19 Total,1980-12-31,704.4291000000001,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
01_AUS,19 Total,1980-12-31,42.537888,,Yearly,PJ,EGEDA,EGEDA,Energy,,,air
01_AUS,19 Total,1980-12-31,584.770356,,Yearly,PJ,EGEDA,EGEDA,Energy,,,road
01_AUS,19 Total,1980-12-31,29.558808000000003,,Yearly,PJ,EGEDA,EGEDA,Energy,,,rail
01_AUS,19 Total,1980-12-31,47.562048,,Yearly,PJ,EGEDA,EGEDA,Energy,,,ship
01_AUS,21 Modern renewables,1980-12-31,0.4511420540143226,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
01_AUS,21 Modern renewables,1980-12-31,0.4511420540143226,,Yearly,PJ,EGEDA,EGEDA,Energy,,,rail
02_BD,7.01 Motor gasoline,1980-12-31,3.0563640000000003,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
02_BD,7.01 Motor gasoline,1980-12-31,3.0563640000000003,,Yearly,PJ,EGEDA,EGEDA,Energy,,,road
02_BD,7.07 Gas/diesel oil,1980-12-31,2.9726280000000003,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
02_BD,7.07 Gas/diesel oil,1980-12-31,2.9726280000000003,,Yearly,PJ,EGEDA,EGEDA,Energy,,,road
02_BD,19 Total,1980-12-31,6.028992000000001,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
02_BD,19 Total,1980-12-31,6.028992000000001,,Yearly,PJ,EGEDA,EGEDA,Energy,,,road
03_CDA,7.01 Motor gasoline,1980-12-31,1266.883812,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
03_CDA,7.01 Motor gasoline,1980-12-31,1266.883812,,Yearly,PJ,EGEDA,EGEDA,Energy,,,road
03_CDA,7.02 Aviation gasoline,1980-12-31,7.578108,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
03_CDA,7.02 Aviation gasoline,1980-12-31,7.578108,,Yearly,PJ,EGEDA,EGEDA,Energy,,,air
03_CDA,7.04 Gasoline type jet fuel,1980-12-31,59.6619,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
03_CDA,7.04 Gasoline type jet fuel,1980-12-31,59.6619,,Yearly,PJ,EGEDA,EGEDA,Energy,,,air
03_CDA,7.05 Kerosene type jet fuel,1980-12-31,80.26095600000001,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
03_CDA,7.05 Kerosene type jet fuel,1980-12-31,80.26095600000001,,Yearly,PJ,EGEDA,EGEDA,Energy,,,air
03_CDA,7.07 Gas/diesel oil,1980-12-31,323.053488,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
03_CDA,7.07 Gas/diesel oil,1980-12-31,196.319052,,Yearly,PJ,EGEDA,EGEDA,Energy,,,road
03_CDA,7.07 Gas/diesel oil,1980-12-31,89.26257600000001,,Yearly,PJ,EGEDA,EGEDA,Energy,,,rail
03_CDA,7.07 Gas/diesel oil,1980-12-31,36.383292,,Yearly,PJ,EGEDA,EGEDA,Energy,,,ship
03_CDA,7.07 Gas/diesel oil,1980-12-31,1.088568,,Yearly,PJ,EGEDA,EGEDA,Energy,,,pipeline
03_CDA,7.08 Fuel oil,1980-12-31,41.23998,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
03_CDA,7.08 Fuel oil,1980-12-31,41.23998,,Yearly,PJ,EGEDA,EGEDA,Energy,,,ship
03_CDA,7.09 LPG,1980-12-31,0.293076,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
03_CDA,7.09 LPG,1980-12-31,0.293076,,Yearly,PJ,EGEDA,EGEDA,Energy,,,road
