Economy,Fuel,Date,Value,Transport Type,Frequency,Unit,Source,Dataset,Measure,Vehicle Type,Drive,Medium
03_CDA,8.1 Natural gas,1980-12-31,68.412312,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
03_CDA,8.1 Natural gas,1980-12-31,68.412312,,Yearly,PJ,EGEDA,EGEDA,Energy,,,pipeline
03_CDA,17 Electricity,1980-12-31,8.206128,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
03_CDA,17 Electricity,1980-12-31,6.280200000000001,,Yearly,PJ,EGEDA,EGEDA,Energy,,,pipeline
03_CDA,17 Electricity,1980-12-31,1.925928,,Yearly,PJ,EGEDA,EGEDA,Energy,,,nonspecified
03_CDA,19 Total,1980-12-31,1855.673496,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
03_CDA,19 Total,1980-12-31,147.542832,,Yearly,PJ,EGEDA,EGEDA,Energy,,,air
03_CDA,19 Total,1980-12-31,1463.49594,,Yearly,PJ,EGEDA,EGEDA,Energy,,,road
03_CDA,19 Total,1980-12-31,89.26257600000001,,Yearly,PJ,EGEDA,EGEDA,Energy,,,rail
03_CDA,19 Total,1980-12-31,77.623272,,Yearly,PJ,EGEDA,EGEDA,Energy,,,ship
03_CDA,19 Total,1980-12-31,75.82294800000001,,Yearly,PJ,EGEDA,EGEDA,Energy,,,pipeline
03_CDA,19 Total,1980-12-31,1.925928,,Yearly,PJ,EGEDA,EGEDA,Energy,,,nonspecified
03_CDA,21 Modern renewables,1980-12-31,5.549806314178708,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
03_CDA,21 Modern renewables,1980-12-31,4.247300750646971,,Yearly,PJ,EGEDA,EGEDA,Energy,,,pipeline
03_CDA,21 Modern renewables,1980-12-31,1.3025055635317375,,Yearly,PJ,EGEDA,EGEDA,Energy,,,nonspecified
04_CHL,1.2 Other bituminous coal,1980-12-31,2.177136,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
04_CHL,1.2 Other bituminous coal,1980-12-31,2.0934,,Yearly,PJ,EGEDA,EGEDA,Energy,,,rail
04_CHL,1.2 Other bituminous coal,1980-12-31,0.083736,,Yearly,PJ,EGEDA,EGEDA,Energy,,,ship
04_CHL,7.01 Motor gasoline,1980-12-31,48.399408,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
04_CHL,7.01 Motor gasoline,1980-12-31,48.399408,,Yearly,PJ,EGEDA,EGEDA,Energy,,,road
04_CHL,7.07 Gas/diesel oil,1980-12-31,36.341424,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
04_CHL,7.07 Gas/diesel oil,1980-12-31,31.066056000000003,,Yearly,PJ,EGEDA,EGEDA,Energy,,,road
04_CHL,7.07 Gas/diesel oil,1980-12-31,0.711756,,Yearly,PJ,EGEDA,EGEDA,Energy,,,rail
04_CHL,7.07 Gas/diesel oil,1980-12-31,4.563612,,Yearly,PJ,EGEDA,EGEDA,Energy,,,ship
04_CHL,17 Electricity,1980-12-31,0.711756,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
04_CHL,17 Electricity,1980-12-31,0.460548,,Yearly,PJ,EGEDA,EGEDA,Energy,,,rail
04_CHL,17 Electricity,1980-12-31,0.251208,,Yearly,PJ,EGEDA,EGEDA,Energy,,,nonspecified
04_CHL,19 Total,1980-12-31,87.54598800000001,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
04_CHL,19 Total,1980-12-31,79.423596,,Yearly,PJ,EGEDA,EGEDA,Energy,,,road
04_CHL,19 Total,1980-12-31,3.2238360000000004,,Yearly,PJ,EGEDA,EGEDA,Energy,,,rail
04_CHL,19 Total,1980-12-31,4.647348,,Yearly,PJ,EGEDA,EGEDA,Energy,,,ship
04_CHL,19 Total,1980-12-31,0.251208,,Yearly,PJ,EGEDA,EGEDA,Energy,,,nonspecified
04_CHL,21 Modern renewables,1980-12-31,0.4831049149859586,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
04_CHL,21 Modern renewables,1980-12-31,0.3125972979320909,,Yearly,PJ,EGEDA,EGEDA,Energy,,,rail
04_CHL,21 Modern renewables,1980-12-31,0.1705076170538677,,Yearly,PJ,EGEDA,EGEDA,Energy,,,nonspecified
05_PRC,1.2 Other bituminous coal,1980-12-31,423.3692160000001,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
05_PRC,1.2 Other bituminous coal,1980-12-31,423.3692160000001,,Yearly,PJ,EGEDA,EGEDA,Energy,,,rail
05_PRC,7.06 Kerosene,1980-12-31,13.523364,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
05_PRC,7.06 Kerosene,1980-12-31,13.523364,,Yearly,PJ,EGEDA,EGEDA,Energy,,,nonspecified
05_PRC,7.07 Gas/diesel oil,1980-12-31,134.98243200000002,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
05_PRC,7.07 Gas/diesel oil,1980-12-31,134.98243200000002,,Yearly,PJ,EGEDA,EGEDA,Energy,,,road
05_PRC,7.08 Fuel oil,1980-12-31,45.636120000000005,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
05_PRC,7.08 Fuel oil,1980-12-31,45.636120000000005,,Yearly,PJ,EGEDA,EGEDA,Energy,,,nonspecified
05_PRC,17 Electricity,1980-12-31,10.088372094677752,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
05_PRC,17 Electricity,1980-12-31,10.088372094677752,,Yearly,PJ,EGEDA,EGEDA,Energy,,,nonspecified
05_PRC,19 Total,1980-12-31,627.5995040946777,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
05_PRC,19 Total,1980-12-31,134.98243200000002,,Yearly,PJ,EGEDA,EGEDA,Energy,,,road
05_PRC,19 Total,1980-12-31,423.3692160000001,,Yearly,PJ,EGEDA,EGEDA,Energy,,,rail
05_PRC,19 Total,1980-12-31,69.24785609467776,,Yearly,PJ,EGEDA,EGEDA,Energy,,,nonspecified
05_PRC,21 Modern renewables,1980-12-31,1.9800796631686324,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
05_PRC,21 Modern renewables,1980-12-31,1.9800796631686324,,Yearly,PJ,EGEDA,EGEDA,Energy,,,nonspecified
07_INA,1.2 Other bituminous coal,1980-12-31,0.586152,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
07_INA,1.2 Other bituminous coal,1980-12-31,0.586152,,Yearly,PJ,EGEDA,EGEDA,Energy,,,rail
07_INA,7.01 Motor gasoline,1980-12-31,132.428484,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
07_INA,7.01 Motor gasoline,1980-12-31,132.428484,,Yearly,PJ,EGEDA,EGEDA,Energy,,,road
07_INA,7.05 Kerosene type jet fuel,1980-12-31,19.719828,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
07_INA,7.05 Kerosene type jet fuel,1980-12-31,19.719828,,Yearly,PJ,EGEDA,EGEDA,Energy,,,air
07_INA,7.07 Gas/diesel oil,1980-12-31,105.591096,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
07_INA,7.07 Gas/diesel oil,1980-12-31,105.591096,,Yearly,PJ,EGEDA,EGEDA,Energy,,,road
07_INA,7.08 Fuel oil,1980-12-31,2.72142,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
07_INA,7.08 Fuel oil,1980-12-31,2.72142,,Yearly,PJ,EGEDA,EGEDA,Energy,,,road
07_INA,19 Total,1980-12-31,261.04698,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
07_INA,19 Total,1980-12-31,19.719828,,Yearly,PJ,EGEDA,EGEDA,Energy,,,air
07_INA,19 Total,1980-12-31,240.741,,Yearly,PJ,EGEDA,EGEDA,Energy,,,road
07_INA,19 Total,1980-12-31,0.586152,,Yearly,PJ,EGEDA,EGEDA,Energy,,,rail
08_JPN,7.01 Motor gasoline,1980-12-31,1134.287856,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
08_JPN,7.01 Motor gasoline,1980-12-31,1134.287856,,Yearly,PJ,EGEDA,EGEDA,Energy,,,road
08_JPN,7.02 Aviation gasoline,1980-12-31,0.586152,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
08_JPN,7.02 Aviation gasoline,1980-12-31,0.586152,,Yearly,PJ,EGEDA,EGEDA,Energy,,,air
08_JPN,7.05 Kerosene type jet fuel,1980-12-31,104.167584,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
08_JPN,7.05 Kerosene type jet fuel,1980-12-31,104.167584,,Yearly,PJ,EGEDA,EGEDA,Energy,,,air
08_JPN,7.07 Gas/diesel oil,1980-12-31,724.1489280000001,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
08_JPN,7.07 Gas/diesel oil,1980-12-31,602.2711800000001,,Yearly,PJ,EGEDA,EGEDA,Energy,,,road
08_JPN,7.07 Gas/diesel oil,1980-12-31,37.974276,,Yearly,PJ,EGEDA,EGEDA,Energy,,,rail
08_JPN,7.07 Gas/diesel oil,1980-12-31,83.90347200000001,,Yearly,PJ,EGEDA,EGEDA,Energy,,,ship
08_JPN,7.08 Fuel oil,1980-12-31,171.575064,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
08_JPN,7.08 Fuel oil,1980-12-31,2.637684,,Yearly,PJ,EGEDA,EGEDA,Energy,,,road
08_JPN,7.08 Fuel oil,1980-12-31,15.281820000000002,,Yearly,PJ,EGEDA,EGEDA,Energy,,,rail
08_JPN,7.08 Fuel oil,1980-12-31,150.766668,,Yearly,PJ,EGEDA,EGEDA,Energy,,,ship
08_JPN,7.08 Fuel oil,1980-12-31,2.888892,,Yearly,PJ,EGEDA,EGEDA,Energy,,,nonspecified
08_JPN,7.09 LPG,1980-12-31,70.254504,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
08_JPN,7.09 LPG,1980-12-31,70.254504,,Yearly,PJ,EGEDA,EGEDA,Energy,,,road
08_JPN,17 Electricity,1980-12-31,54.805212,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
08_JPN,17 Electricity,1980-12-31,54.805212,,Yearly,PJ,EGEDA,EGEDA,Energy,,,rail
08_JPN,19 Total,1980-12-31,2259.8253,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
08_JPN,19 Total,1980-12-31,104.753736,,Yearly,PJ,EGEDA,EGEDA,Energy,,,air
08_JPN,19 Total,1980-12-31,1809.451224,,Yearly,PJ,EGEDA,EGEDA,Energy,,,road
08_JPN,19 Total,1980-12-31,108.061308,,Yearly,PJ,EGEDA,EGEDA,Energy,,,rail
08_JPN,19 Total,1980-12-31,234.67014,,Yearly,PJ,EGEDA,EGEDA,Energy,,,ship
08_JPN,19 Total,1980-12-31,2.888892,,Yearly,PJ,EGEDA,EGEDA,Energy,,,nonspecified
08_JPN,21 Modern renewables,1980-12-31,8.537854664121244,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
08_JPN,21 Modern renewables,1980-12-31,8.537854664121244,,Yearly,PJ,EGEDA,EGEDA,Energy,,,rail
09_ROK,1.2 Other bituminous coal,1980-12-31,0.083736,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
09_ROK,1.2 Other bituminous coal,1980-12-31,0.083736,,Yearly,PJ,EGEDA,EGEDA,Energy,,,rail
09_ROK,7.01 Motor gasoline,1980-12-31,35.5878,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
09_ROK,7.01 Motor gasoline,1980-12-31,35.5878,,Yearly,PJ,EGEDA,EGEDA,Energy,,,road
09_ROK,7.04 Gasoline type jet fuel,1980-12-31,9.252828,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
09_ROK,7.04 Gasoline type jet fuel,1980-12-31,9.252828,,Yearly,PJ,EGEDA,EGEDA,Energy,,,air
09_ROK,7.06 Kerosene,1980-12-31,0.083736,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
09_ROK,7.06 Kerosene,1980-12-31,0.083736,,Yearly,PJ,EGEDA,EGEDA,Energy,,,road
09_ROK,7.07 Gas/diesel oil,1980-12-31,121.124124,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
09_ROK,7.07 Gas/diesel oil,1980-12-31,121.124124,,Yearly,PJ,EGEDA,EGEDA,Energy,,,nonspecified
09_ROK,7.08 Fuel oil,1980-12-31,25.53948,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
09_ROK,7.08 Fuel oil,1980-12-31,25.53948,,Yearly,PJ,EGEDA,EGEDA,Energy,,,ship
09_ROK,7.09 LPG,1980-12-31,6.991956,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
09_ROK,7.09 LPG,1980-12-31,6.991956,,Yearly,PJ,EGEDA,EGEDA,Energy,,,road
09_ROK,17 Electricity,1980-12-31,1.423512,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
09_ROK,17 Electricity,1980-12-31,1.423512,,Yearly,PJ,EGEDA,EGEDA,Energy,,,rail
09_ROK,19 Total,1980-12-31,200.12904,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
09_ROK,19 Total,1980-12-31,9.252828,,Yearly,PJ,EGEDA,EGEDA,Energy,,,air
09_ROK,19 Total,1980-12-31,42.705360000000006,,Yearly,PJ,EGEDA,EGEDA,Energy,,,road
09_ROK,19 Total,1980-12-31,1.507248,,Yearly,PJ,EGEDA,EGEDA,Energy,,,rail
09_ROK,19 Total,1980-12-31,25.53948,,Yearly,PJ,EGEDA,EGEDA,Energy,,,ship
09_ROK,19 Total,1980-12-31,121.124124,,Yearly,PJ,EGEDA,EGEDA,Energy,,,nonspecified
09_ROK,21 Modern renewables,1980-12-31,0.0758411291388061,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
09_ROK,21 Modern renewables,1980-12-31,0.0758411291388061,,Yearly,PJ,EGEDA,EGEDA,Energy,,,rail
10_MAS,7.01 Motor gasoline,1980-12-31,54.260928,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
10_MAS,7.01 Motor gasoline,1980-12-31,54.260928,,Yearly,PJ,EGEDA,EGEDA,Energy,,,road
10_MAS,7.05 Kerosene type jet fuel,1980-12-31,10.67634,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
10_MAS,7.05 Kerosene type jet fuel,1980-12-31,10.67634,,Yearly,PJ,EGEDA,EGEDA,Energy,,,air
10_MAS,7.07 Gas/diesel oil,1980-12-31,35.462196,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
10_MAS,7.07 Gas/diesel oil,1980-12-31,35.462196,,Yearly,PJ,EGEDA,EGEDA,Energy,,,road
10_MAS,19 Total,1980-12-31,100.399464,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
10_MAS,19 Total,1980-12-31,10.67634,,Yearly,PJ,EGEDA,EGEDA,Energy,,,air
10_MAS,19 Total,1980-12-31,89.723124,,Yearly,PJ,EGEDA,EGEDA,Energy,,,road
11_MEX,7.01 Motor gasoline,1980-12-31,620.651232,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
11_MEX,7.01 Motor gasoline,1980-12-31,620.651232,,Yearly,PJ,EGEDA,EGEDA,Energy,,,road
11_MEX,7.07 Gas/diesel oil,1980-12-31,325.858644,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
11_MEX,7.07 Gas/diesel oil,1980-12-31,325.858644,,Yearly,PJ,EGEDA,EGEDA,Energy,,,nonspecified
11_MEX,7.09 LPG,1980-12-31,6.573276000000001,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
11_MEX,7.09 LPG,1980-12-31,6.573276000000001,,Yearly,PJ,EGEDA,EGEDA,Energy,,,road
11_MEX,17 Electricity,1980-12-31,1.5491160000000002,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
11_MEX,17 Electricity,1980-12-31,1.5491160000000002,,Yearly,PJ,EGEDA,EGEDA,Energy,,,rail
11_MEX,19 Total,1980-12-31,954.632268,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
11_MEX,19 Total,1980-12-31,627.224508,,Yearly,PJ,EGEDA,EGEDA,Energy,,,road
11_MEX,19 Total,1980-12-31,1.5491160000000002,,Yearly,PJ,EGEDA,EGEDA,Energy,,,rail
11_MEX,19 Total,1980-12-31,325.858644,,Yearly,PJ,EGEDA,EGEDA,Energy,,,nonspecified
11_MEX,21 Modern renewables,1980-12-31,0.4118128776918252,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
11_MEX,21 Modern renewables,1980-12-31,0.4118128776918252,,Yearly,PJ,EGEDA,EGEDA,Energy,,,rail
12_NZ,1.2 Other bituminous coal,1980-12-31,0.041868,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
12_NZ,1.2 Other bituminous coal,1980-12-31,0.041868,,Yearly,PJ,EGEDA,EGEDA,Energy,,,rail
12_NZ,1.3 Sub-bituminous coal,1980-12-31,0.083736,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
12_NZ,1.3 Sub-bituminous coal,1980-12-31,0.041868,,Yearly,PJ,EGEDA,EGEDA,Energy,,,rail
12_NZ,1.3 Sub-bituminous coal,1980-12-31,0.041868,,Yearly,PJ,EGEDA,EGEDA,Energy,,,ship
12_NZ,7.01 Motor gasoline,1980-12-31,68.412312,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
12_NZ,7.01 Motor gasoline,1980-12-31,68.412312,,Yearly,PJ,EGEDA,EGEDA,Energy,,,road
12_NZ,7.02 Aviation gasoline,1980-12-31,0.962964,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
12_NZ,7.02 Aviation gasoline,1980-12-31,0.962964,,Yearly,PJ,EGEDA,EGEDA,Energy,,,air
12_NZ,7.05 Kerosene type jet fuel,1980-12-31,4.940424,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
12_NZ,7.05 Kerosene type jet fuel,1980-12-31,4.940424,,Yearly,PJ,EGEDA,EGEDA,Energy,,,air
12_NZ,7.06 Kerosene,1980-12-31,0.041868,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
12_NZ,7.06 Kerosene,1980-12-31,0.041868,,Yearly,PJ,EGEDA,EGEDA,Energy,,,road
12_NZ,7.07 Gas/diesel oil,1980-12-31,18.212580000000003,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
12_NZ,7.07 Gas/diesel oil,1980-12-31,14.737536,,Yearly,PJ,EGEDA,EGEDA,Energy,,,road
12_NZ,7.07 Gas/diesel oil,1980-12-31,3.475044,,Yearly,PJ,EGEDA,EGEDA,Energy,,,ship
12_NZ,7.08 Fuel oil,1980-12-31,2.386476,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
12_NZ,7.08 Fuel oil,1980-12-31,2.386476,,Yearly,PJ,EGEDA,EGEDA,Energy,,,nonspecified
12_NZ,7.09 LPG,1980-12-31,0.41868,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
12_NZ,7.09 LPG,1980-12-31,0.41868,,Yearly,PJ,EGEDA,EGEDA,Energy,,,road
12_NZ,8.1 Natural gas,1980-12-31,0.20934,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
12_NZ,8.1 Natural gas,1980-12-31,0.20934,,Yearly,PJ,EGEDA,EGEDA,Energy,,,road
12_NZ,17 Electricity,1980-12-31,0.125604,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
12_NZ,17 Electricity,1980-12-31,0.125604,,Yearly,PJ,EGEDA,EGEDA,Energy,,,rail
12_NZ,19 Total,1980-12-31,95.835852,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
12_NZ,19 Total,1980-12-31,5.9033880000000005,,Yearly,PJ,EGEDA,EGEDA,Energy,,,air
12_NZ,19 Total,1980-12-31,83.861604,,Yearly,PJ,EGEDA,EGEDA,Energy,,,road
12_NZ,19 Total,1980-12-31,0.167472,,Yearly,PJ,EGEDA,EGEDA,Energy,,,rail
12_NZ,19 Total,1980-12-31,3.516912,,Yearly,PJ,EGEDA,EGEDA,Energy,,,ship
12_NZ,19 Total,1980-12-31,2.386476,,Yearly,PJ,EGEDA,EGEDA,Energy,,,nonspecified
12_NZ,21 Modern renewables,1980-12-31,0.1135360993096123,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
12_NZ,21 Modern renewables,1980-12-31,0.1135360993096123,,Yearly,PJ,EGEDA,EGEDA,Energy,,,rail
13_PNG,7.01 Motor gasoline,1980-12-31,4.103064,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
13_PNG,7.01 Motor gasoline,1980-12-31,0.334944,,Yearly,PJ,EGEDA,EGEDA,Energy,,,air
13_PNG,7.01 Motor gasoline,1980-12-31,3.391308,,Yearly,PJ,EGEDA,EGEDA,Energy,,,road
13_PNG,7.01 Motor gasoline,1980-12-31,0.376812,,Yearly,PJ,EGEDA,EGEDA,Energy,,,ship
13_PNG,7.05 Kerosene type jet fuel,1980-12-31,1.423512,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
13_PNG,7.05 Kerosene type jet fuel,1980-12-31,1.423512,,Yearly,PJ,EGEDA,EGEDA,Energy,,,air
13_PNG,7.07 Gas/diesel oil,1980-12-31,3.2657040000000004,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
13_PNG,7.07 Gas/diesel oil,1980-12-31,2.553948,,Yearly,PJ,EGEDA,EGEDA,Energy,,,road
13_PNG,7.07 Gas/diesel oil,1980-12-31,0.711756,,Yearly,PJ,EGEDA,EGEDA,Energy,,,ship
13_PNG,19 Total,1980-12-31,8.79228,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
13_PNG,19 Total,1980-12-31,1.758456,,Yearly,PJ,EGEDA,EGEDA,Energy,,,air
13_PNG,19 Total,1980-12-31,5.9452560000000005,,Yearly,PJ,EGEDA,EGEDA,Energy,,,road
13_PNG,19 Total,1980-12-31,1.088568,,Yearly,PJ,EGEDA,EGEDA,Energy,,,ship
14_PE,7.01 Motor gasoline,1980-12-31,46.0660199373648,,Yearly,PJ,EGEDA,EGEDA,Energy,,,
14_PE,7.01 Motor gasoline,1980-12-31,46.0660199373648,,Yearly,PJ,EGEDA,EGEDA,Energy,,,road
