,vehicle_type,drive,transport_type,economy,date,medium,measure,dataset,unit,fuel,comment,scope,frequency,value
38,all,all,passenger,19_THA,1995,rail,activity,ato $ world_bank_(wb),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,12975000000.0
39,all,all,passenger,19_THA,1996,rail,activity,ato $ world_bank_(wb),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,12205000000.0
40,all,all,passenger,19_THA,1997,rail,activity,ato $ world_bank_(wb),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,11804000000.0
41,all,all,passenger,19_THA,1998,rail,activity,ato $ world_bank_(wb),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,10947000000.0
42,all,all,passenger,19_THA,1999,rail,activity,ato $ world_bank_(wb),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,9894000000.0
43,all,all,passenger,19_THA,2000,rail,activity,ato $ world_bank_(wb),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,9935000000.0
44,all,all,passenger,19_THA,2001,rail,activity,ato $ world_bank_(wb),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,10321000000.0
45,all,all,passenger,19_THA,2002,rail,activity,ato $ world_bank_(wb),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,10378000000.0
46,all,all,passenger,19_THA,2003,rail,activity,ato $ world_bank_(wb),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,10251000000.0
47,all,all,passenger,19_THA,2004,rail,activity,ato $ world_bank_(wb),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,9195000000.0
48,all,all,passenger,19_THA,2005,rail,activity,ato $ world_bank_(wb),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,9195000000.0
49,all,all,passenger,19_THA,2007,rail,activity,ato $ world_bank_(wb),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,8037000000.0
50,all,all,passenger,19_THA,2010,rail,activity,ato $ world_bank_(wb),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,8187000000.0
51,all,all,passenger,19_THA,2011,rail,activity,ato $ world_bank_(wb),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,8032000000.0
52,all,all,passenger,19_THA,2015,rail,activity,ato $ world_bank_(wb),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,6181000000.0
53,all,all,passenger,19_THA,2017,rail,activity,ato $ world_bank_(wb),passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,6020000000.0
54,all,all,passenger,19_THA,1990,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,11611631000.0
55,all,all,passenger,19_THA,1991,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,12819567000.0
56,all,all,passenger,19_THA,1992,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,14135915000.0
57,all,all,passenger,19_THA,1993,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,13702498000.0
58,all,all,passenger,19_THA,1994,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,13814330000.0
59,all,all,passenger,19_THA,1995,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,12975009000.0
60,all,all,passenger,19_THA,1996,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,12205324000.0
61,all,all,passenger,19_THA,1997,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,11804322000.0
62,all,all,passenger,19_THA,1998,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,10946849000.0
63,all,all,passenger,19_THA,1999,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,9893724000.0
64,all,all,passenger,19_THA,2000,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,9935213000.0
65,all,all,passenger,19_THA,2001,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,10321100000.0
66,all,all,passenger,19_THA,2002,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,10378044000.0
67,all,all,passenger,19_THA,2003,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,10250742000.0
68,all,all,passenger,19_THA,2004,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,9332099000.0
69,all,all,passenger,19_THA,2005,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,9052070000.0
70,all,all,passenger,19_THA,2006,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,8824223000.0
71,all,all,passenger,19_THA,2007,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,8037827000.0
72,all,all,passenger,19_THA,2008,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,8224740000.0
73,all,all,passenger,19_THA,2009,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,8813560000.0
74,all,all,passenger,19_THA,2010,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,845976000.0
75,all,all,passenger,19_THA,2011,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,8032162000.0
