New Registrations (Motorcycle) Year & Month / Engine Displacement Dec 1993-Dec 2021
,Over 50cc,Over 50cc,Over 50cc,Over 50cc,Over 50cc,Grand Total
,50cc & under,51-125cc,126-250cc,Over 250cc,Over 50cc Total,Grand Total
Dec 1993,66898, 11857, 5794, 4591, 22242, 89140,
Dec 1994,68506, 9381, 6200, 4303, 19884, 88390,
Dec 1995,62557, 10129, 4383, 3189, 17701, 80258,
Dec 1996,69831, 11559, 4022, 4384, 19965, 89796,
Dec 1997,69460, 8999, 4018, 3210, 16227, 85687,
Dec 1998,58179, 7955, 3635, 4028, 15618, 73797,
Dec 1999,37752, 6349, 2439, 2653, 11441, 49193,
Dec 2000,37432, 5457, 5568, 1303, 12328, 49760,
Dec 2001,38989, 5938, 4072, 2943, 12953, 51942,
Dec 2002,42552, 6603, 4080, 2100, 12783, 55335,
Dec 2003,39284, 3680, 5240, 1888, 10808, 50092,
Dec 2004,36017, 4440, 5565, 2978, 12983, 49000,
Dec 2005,33794, 5329, 7224, 2048, 14601, 48395,
Dec 2006,41523, 7095, 5749, 3080, 15924, 57447,
Dec 2007,33084, 10642, 4880, 2725, 18247, 51331,
Dec 2008,20285, 4798, 3356, 2021, 10175, 30460,
Dec 2009,16881, 4058, 2028, 1952, 8038, 24919,
Dec 2010,17364, 5192, 1833, 1553, 8578, 25942,
Dec 2011,19689, 4373, 2298, 1200, 7871, 27560,
Dec 2012,17538, 6364, 2701, 1399, 10464, 28002,
Dec 2013,18076, 7941, 4645, 2538, 15124, 33200,
Dec 2014,15346, 5810, 4929, 1600, 12339, 27685,
Dec 2015,11891, 7107, 2652, 2064, 11823, 23714,
Dec 2016,13309, 6453, 2255, 2502, 11210, 24519,
Dec 2017,11977, 6070, 1801, 2364, 10235, 22212,
Dec 2018,10394, 7655, 2935, 2694, 13284, 23678,
Dec 2019,8528, 6281, 2928, 2719, 11928, 20456,
Dec 2020,7526, 6184, 3837, 2633, 12654, 20180,
Dec 2021,10276, 7828, 5286, 4811, 17925, 28201,
