Medium,Transport Type,Vehicle Type,Drive,Date,Economy,Frequency,Measure,Unit,Value,Dataset,Scope,Fuel_Type,Comments,Fuel
road,passenger,2w,bev,2017-12-31,06_HKC,Yearly,Stocks,Stocks,48.0,8th edition transport model $ Reference,National,,,
road,passenger,2w,g,2017-12-31,06_HKC,Yearly,Stocks,Stocks,72282.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,bev,2017-12-31,06_HKC,Yearly,Stocks,Stocks,24.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,d,2017-12-31,06_HKC,Yearly,Stocks,Stocks,17464.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,lpg,2017-12-31,06_HKC,Yearly,Stocks,Stocks,3864.0,8th edition transport model $ Reference,National,,,
road,freight,ht,cng,2017-12-31,07_INA,Yearly,Stocks,Stocks,3533.0,8th edition transport model $ Reference,National,,,
road,freight,ht,d,2017-12-31,07_INA,Yearly,Stocks,Stocks,2127031.0,8th edition transport model $ Reference,National,,,
road,freight,ht,g,2017-12-31,07_INA,Yearly,Stocks,Stocks,223774.0,8th edition transport model $ Reference,National,,,
road,freight,ht,phevd,2017-12-31,07_INA,Yearly,Stocks,Stocks,1177.0,8th edition transport model $ Reference,National,,,
road,passenger,2w,bev,2017-12-31,07_INA,Yearly,Stocks,Stocks,5343.0,8th edition transport model $ Reference,National,,,
road,passenger,2w,g,2017-12-31,07_INA,Yearly,Stocks,Stocks,106893383.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,cng,2017-12-31,07_INA,Yearly,Stocks,Stocks,3400.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,d,2017-12-31,07_INA,Yearly,Stocks,Stocks,2046938.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,g,2017-12-31,07_INA,Yearly,Stocks,Stocks,441846.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,phevd,2017-12-31,07_INA,Yearly,Stocks,Stocks,1133.0,8th edition transport model $ Reference,National,,,
road,freight,ht,bev,2017-12-31,08_JPN,Yearly,Stocks,Stocks,109.0,8th edition transport model $ Reference,National,,,
road,freight,ht,cng,2017-12-31,08_JPN,Yearly,Stocks,Stocks,5480.0,8th edition transport model $ Reference,National,,,
road,freight,ht,d,2017-12-31,08_JPN,Yearly,Stocks,Stocks,554125.0,8th edition transport model $ Reference,National,,,
road,freight,ht,g,2017-12-31,08_JPN,Yearly,Stocks,Stocks,1204916.0,8th edition transport model $ Reference,National,,,
road,freight,ht,lpg,2017-12-31,08_JPN,Yearly,Stocks,Stocks,2850.0,8th edition transport model $ Reference,National,,,
road,passenger,2w,g,2017-12-31,08_JPN,Yearly,Stocks,Stocks,11350901.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,d,2017-12-31,08_JPN,Yearly,Stocks,Stocks,209356.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,fcev,2017-12-31,08_JPN,Yearly,Stocks,Stocks,4.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,g,2017-12-31,08_JPN,Yearly,Stocks,Stocks,13825.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,lpg,2017-12-31,08_JPN,Yearly,Stocks,Stocks,110.0,8th edition transport model $ Reference,National,,,
road,freight,ht,d,2017-12-31,09_ROK,Yearly,Stocks,Stocks,2260544.0,8th edition transport model $ Reference,National,,,
road,freight,ht,lpg,2017-12-31,09_ROK,Yearly,Stocks,Stocks,166216.0,8th edition transport model $ Reference,National,,,
road,passenger,2w,g,2017-12-31,09_ROK,Yearly,Stocks,Stocks,2180688.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,bev,2017-12-31,09_ROK,Yearly,Stocks,Stocks,132.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,cng,2017-12-31,09_ROK,Yearly,Stocks,Stocks,39650.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,d,2017-12-31,09_ROK,Yearly,Stocks,Stocks,6608.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,g,2017-12-31,09_ROK,Yearly,Stocks,Stocks,6608.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,lpg,2017-12-31,09_ROK,Yearly,Stocks,Stocks,3965.0,8th edition transport model $ Reference,National,,,
road,freight,ht,bev,2017-12-31,10_MAS,Yearly,Stocks,Stocks,195.0,8th edition transport model $ Reference,National,,,
road,freight,ht,cng,2017-12-31,10_MAS,Yearly,Stocks,Stocks,36164.0,8th edition transport model $ Reference,National,,,
road,freight,ht,d,2017-12-31,10_MAS,Yearly,Stocks,Stocks,1103976.0,8th edition transport model $ Reference,National,,,
