Medium,Transport Type,Vehicle Type,Drive,Date,Economy,Frequency,Measure,Unit,Value,Dataset,Scope,Fuel_Type,Comments,Fuel
road,passenger,2w,g,2017-12-31,17_SIN,Yearly,passenger_km,passenger_km,1679454350.0000002,8th edition transport model $ Reference,National,,,
road,passenger,bus,bev,2017-12-31,17_SIN,Yearly,passenger_km,passenger_km,0.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,d,2017-12-31,17_SIN,Yearly,passenger_km,passenger_km,6071281583.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,fcev,2017-12-31,17_SIN,Yearly,passenger_km,passenger_km,0.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,g,2017-12-31,17_SIN,Yearly,passenger_km,passenger_km,28161840.0,8th edition transport model $ Reference,National,,,
ship,passenger,,,2017-12-31,17_SIN,Yearly,passenger_km,passenger_km,106353498.0,8th edition transport model $ Reference,National,,,
air,passenger,,,2017-12-31,18_CT,Yearly,passenger_km,passenger_km,1229136264.373268,8th edition transport model $ Reference,National,,,
rail,passenger,,,2017-12-31,18_CT,Yearly,passenger_km,passenger_km,24294460959.74413,8th edition transport model $ Reference,National,,,
road,passenger,2w,bev,2017-12-31,18_CT,Yearly,passenger_km,passenger_km,133058166.3382181,8th edition transport model $ Reference,National,,,
road,passenger,2w,g,2017-12-31,18_CT,Yearly,passenger_km,passenger_km,34817932110.49538,8th edition transport model $ Reference,National,,,
road,passenger,bus,bev,2017-12-31,18_CT,Yearly,passenger_km,passenger_km,5987939.625781099,8th edition transport model $ Reference,National,,,
road,passenger,bus,d,2017-12-31,18_CT,Yearly,passenger_km,passenger_km,1218423925.2439032,8th edition transport model $ Reference,National,,,
road,passenger,bus,fcev,2017-12-31,18_CT,Yearly,passenger_km,passenger_km,0.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,g,2017-12-31,18_CT,Yearly,passenger_km,passenger_km,7290931273.1052,8th edition transport model $ Reference,National,,,
air,passenger,,,2017-12-31,19_THA,Yearly,passenger_km,passenger_km,45328990675.4701,8th edition transport model $ Reference,National,,,
rail,passenger,,,2017-12-31,19_THA,Yearly,passenger_km,passenger_km,6413018747.525523,8th edition transport model $ Reference,National,,,
road,passenger,2w,bev,2017-12-31,19_THA,Yearly,passenger_km,passenger_km,261050918.625983,8th edition transport model $ Reference,National,,,
road,passenger,2w,g,2017-12-31,19_THA,Yearly,passenger_km,passenger_km,104163091629.314,8th edition transport model $ Reference,National,,,
road,passenger,bus,bev,2017-12-31,19_THA,Yearly,passenger_km,passenger_km,4382674.9683004,8th edition transport model $ Reference,National,,,
road,passenger,bus,cng,2017-12-31,19_THA,Yearly,passenger_km,passenger_km,17059680513.525331,8th edition transport model $ Reference,National,,,
road,passenger,bus,d,2017-12-31,19_THA,Yearly,passenger_km,passenger_km,33500397936.35886,8th edition transport model $ Reference,National,,,
road,passenger,bus,fcev,2017-12-31,19_THA,Yearly,passenger_km,passenger_km,0.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,g,2017-12-31,19_THA,Yearly,passenger_km,passenger_km,1369387711.157825,8th edition transport model $ Reference,National,,,
road,passenger,bus,lpg,2017-12-31,19_THA,Yearly,passenger_km,passenger_km,11323941638.21981,8th edition transport model $ Reference,National,,,
road,passenger,bus,phevd,2017-12-31,19_THA,Yearly,passenger_km,passenger_km,4183462.4697413007,8th edition transport model $ Reference,National,,,
ship,passenger,,,2017-12-31,19_THA,Yearly,passenger_km,passenger_km,4358271185.112392,8th edition transport model $ Reference,National,,,
air,passenger,,,2017-12-31,20_USA,Yearly,passenger_km,passenger_km,580041990331.368,8th edition transport model $ Reference,National,,,
rail,passenger,,,2017-12-31,20_USA,Yearly,passenger_km,passenger_km,67605143727.79093,8th edition transport model $ Reference,National,,,
road,passenger,2w,bev,2017-12-31,20_USA,Yearly,passenger_km,passenger_km,95372045.51545052,8th edition transport model $ Reference,National,,,
road,passenger,2w,g,2017-12-31,20_USA,Yearly,passenger_km,passenger_km,38152288396.20933,8th edition transport model $ Reference,National,,,
road,passenger,bus,bev,2017-12-31,20_USA,Yearly,passenger_km,passenger_km,520677014.0259509,8th edition transport model $ Reference,National,,,
road,passenger,bus,cng,2017-12-31,20_USA,Yearly,passenger_km,passenger_km,57329442134.93252,8th edition transport model $ Reference,National,,,
road,passenger,bus,d,2017-12-31,20_USA,Yearly,passenger_km,passenger_km,488867661423.4031,8th edition transport model $ Reference,National,,,
road,passenger,bus,fcev,2017-12-31,20_USA,Yearly,passenger_km,passenger_km,0.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,g,2017-12-31,20_USA,Yearly,passenger_km,passenger_km,32283713646.56361,8th edition transport model $ Reference,National,,,
road,passenger,bus,lpg,2017-12-31,20_USA,Yearly,passenger_km,passenger_km,521176721.1859413,8th edition transport model $ Reference,National,,,
road,passenger,bus,phevd,2017-12-31,20_USA,Yearly,passenger_km,passenger_km,519319391.2570987,8th edition transport model $ Reference,National,,,
ship,passenger,,,2017-12-31,20_USA,Yearly,passenger_km,passenger_km,70285836362.34454,8th edition transport model $ Reference,National,,,
air,passenger,,,2017-12-31,21_VN,Yearly,passenger_km,passenger_km,14862986580.0,8th edition transport model $ Reference,National,,,
rail,passenger,,,2017-12-31,21_VN,Yearly,passenger_km,passenger_km,3943647826.0,8th edition transport model $ Reference,National,,,
road,passenger,2w,bev,2017-12-31,21_VN,Yearly,passenger_km,passenger_km,81637308.0,8th edition transport model $ Reference,National,,,
road,passenger,2w,g,2017-12-31,21_VN,Yearly,passenger_km,passenger_km,171818123600.00003,8th edition transport model $ Reference,National,,,
road,passenger,bus,bev,2017-12-31,21_VN,Yearly,passenger_km,passenger_km,0.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,cng,2017-12-31,21_VN,Yearly,passenger_km,passenger_km,113829065.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,d,2017-12-31,21_VN,Yearly,passenger_km,passenger_km,42695513940.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,fcev,2017-12-31,21_VN,Yearly,passenger_km,passenger_km,0.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,g,2017-12-31,21_VN,Yearly,passenger_km,passenger_km,76564311340.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,lpg,2017-12-31,21_VN,Yearly,passenger_km,passenger_km,113829065.0,8th edition transport model $ Reference,National,,,
ship,passenger,,,2017-12-31,21_VN,Yearly,passenger_km,passenger_km,3500885790.0,8th edition transport model $ Reference,National,,,
air,freight,,,2017-12-31,01_AUS,Yearly,freight_tonne_km,freight_tonne_km,1233438002.779041,8th edition transport model $ Reference,National,,,
rail,freight,,,2017-12-31,01_AUS,Yearly,freight_tonne_km,freight_tonne_km,416871404145.2897,8th edition transport model $ Reference,National,,,
road,freight,ht,bev,2017-12-31,01_AUS,Yearly,freight_tonne_km,freight_tonne_km,0.0,8th edition transport model $ Reference,National,,,
road,freight,ht,cng,2017-12-31,01_AUS,Yearly,freight_tonne_km,freight_tonne_km,20273983.8150333,8th edition transport model $ Reference,National,,,
road,freight,ht,d,2017-12-31,01_AUS,Yearly,freight_tonne_km,freight_tonne_km,196590240199.0082,8th edition transport model $ Reference,National,,,
road,freight,ht,fcev,2017-12-31,01_AUS,Yearly,freight_tonne_km,freight_tonne_km,0.0,8th edition transport model $ Reference,National,,,
road,freight,ht,g,2017-12-31,01_AUS,Yearly,freight_tonne_km,freight_tonne_km,9128182624.377253,8th edition transport model $ Reference,National,,,
road,freight,ht,lpg,2017-12-31,01_AUS,Yearly,freight_tonne_km,freight_tonne_km,1409046603.770782,8th edition transport model $ Reference,National,,,
ship,freight,,,2017-12-31,01_AUS,Yearly,freight_tonne_km,freight_tonne_km,110389398640.84152,8th edition transport model $ Reference,National,,,
road,freight,ht,bev,2017-12-31,02_BD,Yearly,freight_tonne_km,freight_tonne_km,0.0,8th edition transport model $ Reference,National,,,
road,freight,ht,d,2017-12-31,02_BD,Yearly,freight_tonne_km,freight_tonne_km,993549392.1065664,8th edition transport model $ Reference,National,,,
road,freight,ht,fcev,2017-12-31,02_BD,Yearly,freight_tonne_km,freight_tonne_km,0.0,8th edition transport model $ Reference,National,,,
road,freight,ht,g,2017-12-31,02_BD,Yearly,freight_tonne_km,freight_tonne_km,37670013.0255094,8th edition transport model $ Reference,National,,,
air,freight,,,2017-12-31,03_CDA,Yearly,freight_tonne_km,freight_tonne_km,2321844820.0,8th edition transport model $ Reference,National,,,
rail,freight,,,2017-12-31,03_CDA,Yearly,freight_tonne_km,freight_tonne_km,426072033800.0,8th edition transport model $ Reference,National,,,
road,freight,ht,bev,2017-12-31,03_CDA,Yearly,freight_tonne_km,freight_tonne_km,0.0,8th edition transport model $ Reference,National,,,
road,freight,ht,cng,2017-12-31,03_CDA,Yearly,freight_tonne_km,freight_tonne_km,453554284.0,8th edition transport model $ Reference,National,,,
road,freight,ht,d,2017-12-31,03_CDA,Yearly,freight_tonne_km,freight_tonne_km,213417910800.0,8th edition transport model $ Reference,National,,,
road,freight,ht,fcev,2017-12-31,03_CDA,Yearly,freight_tonne_km,freight_tonne_km,0.0,8th edition transport model $ Reference,National,,,
road,freight,ht,g,2017-12-31,03_CDA,Yearly,freight_tonne_km,freight_tonne_km,143075763200.00003,8th edition transport model $ Reference,National,,,
road,freight,ht,lpg,2017-12-31,03_CDA,Yearly,freight_tonne_km,freight_tonne_km,2845022325.0,8th edition transport model $ Reference,National,,,
road,freight,ht,phevd,2017-12-31,03_CDA,Yearly,freight_tonne_km,freight_tonne_km,0.0,8th edition transport model $ Reference,National,,,
ship,freight,,,2017-12-31,03_CDA,Yearly,freight_tonne_km,freight_tonne_km,200861105300.0,8th edition transport model $ Reference,National,,,
air,freight,,,2017-12-31,04_CHL,Yearly,freight_tonne_km,freight_tonne_km,85616888.0,8th edition transport model $ Reference,National,,,
rail,freight,,,2017-12-31,04_CHL,Yearly,freight_tonne_km,freight_tonne_km,4322025395.0,8th edition transport model $ Reference,National,,,
road,freight,ht,bev,2017-12-31,04_CHL,Yearly,freight_tonne_km,freight_tonne_km,0.0,8th edition transport model $ Reference,National,,,
road,freight,ht,d,2017-12-31,04_CHL,Yearly,freight_tonne_km,freight_tonne_km,31171314560.0,8th edition transport model $ Reference,National,,,
road,freight,ht,fcev,2017-12-31,04_CHL,Yearly,freight_tonne_km,freight_tonne_km,0.0,8th edition transport model $ Reference,National,,,
road,freight,ht,g,2017-12-31,04_CHL,Yearly,freight_tonne_km,freight_tonne_km,305601121.0,8th edition transport model $ Reference,National,,,
ship,freight,,,2017-12-31,04_CHL,Yearly,freight_tonne_km,freight_tonne_km,11302259670.0,8th edition transport model $ Reference,National,,,
air,freight,,,2017-12-31,05_PRC,Yearly,freight_tonne_km,freight_tonne_km,23310670000.0,8th edition transport model $ Reference,National,,,
rail,freight,,,2017-12-31,05_PRC,Yearly,freight_tonne_km,freight_tonne_km,2233868000000.0,8th edition transport model $ Reference,National,,,
road,freight,ht,bev,2017-12-31,05_PRC,Yearly,freight_tonne_km,freight_tonne_km,61874000.0,8th edition transport model $ Reference,National,,,
road,freight,ht,cng,2017-12-31,05_PRC,Yearly,freight_tonne_km,freight_tonne_km,79864189999.99998,8th edition transport model $ Reference,National,,,
road,freight,ht,d,2017-12-31,05_PRC,Yearly,freight_tonne_km,freight_tonne_km,6072511000000.0,8th edition transport model $ Reference,National,,,
road,freight,ht,fcev,2017-12-31,05_PRC,Yearly,freight_tonne_km,freight_tonne_km,0.0,8th edition transport model $ Reference,National,,,
road,freight,ht,g,2017-12-31,05_PRC,Yearly,freight_tonne_km,freight_tonne_km,0.0,8th edition transport model $ Reference,National,,,
road,freight,ht,lpg,2017-12-31,05_PRC,Yearly,freight_tonne_km,freight_tonne_km,15972840000.0,8th edition transport model $ Reference,National,,,
road,freight,ht,phevd,2017-12-31,05_PRC,Yearly,freight_tonne_km,freight_tonne_km,0.0,8th edition transport model $ Reference,National,,,
ship,freight,,,2017-12-31,05_PRC,Yearly,freight_tonne_km,freight_tonne_km,3948998000000.0,8th edition transport model $ Reference,National,,,
air,freight,,,2017-12-31,06_HKC,Yearly,freight_tonne_km,freight_tonne_km,29890020.2662429,8th edition transport model $ Reference,National,,,
rail,freight,,,2017-12-31,06_HKC,Yearly,freight_tonne_km,freight_tonne_km,66135.586846304,8th edition transport model $ Reference,National,,,
road,freight,ht,bev,2017-12-31,06_HKC,Yearly,freight_tonne_km,freight_tonne_km,0.0,8th edition transport model $ Reference,National,,,
road,freight,ht,d,2017-12-31,06_HKC,Yearly,freight_tonne_km,freight_tonne_km,5615241281.521074,8th edition transport model $ Reference,National,,,
road,freight,ht,fcev,2017-12-31,06_HKC,Yearly,freight_tonne_km,freight_tonne_km,0.0,8th edition transport model $ Reference,National,,,
road,freight,ht,g,2017-12-31,06_HKC,Yearly,freight_tonne_km,freight_tonne_km,0.0,8th edition transport model $ Reference,National,,,
road,freight,ht,lpg,2017-12-31,06_HKC,Yearly,freight_tonne_km,freight_tonne_km,397867875.4360285,8th edition transport model $ Reference,National,,,
ship,freight,,,2017-12-31,06_HKC,Yearly,freight_tonne_km,freight_tonne_km,300553592.333587,8th edition transport model $ Reference,National,,,
air,freight,,,2017-12-31,07_INA,Yearly,freight_tonne_km,freight_tonne_km,145857865.0,8th edition transport model $ Reference,National,,,
rail,freight,,,2017-12-31,07_INA,Yearly,freight_tonne_km,freight_tonne_km,9461700217.0,8th edition transport model $ Reference,National,,,
road,freight,ht,bev,2017-12-31,07_INA,Yearly,freight_tonne_km,freight_tonne_km,0.0,8th edition transport model $ Reference,National,,,
road,freight,ht,cng,2017-12-31,07_INA,Yearly,freight_tonne_km,freight_tonne_km,286277879.0,8th edition transport model $ Reference,National,,,
road,freight,ht,d,2017-12-31,07_INA,Yearly,freight_tonne_km,freight_tonne_km,206807141900.0,8th edition transport model $ Reference,National,,,
road,freight,ht,g,2017-12-31,07_INA,Yearly,freight_tonne_km,freight_tonne_km,18130932520.0,8th edition transport model $ Reference,National,,,
road,freight,ht,lpg,2017-12-31,07_INA,Yearly,freight_tonne_km,freight_tonne_km,0.0,8th edition transport model $ Reference,National,,,
road,freight,ht,phevd,2017-12-31,07_INA,Yearly,freight_tonne_km,freight_tonne_km,95350041.0,8th edition transport model $ Reference,National,,,
ship,freight,,,2017-12-31,07_INA,Yearly,freight_tonne_km,freight_tonne_km,14328664830.0,8th edition transport model $ Reference,National,,,
air,freight,,,2017-12-31,08_JPN,Yearly,freight_tonne_km,freight_tonne_km,1111132986.0,8th edition transport model $ Reference,National,,,
rail,freight,,,2017-12-31,08_JPN,Yearly,freight_tonne_km,freight_tonne_km,21178491350.0,8th edition transport model $ Reference,National,,,
road,freight,ht,bev,2017-12-31,08_JPN,Yearly,freight_tonne_km,freight_tonne_km,9598818.0,8th edition transport model $ Reference,National,,,
road,freight,ht,cng,2017-12-31,08_JPN,Yearly,freight_tonne_km,freight_tonne_km,725295591.0,8th edition transport model $ Reference,National,,,
road,freight,ht,d,2017-12-31,08_JPN,Yearly,freight_tonne_km,freight_tonne_km,97789190140.0,8th edition transport model $ Reference,National,,,
road,freight,ht,fcev,2017-12-31,08_JPN,Yearly,freight_tonne_km,freight_tonne_km,0.0,8th edition transport model $ Reference,National,,,
road,freight,ht,g,2017-12-31,08_JPN,Yearly,freight_tonne_km,freight_tonne_km,106318666500.0,8th edition transport model $ Reference,National,,,
road,freight,ht,lpg,2017-12-31,08_JPN,Yearly,freight_tonne_km,freight_tonne_km,314294800.0,8th edition transport model $ Reference,National,,,
road,freight,ht,phevd,2017-12-31,08_JPN,Yearly,freight_tonne_km,freight_tonne_km,0.0,8th edition transport model $ Reference,National,,,
ship,freight,,,2017-12-31,08_JPN,Yearly,freight_tonne_km,freight_tonne_km,179228438000.00003,8th edition transport model $ Reference,National,,,
air,freight,,,2017-12-31,09_ROK,Yearly,freight_tonne_km,freight_tonne_km,93278129.0,8th edition transport model $ Reference,National,,,
rail,freight,,,2017-12-31,09_ROK,Yearly,freight_tonne_km,freight_tonne_km,8930079582.0,8th edition transport model $ Reference,National,,,
road,freight,ht,bev,2017-12-31,09_ROK,Yearly,freight_tonne_km,freight_tonne_km,0.0,8th edition transport model $ Reference,National,,,
road,freight,ht,d,2017-12-31,09_ROK,Yearly,freight_tonne_km,freight_tonne_km,135651098399.99998,8th edition transport model $ Reference,National,,,
road,freight,ht,fcev,2017-12-31,09_ROK,Yearly,freight_tonne_km,freight_tonne_km,0.0,8th edition transport model $ Reference,National,,,
road,freight,ht,lpg,2017-12-31,09_ROK,Yearly,freight_tonne_km,freight_tonne_km,12467931870.0,8th edition transport model $ Reference,National,,,
road,freight,ht,phevd,2017-12-31,09_ROK,Yearly,freight_tonne_km,freight_tonne_km,0.0,8th edition transport model $ Reference,National,,,
ship,freight,,,2017-12-31,09_ROK,Yearly,freight_tonne_km,freight_tonne_km,1586852945.0,8th edition transport model $ Reference,National,,,
air,freight,,,2017-12-31,10_MAS,Yearly,freight_tonne_km,freight_tonne_km,2239444228.547613,8th edition transport model $ Reference,National,,,
rail,freight,,,2017-12-31,10_MAS,Yearly,freight_tonne_km,freight_tonne_km,2003751419.313546,8th edition transport model $ Reference,National,,,
road,freight,ht,bev,2017-12-31,10_MAS,Yearly,freight_tonne_km,freight_tonne_km,25709283.7555811,8th edition transport model $ Reference,National,,,
road,freight,ht,cng,2017-12-31,10_MAS,Yearly,freight_tonne_km,freight_tonne_km,4764046166.059176,8th edition transport model $ Reference,National,,,
road,freight,ht,d,2017-12-31,10_MAS,Yearly,freight_tonne_km,freight_tonne_km,145430838501.4073,8th edition transport model $ Reference,National,,,
road,freight,ht,fcev,2017-12-31,10_MAS,Yearly,freight_tonne_km,freight_tonne_km,0.0,8th edition transport model $ Reference,National,,,
road,freight,ht,g,2017-12-31,10_MAS,Yearly,freight_tonne_km,freight_tonne_km,14483135919.7173,8th edition transport model $ Reference,National,,,
ship,freight,,,2017-12-31,10_MAS,Yearly,freight_tonne_km,freight_tonne_km,1332730210.556462,8th edition transport model $ Reference,National,,,
air,freight,,,2017-12-31,11_MEX,Yearly,freight_tonne_km,freight_tonne_km,146038881.3846695,8th edition transport model $ Reference,National,,,
rail,freight,,,2017-12-31,11_MEX,Yearly,freight_tonne_km,freight_tonne_km,87279698889.24747,8th edition transport model $ Reference,National,,,
road,freight,ht,bev,2017-12-31,11_MEX,Yearly,freight_tonne_km,freight_tonne_km,0.0,8th edition transport model $ Reference,National,,,
road,freight,ht,cng,2017-12-31,11_MEX,Yearly,freight_tonne_km,freight_tonne_km,34674773.495901905,8th edition transport model $ Reference,National,,,
road,freight,ht,d,2017-12-31,11_MEX,Yearly,freight_tonne_km,freight_tonne_km,221030352249.57175,8th edition transport model $ Reference,National,,,
road,freight,ht,fcev,2017-12-31,11_MEX,Yearly,freight_tonne_km,freight_tonne_km,0.0,8th edition transport model $ Reference,National,,,
road,freight,ht,g,2017-12-31,11_MEX,Yearly,freight_tonne_km,freight_tonne_km,24958371260.60809,8th edition transport model $ Reference,National,,,
ship,freight,,,2017-12-31,11_MEX,Yearly,freight_tonne_km,freight_tonne_km,39650150268.05956,8th edition transport model $ Reference,National,,,
rail,freight,,,2017-12-31,12_NZ,Yearly,freight_tonne_km,freight_tonne_km,4833164916.000001,8th edition transport model $ Reference,National,,,
road,freight,ht,bev,2017-12-31,12_NZ,Yearly,freight_tonne_km,freight_tonne_km,0.0,8th edition transport model $ Reference,National,,,
road,freight,ht,cng,2017-12-31,12_NZ,Yearly,freight_tonne_km,freight_tonne_km,5295618.999999999,8th edition transport model $ Reference,National,,,
road,freight,ht,d,2017-12-31,12_NZ,Yearly,freight_tonne_km,freight_tonne_km,18739240770.0,8th edition transport model $ Reference,National,,,
road,freight,ht,fcev,2017-12-31,12_NZ,Yearly,freight_tonne_km,freight_tonne_km,0.0,8th edition transport model $ Reference,National,,,
road,freight,ht,g,2017-12-31,12_NZ,Yearly,freight_tonne_km,freight_tonne_km,409303487.0,8th edition transport model $ Reference,National,,,
road,freight,ht,lpg,2017-12-31,12_NZ,Yearly,freight_tonne_km,freight_tonne_km,19513632.0,8th edition transport model $ Reference,National,,,
ship,freight,,,2017-12-31,12_NZ,Yearly,freight_tonne_km,freight_tonne_km,3204851020.0,8th edition transport model $ Reference,National,,,
air,freight,,,2017-12-31,13_PNG,Yearly,freight_tonne_km,freight_tonne_km,48658649.0,8th edition transport model $ Reference,National,,,
road,freight,ht,bev,2017-12-31,13_PNG,Yearly,freight_tonne_km,freight_tonne_km,0.0,8th edition transport model $ Reference,National,,,
road,freight,ht,d,2017-12-31,13_PNG,Yearly,freight_tonne_km,freight_tonne_km,974584536.0,8th edition transport model $ Reference,National,,,
road,freight,ht,g,2017-12-31,13_PNG,Yearly,freight_tonne_km,freight_tonne_km,102899754.0,8th edition transport model $ Reference,National,,,
ship,freight,,,2017-12-31,13_PNG,Yearly,freight_tonne_km,freight_tonne_km,1608205656.0,8th edition transport model $ Reference,National,,,
air,freight,,,2017-12-31,14_PE,Yearly,freight_tonne_km,freight_tonne_km,331119345.3035853,8th edition transport model $ Reference,National,,,
rail,freight,,,2017-12-31,14_PE,Yearly,freight_tonne_km,freight_tonne_km,907559256.1044924,8th edition transport model $ Reference,National,,,
road,freight,ht,bev,2017-12-31,14_PE,Yearly,freight_tonne_km,freight_tonne_km,0.0,8th edition transport model $ Reference,National,,,
road,freight,ht,cng,2017-12-31,14_PE,Yearly,freight_tonne_km,freight_tonne_km,2803774340.859145,8th edition transport model $ Reference,National,,,
road,freight,ht,d,2017-12-31,14_PE,Yearly,freight_tonne_km,freight_tonne_km,52224058442.83269,8th edition transport model $ Reference,National,,,
road,freight,ht,fcev,2017-12-31,14_PE,Yearly,freight_tonne_km,freight_tonne_km,0.0,8th edition transport model $ Reference,National,,,
road,freight,ht,g,2017-12-31,14_PE,Yearly,freight_tonne_km,freight_tonne_km,3218911153.37451,8th edition transport model $ Reference,National,,,
road,freight,ht,lpg,2017-12-31,14_PE,Yearly,freight_tonne_km,freight_tonne_km,3738365787.812194,8th edition transport model $ Reference,National,,,
ship,freight,,,2017-12-31,14_PE,Yearly,freight_tonne_km,freight_tonne_km,16650111367.07936,8th edition transport model $ Reference,National,,,
air,freight,,,2017-12-31,15_RP,Yearly,freight_tonne_km,freight_tonne_km,624232291.9999999,8th edition transport model $ Reference,National,,,
rail,freight,,,2017-12-31,15_RP,Yearly,freight_tonne_km,freight_tonne_km,736657009.9999999,8th edition transport model $ Reference,National,,,
road,freight,ht,bev,2017-12-31,15_RP,Yearly,freight_tonne_km,freight_tonne_km,0.0,8th edition transport model $ Reference,National,,,
road,freight,ht,d,2017-12-31,15_RP,Yearly,freight_tonne_km,freight_tonne_km,50428558390.0,8th edition transport model $ Reference,National,,,
road,freight,ht,fcev,2017-12-31,15_RP,Yearly,freight_tonne_km,freight_tonne_km,0.0,8th edition transport model $ Reference,National,,,
road,freight,ht,g,2017-12-31,15_RP,Yearly,freight_tonne_km,freight_tonne_km,823986892.0,8th edition transport model $ Reference,National,,,
road,freight,ht,lpg,2017-12-31,15_RP,Yearly,freight_tonne_km,freight_tonne_km,0.0,8th edition transport model $ Reference,National,,,
ship,freight,,,2017-12-31,15_RP,Yearly,freight_tonne_km,freight_tonne_km,18886049690.0,8th edition transport model $ Reference,National,,,
rail,freight,,,2017-12-31,16_RUS,Yearly,freight_tonne_km,freight_tonne_km,2364105002849.336,8th edition transport model $ Reference,National,,,
road,freight,ht,bev,2017-12-31,16_RUS,Yearly,freight_tonne_km,freight_tonne_km,0.0,8th edition transport model $ Reference,National,,,
road,freight,ht,cng,2017-12-31,16_RUS,Yearly,freight_tonne_km,freight_tonne_km,6299253936.297752,8th edition transport model $ Reference,National,,,
road,freight,ht,d,2017-12-31,16_RUS,Yearly,freight_tonne_km,freight_tonne_km,143203038955.204,8th edition transport model $ Reference,National,,,
road,freight,ht,g,2017-12-31,16_RUS,Yearly,freight_tonne_km,freight_tonne_km,74191212732.0371,8th edition transport model $ Reference,National,,,
road,freight,ht,lpg,2017-12-31,16_RUS,Yearly,freight_tonne_km,freight_tonne_km,2799668425.365764,8th edition transport model $ Reference,National,,,
road,freight,ht,phevd,2017-12-31,16_RUS,Yearly,freight_tonne_km,freight_tonne_km,0.0,8th edition transport model $ Reference,National,,,
ship,freight,,,2017-12-31,16_RUS,Yearly,freight_tonne_km,freight_tonne_km,62465435898.72424,8th edition transport model $ Reference,National,,,
road,freight,ht,bev,2017-12-31,17_SIN,Yearly,freight_tonne_km,freight_tonne_km,0.0,8th edition transport model $ Reference,National,,,
road,freight,ht,d,2017-12-31,17_SIN,Yearly,freight_tonne_km,freight_tonne_km,5637616292.0,8th edition transport model $ Reference,National,,,
road,freight,ht,fcev,2017-12-31,17_SIN,Yearly,freight_tonne_km,freight_tonne_km,0.0,8th edition transport model $ Reference,National,,,
road,freight,ht,g,2017-12-31,17_SIN,Yearly,freight_tonne_km,freight_tonne_km,47211943.0,8th edition transport model $ Reference,National,,,
ship,freight,,,2017-12-31,17_SIN,Yearly,freight_tonne_km,freight_tonne_km,30377144.0,8th edition transport model $ Reference,National,,,
air,freight,,,2017-12-31,18_CT,Yearly,freight_tonne_km,freight_tonne_km,133812.6803812999,8th edition transport model $ Reference,National,,,
rail,freight,,,2017-12-31,18_CT,Yearly,freight_tonne_km,freight_tonne_km,588697487.3212433,8th edition transport model $ Reference,National,,,
road,freight,ht,bev,2017-12-31,18_CT,Yearly,freight_tonne_km,freight_tonne_km,0.0,8th edition transport model $ Reference,National,,,
road,freight,ht,d,2017-12-31,18_CT,Yearly,freight_tonne_km,freight_tonne_km,37233825608.855255,8th edition transport model $ Reference,National,,,
road,freight,ht,fcev,2017-12-31,18_CT,Yearly,freight_tonne_km,freight_tonne_km,0.0,8th edition transport model $ Reference,National,,,
road,freight,ht,g,2017-12-31,18_CT,Yearly,freight_tonne_km,freight_tonne_km,10928479.2828838,8th edition transport model $ Reference,National,,,
ship,freight,,,2017-12-31,18_CT,Yearly,freight_tonne_km,freight_tonne_km,314849424.5937345,8th edition transport model $ Reference,National,,,
air,freight,,,2017-12-31,19_THA,Yearly,freight_tonne_km,freight_tonne_km,125222058.79794048,8th edition transport model $ Reference,National,,,
rail,freight,,,2017-12-31,19_THA,Yearly,freight_tonne_km,freight_tonne_km,1953082737.821232,8th edition transport model $ Reference,National,,,
road,freight,ht,bev,2017-12-31,19_THA,Yearly,freight_tonne_km,freight_tonne_km,0.0,8th edition transport model $ Reference,National,,,
road,freight,ht,cng,2017-12-31,19_THA,Yearly,freight_tonne_km,freight_tonne_km,41339547972.87408,8th edition transport model $ Reference,National,,,
road,freight,ht,d,2017-12-31,19_THA,Yearly,freight_tonne_km,freight_tonne_km,142624504773.3408,8th edition transport model $ Reference,National,,,
road,freight,ht,fcev,2017-12-31,19_THA,Yearly,freight_tonne_km,freight_tonne_km,0.0,8th edition transport model $ Reference,National,,,
road,freight,ht,g,2017-12-31,19_THA,Yearly,freight_tonne_km,freight_tonne_km,107770060.1935435,8th edition transport model $ Reference,National,,,
road,freight,ht,lpg,2017-12-31,19_THA,Yearly,freight_tonne_km,freight_tonne_km,15301711432.07819,8th edition transport model $ Reference,National,,,
road,freight,ht,phevd,2017-12-31,19_THA,Yearly,freight_tonne_km,freight_tonne_km,0.0,8th edition transport model $ Reference,National,,,
ship,freight,,,2017-12-31,19_THA,Yearly,freight_tonne_km,freight_tonne_km,16470887167.27247,8th edition transport model $ Reference,National,,,
air,freight,,,2017-12-31,20_USA,Yearly,freight_tonne_km,freight_tonne_km,18855552720.275627,8th edition transport model $ Reference,National,,,
rail,freight,,,2017-12-31,20_USA,Yearly,freight_tonne_km,freight_tonne_km,2721335962495.21,8th edition transport model $ Reference,National,,,
