Medium,Transport Type,Vehicle Type,Drive,Economy,Frequency,Measure,Unit,Scope,Fuel_Type,Fuel,Date
road,freight,ht,cng,01_AUS,Yearly,Stocks,Stocks,National,,,2010-12-31
road,freight,ht,cng,01_AUS,Yearly,Stocks,Stocks,National,,,2011-12-31
road,freight,ht,cng,01_AUS,Yearly,Stocks,Stocks,National,,,2012-12-31
road,freight,ht,cng,01_AUS,Yearly,Stocks,Stocks,National,,,2013-12-31
road,freight,ht,cng,01_AUS,Yearly,Stocks,Stocks,National,,,2014-12-31
road,freight,ht,cng,01_AUS,Yearly,Stocks,Stocks,National,,,2015-12-31
road,freight,ht,cng,01_AUS,Yearly,Stocks,Stocks,National,,,2016-12-31
road,freight,ht,cng,01_AUS,Yearly,Stocks,Stocks,National,,,2017-12-31
road,freight,ht,cng,01_AUS,Yearly,Stocks,Stocks,National,,,2018-12-31
road,freight,ht,cng,01_AUS,Yearly,Stocks,Stocks,National,,,2019-12-31
road,freight,ht,cng,01_AUS,Yearly,Stocks,Stocks,National,,,2020-12-31
road,freight,ht,cng,01_AUS,Yearly,Stocks,Stocks,National,,,2021-12-31
road,freight,ht,d,01_AUS,Yearly,Stocks,Stocks,National,,,2010-12-31
road,freight,ht,d,01_AUS,Yearly,Stocks,Stocks,National,,,2011-12-31
road,freight,ht,d,01_AUS,Yearly,Stocks,Stocks,National,,,2012-12-31
road,freight,ht,d,01_AUS,Yearly,Stocks,Stocks,National,,,2013-12-31
road,freight,ht,d,01_AUS,Yearly,Stocks,Stocks,National,,,2014-12-31
road,freight,ht,d,01_AUS,Yearly,Stocks,Stocks,National,,,2015-12-31
road,freight,ht,d,01_AUS,Yearly,Stocks,Stocks,National,,,2016-12-31
road,freight,ht,d,01_AUS,Yearly,Stocks,Stocks,National,,,2017-12-31
road,freight,ht,d,01_AUS,Yearly,Stocks,Stocks,National,,,2018-12-31
road,freight,ht,d,01_AUS,Yearly,Stocks,Stocks,National,,,2019-12-31
road,freight,ht,d,01_AUS,Yearly,Stocks,Stocks,National,,,2020-12-31
road,freight,ht,d,01_AUS,Yearly,Stocks,Stocks,National,,,2021-12-31
road,freight,ht,g,01_AUS,Yearly,Stocks,Stocks,National,,,2010-12-31
road,freight,ht,g,01_AUS,Yearly,Stocks,Stocks,National,,,2011-12-31
road,freight,ht,g,01_AUS,Yearly,Stocks,Stocks,National,,,2012-12-31
road,freight,ht,g,01_AUS,Yearly,Stocks,Stocks,National,,,2013-12-31
road,freight,ht,g,01_AUS,Yearly,Stocks,Stocks,National,,,2014-12-31
road,freight,ht,g,01_AUS,Yearly,Stocks,Stocks,National,,,2015-12-31
road,freight,ht,g,01_AUS,Yearly,Stocks,Stocks,National,,,2016-12-31
road,freight,ht,g,01_AUS,Yearly,Stocks,Stocks,National,,,2017-12-31
road,freight,ht,g,01_AUS,Yearly,Stocks,Stocks,National,,,2018-12-31
road,freight,ht,g,01_AUS,Yearly,Stocks,Stocks,National,,,2019-12-31
road,freight,ht,g,01_AUS,Yearly,Stocks,Stocks,National,,,2020-12-31
road,freight,ht,g,01_AUS,Yearly,Stocks,Stocks,National,,,2021-12-31
road,freight,ht,lpg,01_AUS,Yearly,Stocks,Stocks,National,,,2010-12-31
road,freight,ht,lpg,01_AUS,Yearly,Stocks,Stocks,National,,,2011-12-31
road,freight,ht,lpg,01_AUS,Yearly,Stocks,Stocks,National,,,2012-12-31
road,freight,ht,lpg,01_AUS,Yearly,Stocks,Stocks,National,,,2013-12-31
road,freight,ht,lpg,01_AUS,Yearly,Stocks,Stocks,National,,,2014-12-31
road,freight,ht,lpg,01_AUS,Yearly,Stocks,Stocks,National,,,2015-12-31
road,freight,ht,lpg,01_AUS,Yearly,Stocks,Stocks,National,,,2016-12-31
road,freight,ht,lpg,01_AUS,Yearly,Stocks,Stocks,National,,,2017-12-31
road,freight,ht,lpg,01_AUS,Yearly,Stocks,Stocks,National,,,2018-12-31
road,freight,ht,lpg,01_AUS,Yearly,Stocks,Stocks,National,,,2019-12-31
road,freight,ht,lpg,01_AUS,Yearly,Stocks,Stocks,National,,,2020-12-31
road,freight,ht,lpg,01_AUS,Yearly,Stocks,Stocks,National,,,2021-12-31
road,passenger,2w,bev,01_AUS,Yearly,Stocks,Stocks,National,,,2010-12-31
road,passenger,2w,bev,01_AUS,Yearly,Stocks,Stocks,National,,,2011-12-31
road,passenger,2w,bev,01_AUS,Yearly,Stocks,Stocks,National,,,2012-12-31
road,passenger,2w,bev,01_AUS,Yearly,Stocks,Stocks,National,,,2013-12-31
road,passenger,2w,bev,01_AUS,Yearly,Stocks,Stocks,National,,,2014-12-31
road,passenger,2w,bev,01_AUS,Yearly,Stocks,Stocks,National,,,2015-12-31
road,passenger,2w,bev,01_AUS,Yearly,Stocks,Stocks,National,,,2016-12-31
road,passenger,2w,bev,01_AUS,Yearly,Stocks,Stocks,National,,,2017-12-31
road,passenger,2w,bev,01_AUS,Yearly,Stocks,Stocks,National,,,2018-12-31
road,passenger,2w,bev,01_AUS,Yearly,Stocks,Stocks,National,,,2019-12-31
road,passenger,2w,bev,01_AUS,Yearly,Stocks,Stocks,National,,,2020-12-31
road,passenger,2w,bev,01_AUS,Yearly,Stocks,Stocks,National,,,2021-12-31
road,passenger,2w,g,01_AUS,Yearly,Stocks,Stocks,National,,,2010-12-31
road,passenger,2w,g,01_AUS,Yearly,Stocks,Stocks,National,,,2011-12-31
road,passenger,2w,g,01_AUS,Yearly,Stocks,Stocks,National,,,2012-12-31
road,passenger,2w,g,01_AUS,Yearly,Stocks,Stocks,National,,,2013-12-31
road,passenger,2w,g,01_AUS,Yearly,Stocks,Stocks,National,,,2014-12-31
road,passenger,2w,g,01_AUS,Yearly,Stocks,Stocks,National,,,2015-12-31
road,passenger,2w,g,01_AUS,Yearly,Stocks,Stocks,National,,,2016-12-31
road,passenger,2w,g,01_AUS,Yearly,Stocks,Stocks,National,,,2017-12-31
road,passenger,2w,g,01_AUS,Yearly,Stocks,Stocks,National,,,2018-12-31
road,passenger,2w,g,01_AUS,Yearly,Stocks,Stocks,National,,,2019-12-31
road,passenger,2w,g,01_AUS,Yearly,Stocks,Stocks,National,,,2020-12-31
road,passenger,2w,g,01_AUS,Yearly,Stocks,Stocks,National,,,2021-12-31
road,passenger,bus,cng,01_AUS,Yearly,Stocks,Stocks,National,,,2010-12-31
road,passenger,bus,cng,01_AUS,Yearly,Stocks,Stocks,National,,,2011-12-31
road,passenger,bus,cng,01_AUS,Yearly,Stocks,Stocks,National,,,2012-12-31
road,passenger,bus,cng,01_AUS,Yearly,Stocks,Stocks,National,,,2013-12-31
road,passenger,bus,cng,01_AUS,Yearly,Stocks,Stocks,National,,,2014-12-31
road,passenger,bus,cng,01_AUS,Yearly,Stocks,Stocks,National,,,2015-12-31
road,passenger,bus,cng,01_AUS,Yearly,Stocks,Stocks,National,,,2016-12-31
road,passenger,bus,cng,01_AUS,Yearly,Stocks,Stocks,National,,,2017-12-31
road,passenger,bus,cng,01_AUS,Yearly,Stocks,Stocks,National,,,2018-12-31
road,passenger,bus,cng,01_AUS,Yearly,Stocks,Stocks,National,,,2019-12-31
road,passenger,bus,cng,01_AUS,Yearly,Stocks,Stocks,National,,,2020-12-31
road,passenger,bus,cng,01_AUS,Yearly,Stocks,Stocks,National,,,2021-12-31
road,passenger,bus,d,01_AUS,Yearly,Stocks,Stocks,National,,,2010-12-31
road,passenger,bus,d,01_AUS,Yearly,Stocks,Stocks,National,,,2011-12-31
road,passenger,bus,d,01_AUS,Yearly,Stocks,Stocks,National,,,2012-12-31
road,passenger,bus,d,01_AUS,Yearly,Stocks,Stocks,National,,,2013-12-31
road,passenger,bus,d,01_AUS,Yearly,Stocks,Stocks,National,,,2014-12-31
road,passenger,bus,d,01_AUS,Yearly,Stocks,Stocks,National,,,2015-12-31
road,passenger,bus,d,01_AUS,Yearly,Stocks,Stocks,National,,,2016-12-31
road,passenger,bus,d,01_AUS,Yearly,Stocks,Stocks,National,,,2017-12-31
road,passenger,bus,d,01_AUS,Yearly,Stocks,Stocks,National,,,2018-12-31
road,passenger,bus,d,01_AUS,Yearly,Stocks,Stocks,National,,,2019-12-31
road,passenger,bus,d,01_AUS,Yearly,Stocks,Stocks,National,,,2020-12-31
road,passenger,bus,d,01_AUS,Yearly,Stocks,Stocks,National,,,2021-12-31
road,passenger,bus,g,01_AUS,Yearly,Stocks,Stocks,National,,,2010-12-31
road,passenger,bus,g,01_AUS,Yearly,Stocks,Stocks,National,,,2011-12-31
road,passenger,bus,g,01_AUS,Yearly,Stocks,Stocks,National,,,2012-12-31
road,passenger,bus,g,01_AUS,Yearly,Stocks,Stocks,National,,,2013-12-31
road,passenger,bus,g,01_AUS,Yearly,Stocks,Stocks,National,,,2014-12-31
road,passenger,bus,g,01_AUS,Yearly,Stocks,Stocks,National,,,2015-12-31
road,passenger,bus,g,01_AUS,Yearly,Stocks,Stocks,National,,,2016-12-31
road,passenger,bus,g,01_AUS,Yearly,Stocks,Stocks,National,,,2017-12-31
road,passenger,bus,g,01_AUS,Yearly,Stocks,Stocks,National,,,2018-12-31
road,passenger,bus,g,01_AUS,Yearly,Stocks,Stocks,National,,,2019-12-31
road,passenger,bus,g,01_AUS,Yearly,Stocks,Stocks,National,,,2020-12-31
road,passenger,bus,g,01_AUS,Yearly,Stocks,Stocks,National,,,2021-12-31
road,passenger,bus,lpg,01_AUS,Yearly,Stocks,Stocks,National,,,2010-12-31
road,passenger,bus,lpg,01_AUS,Yearly,Stocks,Stocks,National,,,2011-12-31
road,passenger,bus,lpg,01_AUS,Yearly,Stocks,Stocks,National,,,2012-12-31
road,passenger,bus,lpg,01_AUS,Yearly,Stocks,Stocks,National,,,2013-12-31
road,passenger,bus,lpg,01_AUS,Yearly,Stocks,Stocks,National,,,2014-12-31
road,passenger,bus,lpg,01_AUS,Yearly,Stocks,Stocks,National,,,2015-12-31
road,passenger,bus,lpg,01_AUS,Yearly,Stocks,Stocks,National,,,2016-12-31
road,passenger,bus,lpg,01_AUS,Yearly,Stocks,Stocks,National,,,2017-12-31
road,passenger,bus,lpg,01_AUS,Yearly,Stocks,Stocks,National,,,2018-12-31
road,passenger,bus,lpg,01_AUS,Yearly,Stocks,Stocks,National,,,2019-12-31
road,passenger,bus,lpg,01_AUS,Yearly,Stocks,Stocks,National,,,2020-12-31
road,passenger,bus,lpg,01_AUS,Yearly,Stocks,Stocks,National,,,2021-12-31
road,freight,ht,d,02_BD,Yearly,Stocks,Stocks,National,,,2010-12-31
road,freight,ht,d,02_BD,Yearly,Stocks,Stocks,National,,,2011-12-31
road,freight,ht,d,02_BD,Yearly,Stocks,Stocks,National,,,2012-12-31
road,freight,ht,d,02_BD,Yearly,Stocks,Stocks,National,,,2013-12-31
road,freight,ht,d,02_BD,Yearly,Stocks,Stocks,National,,,2014-12-31
road,freight,ht,d,02_BD,Yearly,Stocks,Stocks,National,,,2015-12-31
road,freight,ht,d,02_BD,Yearly,Stocks,Stocks,National,,,2016-12-31
road,freight,ht,d,02_BD,Yearly,Stocks,Stocks,National,,,2017-12-31
road,freight,ht,d,02_BD,Yearly,Stocks,Stocks,National,,,2018-12-31
road,freight,ht,d,02_BD,Yearly,Stocks,Stocks,National,,,2019-12-31
road,freight,ht,d,02_BD,Yearly,Stocks,Stocks,National,,,2020-12-31
road,freight,ht,d,02_BD,Yearly,Stocks,Stocks,National,,,2021-12-31
road,freight,ht,g,02_BD,Yearly,Stocks,Stocks,National,,,2010-12-31
road,freight,ht,g,02_BD,Yearly,Stocks,Stocks,National,,,2011-12-31
road,freight,ht,g,02_BD,Yearly,Stocks,Stocks,National,,,2012-12-31
road,freight,ht,g,02_BD,Yearly,Stocks,Stocks,National,,,2013-12-31
road,freight,ht,g,02_BD,Yearly,Stocks,Stocks,National,,,2014-12-31
road,freight,ht,g,02_BD,Yearly,Stocks,Stocks,National,,,2015-12-31
road,freight,ht,g,02_BD,Yearly,Stocks,Stocks,National,,,2016-12-31
road,freight,ht,g,02_BD,Yearly,Stocks,Stocks,National,,,2017-12-31
road,freight,ht,g,02_BD,Yearly,Stocks,Stocks,National,,,2018-12-31
road,freight,ht,g,02_BD,Yearly,Stocks,Stocks,National,,,2019-12-31
road,freight,ht,g,02_BD,Yearly,Stocks,Stocks,National,,,2020-12-31
road,freight,ht,g,02_BD,Yearly,Stocks,Stocks,National,,,2021-12-31
road,passenger,2w,bev,02_BD,Yearly,Stocks,Stocks,National,,,2010-12-31
road,passenger,2w,bev,02_BD,Yearly,Stocks,Stocks,National,,,2011-12-31
road,passenger,2w,bev,02_BD,Yearly,Stocks,Stocks,National,,,2012-12-31
road,passenger,2w,bev,02_BD,Yearly,Stocks,Stocks,National,,,2013-12-31
road,passenger,2w,bev,02_BD,Yearly,Stocks,Stocks,National,,,2014-12-31
road,passenger,2w,bev,02_BD,Yearly,Stocks,Stocks,National,,,2015-12-31
road,passenger,2w,bev,02_BD,Yearly,Stocks,Stocks,National,,,2016-12-31
road,passenger,2w,bev,02_BD,Yearly,Stocks,Stocks,National,,,2017-12-31
road,passenger,2w,bev,02_BD,Yearly,Stocks,Stocks,National,,,2018-12-31
road,passenger,2w,bev,02_BD,Yearly,Stocks,Stocks,National,,,2019-12-31
road,passenger,2w,bev,02_BD,Yearly,Stocks,Stocks,National,,,2020-12-31
road,passenger,2w,bev,02_BD,Yearly,Stocks,Stocks,National,,,2021-12-31
road,passenger,2w,g,02_BD,Yearly,Stocks,Stocks,National,,,2010-12-31
road,passenger,2w,g,02_BD,Yearly,Stocks,Stocks,National,,,2011-12-31
road,passenger,2w,g,02_BD,Yearly,Stocks,Stocks,National,,,2012-12-31
road,passenger,2w,g,02_BD,Yearly,Stocks,Stocks,National,,,2013-12-31
road,passenger,2w,g,02_BD,Yearly,Stocks,Stocks,National,,,2014-12-31
road,passenger,2w,g,02_BD,Yearly,Stocks,Stocks,National,,,2015-12-31
road,passenger,2w,g,02_BD,Yearly,Stocks,Stocks,National,,,2016-12-31
road,passenger,2w,g,02_BD,Yearly,Stocks,Stocks,National,,,2017-12-31
road,passenger,2w,g,02_BD,Yearly,Stocks,Stocks,National,,,2018-12-31
road,passenger,2w,g,02_BD,Yearly,Stocks,Stocks,National,,,2019-12-31
road,passenger,2w,g,02_BD,Yearly,Stocks,Stocks,National,,,2020-12-31
road,passenger,2w,g,02_BD,Yearly,Stocks,Stocks,National,,,2021-12-31
road,passenger,bus,d,02_BD,Yearly,Stocks,Stocks,National,,,2010-12-31
road,passenger,bus,d,02_BD,Yearly,Stocks,Stocks,National,,,2011-12-31
road,passenger,bus,d,02_BD,Yearly,Stocks,Stocks,National,,,2012-12-31
road,passenger,bus,d,02_BD,Yearly,Stocks,Stocks,National,,,2013-12-31
road,passenger,bus,d,02_BD,Yearly,Stocks,Stocks,National,,,2014-12-31
road,passenger,bus,d,02_BD,Yearly,Stocks,Stocks,National,,,2015-12-31
road,passenger,bus,d,02_BD,Yearly,Stocks,Stocks,National,,,2016-12-31
road,passenger,bus,d,02_BD,Yearly,Stocks,Stocks,National,,,2017-12-31
road,passenger,bus,d,02_BD,Yearly,Stocks,Stocks,National,,,2018-12-31
road,passenger,bus,d,02_BD,Yearly,Stocks,Stocks,National,,,2019-12-31
road,passenger,bus,d,02_BD,Yearly,Stocks,Stocks,National,,,2020-12-31
road,passenger,bus,d,02_BD,Yearly,Stocks,Stocks,National,,,2021-12-31
road,passenger,bus,g,02_BD,Yearly,Stocks,Stocks,National,,,2010-12-31
road,passenger,bus,g,02_BD,Yearly,Stocks,Stocks,National,,,2011-12-31
road,passenger,bus,g,02_BD,Yearly,Stocks,Stocks,National,,,2012-12-31
road,passenger,bus,g,02_BD,Yearly,Stocks,Stocks,National,,,2013-12-31
road,passenger,bus,g,02_BD,Yearly,Stocks,Stocks,National,,,2014-12-31
road,passenger,bus,g,02_BD,Yearly,Stocks,Stocks,National,,,2015-12-31
road,passenger,bus,g,02_BD,Yearly,Stocks,Stocks,National,,,2016-12-31
road,passenger,bus,g,02_BD,Yearly,Stocks,Stocks,National,,,2017-12-31
road,passenger,bus,g,02_BD,Yearly,Stocks,Stocks,National,,,2018-12-31
road,passenger,bus,g,02_BD,Yearly,Stocks,Stocks,National,,,2019-12-31
road,passenger,bus,g,02_BD,Yearly,Stocks,Stocks,National,,,2020-12-31
road,passenger,bus,g,02_BD,Yearly,Stocks,Stocks,National,,,2021-12-31
road,freight,ht,cng,03_CDA,Yearly,Stocks,Stocks,National,,,2010-12-31
road,freight,ht,cng,03_CDA,Yearly,Stocks,Stocks,National,,,2011-12-31
road,freight,ht,cng,03_CDA,Yearly,Stocks,Stocks,National,,,2012-12-31
road,freight,ht,cng,03_CDA,Yearly,Stocks,Stocks,National,,,2013-12-31
road,freight,ht,cng,03_CDA,Yearly,Stocks,Stocks,National,,,2014-12-31
road,freight,ht,cng,03_CDA,Yearly,Stocks,Stocks,National,,,2015-12-31
road,freight,ht,cng,03_CDA,Yearly,Stocks,Stocks,National,,,2016-12-31
road,freight,ht,cng,03_CDA,Yearly,Stocks,Stocks,National,,,2017-12-31
road,freight,ht,cng,03_CDA,Yearly,Stocks,Stocks,National,,,2018-12-31
road,freight,ht,cng,03_CDA,Yearly,Stocks,Stocks,National,,,2019-12-31
road,freight,ht,cng,03_CDA,Yearly,Stocks,Stocks,National,,,2020-12-31
road,freight,ht,cng,03_CDA,Yearly,Stocks,Stocks,National,,,2021-12-31
road,freight,ht,d,03_CDA,Yearly,Stocks,Stocks,National,,,2010-12-31
road,freight,ht,d,03_CDA,Yearly,Stocks,Stocks,National,,,2011-12-31
road,freight,ht,d,03_CDA,Yearly,Stocks,Stocks,National,,,2012-12-31
road,freight,ht,d,03_CDA,Yearly,Stocks,Stocks,National,,,2013-12-31
road,freight,ht,d,03_CDA,Yearly,Stocks,Stocks,National,,,2014-12-31
road,freight,ht,d,03_CDA,Yearly,Stocks,Stocks,National,,,2015-12-31
road,freight,ht,d,03_CDA,Yearly,Stocks,Stocks,National,,,2016-12-31
road,freight,ht,d,03_CDA,Yearly,Stocks,Stocks,National,,,2017-12-31
road,freight,ht,d,03_CDA,Yearly,Stocks,Stocks,National,,,2018-12-31
road,freight,ht,d,03_CDA,Yearly,Stocks,Stocks,National,,,2019-12-31
road,freight,ht,d,03_CDA,Yearly,Stocks,Stocks,National,,,2020-12-31
road,freight,ht,d,03_CDA,Yearly,Stocks,Stocks,National,,,2021-12-31
road,freight,ht,g,03_CDA,Yearly,Stocks,Stocks,National,,,2010-12-31
road,freight,ht,g,03_CDA,Yearly,Stocks,Stocks,National,,,2011-12-31
road,freight,ht,g,03_CDA,Yearly,Stocks,Stocks,National,,,2012-12-31
road,freight,ht,g,03_CDA,Yearly,Stocks,Stocks,National,,,2013-12-31
road,freight,ht,g,03_CDA,Yearly,Stocks,Stocks,National,,,2014-12-31
road,freight,ht,g,03_CDA,Yearly,Stocks,Stocks,National,,,2015-12-31
road,freight,ht,g,03_CDA,Yearly,Stocks,Stocks,National,,,2016-12-31
road,freight,ht,g,03_CDA,Yearly,Stocks,Stocks,National,,,2017-12-31
road,freight,ht,g,03_CDA,Yearly,Stocks,Stocks,National,,,2018-12-31
road,freight,ht,g,03_CDA,Yearly,Stocks,Stocks,National,,,2019-12-31
road,freight,ht,g,03_CDA,Yearly,Stocks,Stocks,National,,,2020-12-31
road,freight,ht,g,03_CDA,Yearly,Stocks,Stocks,National,,,2021-12-31
road,freight,ht,lpg,03_CDA,Yearly,Stocks,Stocks,National,,,2010-12-31
road,freight,ht,lpg,03_CDA,Yearly,Stocks,Stocks,National,,,2011-12-31
road,freight,ht,lpg,03_CDA,Yearly,Stocks,Stocks,National,,,2012-12-31
road,freight,ht,lpg,03_CDA,Yearly,Stocks,Stocks,National,,,2013-12-31
road,freight,ht,lpg,03_CDA,Yearly,Stocks,Stocks,National,,,2014-12-31
road,freight,ht,lpg,03_CDA,Yearly,Stocks,Stocks,National,,,2015-12-31
road,freight,ht,lpg,03_CDA,Yearly,Stocks,Stocks,National,,,2016-12-31
road,freight,ht,lpg,03_CDA,Yearly,Stocks,Stocks,National,,,2017-12-31
road,freight,ht,lpg,03_CDA,Yearly,Stocks,Stocks,National,,,2018-12-31
road,freight,ht,lpg,03_CDA,Yearly,Stocks,Stocks,National,,,2019-12-31
road,freight,ht,lpg,03_CDA,Yearly,Stocks,Stocks,National,,,2020-12-31
road,freight,ht,lpg,03_CDA,Yearly,Stocks,Stocks,National,,,2021-12-31
road,passenger,2w,g,03_CDA,Yearly,Stocks,Stocks,National,,,2010-12-31
road,passenger,2w,g,03_CDA,Yearly,Stocks,Stocks,National,,,2011-12-31
road,passenger,2w,g,03_CDA,Yearly,Stocks,Stocks,National,,,2012-12-31
road,passenger,2w,g,03_CDA,Yearly,Stocks,Stocks,National,,,2013-12-31
road,passenger,2w,g,03_CDA,Yearly,Stocks,Stocks,National,,,2014-12-31
road,passenger,2w,g,03_CDA,Yearly,Stocks,Stocks,National,,,2015-12-31
road,passenger,2w,g,03_CDA,Yearly,Stocks,Stocks,National,,,2016-12-31
road,passenger,2w,g,03_CDA,Yearly,Stocks,Stocks,National,,,2017-12-31
road,passenger,2w,g,03_CDA,Yearly,Stocks,Stocks,National,,,2018-12-31
road,passenger,2w,g,03_CDA,Yearly,Stocks,Stocks,National,,,2019-12-31
road,passenger,2w,g,03_CDA,Yearly,Stocks,Stocks,National,,,2020-12-31
road,passenger,2w,g,03_CDA,Yearly,Stocks,Stocks,National,,,2021-12-31
road,passenger,bus,bev,03_CDA,Yearly,Stocks,Stocks,National,,,2010-12-31
road,passenger,bus,bev,03_CDA,Yearly,Stocks,Stocks,National,,,2011-12-31
road,passenger,bus,bev,03_CDA,Yearly,Stocks,Stocks,National,,,2012-12-31
road,passenger,bus,bev,03_CDA,Yearly,Stocks,Stocks,National,,,2013-12-31
road,passenger,bus,bev,03_CDA,Yearly,Stocks,Stocks,National,,,2014-12-31
road,passenger,bus,bev,03_CDA,Yearly,Stocks,Stocks,National,,,2015-12-31
road,passenger,bus,bev,03_CDA,Yearly,Stocks,Stocks,National,,,2016-12-31
road,passenger,bus,bev,03_CDA,Yearly,Stocks,Stocks,National,,,2017-12-31
road,passenger,bus,bev,03_CDA,Yearly,Stocks,Stocks,National,,,2018-12-31
road,passenger,bus,bev,03_CDA,Yearly,Stocks,Stocks,National,,,2019-12-31
road,passenger,bus,bev,03_CDA,Yearly,Stocks,Stocks,National,,,2020-12-31
road,passenger,bus,bev,03_CDA,Yearly,Stocks,Stocks,National,,,2021-12-31
road,passenger,bus,cng,03_CDA,Yearly,Stocks,Stocks,National,,,2010-12-31
road,passenger,bus,cng,03_CDA,Yearly,Stocks,Stocks,National,,,2011-12-31
road,passenger,bus,cng,03_CDA,Yearly,Stocks,Stocks,National,,,2012-12-31
road,passenger,bus,cng,03_CDA,Yearly,Stocks,Stocks,National,,,2013-12-31
road,passenger,bus,cng,03_CDA,Yearly,Stocks,Stocks,National,,,2014-12-31
road,passenger,bus,cng,03_CDA,Yearly,Stocks,Stocks,National,,,2015-12-31
road,passenger,bus,cng,03_CDA,Yearly,Stocks,Stocks,National,,,2016-12-31
road,passenger,bus,cng,03_CDA,Yearly,Stocks,Stocks,National,,,2017-12-31
road,passenger,bus,cng,03_CDA,Yearly,Stocks,Stocks,National,,,2018-12-31
road,passenger,bus,cng,03_CDA,Yearly,Stocks,Stocks,National,,,2019-12-31
road,passenger,bus,cng,03_CDA,Yearly,Stocks,Stocks,National,,,2020-12-31
road,passenger,bus,cng,03_CDA,Yearly,Stocks,Stocks,National,,,2021-12-31
road,passenger,bus,d,03_CDA,Yearly,Stocks,Stocks,National,,,2010-12-31
road,passenger,bus,d,03_CDA,Yearly,Stocks,Stocks,National,,,2011-12-31
road,passenger,bus,d,03_CDA,Yearly,Stocks,Stocks,National,,,2012-12-31
road,passenger,bus,d,03_CDA,Yearly,Stocks,Stocks,National,,,2013-12-31
road,passenger,bus,d,03_CDA,Yearly,Stocks,Stocks,National,,,2014-12-31
road,passenger,bus,d,03_CDA,Yearly,Stocks,Stocks,National,,,2015-12-31
road,passenger,bus,d,03_CDA,Yearly,Stocks,Stocks,National,,,2016-12-31
road,passenger,bus,d,03_CDA,Yearly,Stocks,Stocks,National,,,2017-12-31
road,passenger,bus,d,03_CDA,Yearly,Stocks,Stocks,National,,,2018-12-31
road,passenger,bus,d,03_CDA,Yearly,Stocks,Stocks,National,,,2019-12-31
road,passenger,bus,d,03_CDA,Yearly,Stocks,Stocks,National,,,2020-12-31
road,passenger,bus,d,03_CDA,Yearly,Stocks,Stocks,National,,,2021-12-31
road,passenger,bus,g,03_CDA,Yearly,Stocks,Stocks,National,,,2010-12-31
road,passenger,bus,g,03_CDA,Yearly,Stocks,Stocks,National,,,2011-12-31
road,passenger,bus,g,03_CDA,Yearly,Stocks,Stocks,National,,,2012-12-31
road,passenger,bus,g,03_CDA,Yearly,Stocks,Stocks,National,,,2013-12-31
road,passenger,bus,g,03_CDA,Yearly,Stocks,Stocks,National,,,2014-12-31
road,passenger,bus,g,03_CDA,Yearly,Stocks,Stocks,National,,,2015-12-31
road,passenger,bus,g,03_CDA,Yearly,Stocks,Stocks,National,,,2016-12-31
road,passenger,bus,g,03_CDA,Yearly,Stocks,Stocks,National,,,2017-12-31
road,passenger,bus,g,03_CDA,Yearly,Stocks,Stocks,National,,,2018-12-31
road,passenger,bus,g,03_CDA,Yearly,Stocks,Stocks,National,,,2019-12-31
road,passenger,bus,g,03_CDA,Yearly,Stocks,Stocks,National,,,2020-12-31
road,passenger,bus,g,03_CDA,Yearly,Stocks,Stocks,National,,,2021-12-31
road,passenger,bus,lpg,03_CDA,Yearly,Stocks,Stocks,National,,,2010-12-31
road,passenger,bus,lpg,03_CDA,Yearly,Stocks,Stocks,National,,,2011-12-31
road,passenger,bus,lpg,03_CDA,Yearly,Stocks,Stocks,National,,,2012-12-31
road,passenger,bus,lpg,03_CDA,Yearly,Stocks,Stocks,National,,,2013-12-31
road,passenger,bus,lpg,03_CDA,Yearly,Stocks,Stocks,National,,,2014-12-31
road,passenger,bus,lpg,03_CDA,Yearly,Stocks,Stocks,National,,,2015-12-31
road,passenger,bus,lpg,03_CDA,Yearly,Stocks,Stocks,National,,,2016-12-31
road,passenger,bus,lpg,03_CDA,Yearly,Stocks,Stocks,National,,,2017-12-31
road,passenger,bus,lpg,03_CDA,Yearly,Stocks,Stocks,National,,,2018-12-31
road,passenger,bus,lpg,03_CDA,Yearly,Stocks,Stocks,National,,,2019-12-31
road,passenger,bus,lpg,03_CDA,Yearly,Stocks,Stocks,National,,,2020-12-31
road,passenger,bus,lpg,03_CDA,Yearly,Stocks,Stocks,National,,,2021-12-31
road,freight,ht,d,04_CHL,Yearly,Stocks,Stocks,National,,,2010-12-31
road,freight,ht,d,04_CHL,Yearly,Stocks,Stocks,National,,,2011-12-31
road,freight,ht,d,04_CHL,Yearly,Stocks,Stocks,National,,,2012-12-31
road,freight,ht,d,04_CHL,Yearly,Stocks,Stocks,National,,,2013-12-31
road,freight,ht,d,04_CHL,Yearly,Stocks,Stocks,National,,,2014-12-31
road,freight,ht,d,04_CHL,Yearly,Stocks,Stocks,National,,,2015-12-31
road,freight,ht,d,04_CHL,Yearly,Stocks,Stocks,National,,,2016-12-31
road,freight,ht,d,04_CHL,Yearly,Stocks,Stocks,National,,,2017-12-31
road,freight,ht,d,04_CHL,Yearly,Stocks,Stocks,National,,,2018-12-31
road,freight,ht,d,04_CHL,Yearly,Stocks,Stocks,National,,,2019-12-31
road,freight,ht,d,04_CHL,Yearly,Stocks,Stocks,National,,,2020-12-31
road,freight,ht,d,04_CHL,Yearly,Stocks,Stocks,National,,,2021-12-31
