Medium,Transport Type,Vehicle Type,Drive,Date,Economy,Frequency,Measure,Unit
road,passenger,2w,bev,2017,01_AUS,Yearly,passenger_km,passenger_km
road,passenger,2w,g,2017,01_AUS,Yearly,passenger_km,passenger_km
road,passenger,bus,bev,2017,01_AUS,Yearly,passenger_km,passenger_km
road,passenger,bus,cng,2017,01_AUS,Yearly,passenger_km,passenger_km
road,passenger,bus,d,2017,01_AUS,Yearly,passenger_km,passenger_km
road,passenger,bus,fcev,2017,01_AUS,Yearly,passenger_km,passenger_km
road,passenger,bus,g,2017,01_AUS,Yearly,passenger_km,passenger_km
road,passenger,bus,lpg,2017,01_AUS,Yearly,passenger_km,passenger_km
road,passenger,ldv,bev,2017,01_AUS,Yearly,passenger_km,passenger_km
road,passenger,ldv,cng,2017,01_AUS,Yearly,passenger_km,passenger_km
road,passenger,ldv,d,2017,01_AUS,Yearly,passenger_km,passenger_km
road,passenger,ldv,fcev,2017,01_AUS,Yearly,passenger_km,passenger_km
road,passenger,ldv,g,2017,01_AUS,Yearly,passenger_km,passenger_km
road,passenger,ldv,lpg,2017,01_AUS,Yearly,passenger_km,passenger_km
road,passenger,ldv,phevg,2017,01_AUS,Yearly,passenger_km,passenger_km
road,passenger,bus,phevd,2017,01_AUS,Yearly,passenger_km,passenger_km
road,passenger,2w,bev,2017,02_BD,Yearly,passenger_km,passenger_km
road,passenger,2w,g,2017,02_BD,Yearly,passenger_km,passenger_km
road,passenger,bus,bev,2017,02_BD,Yearly,passenger_km,passenger_km
road,passenger,bus,cng,2017,02_BD,Yearly,passenger_km,passenger_km
road,passenger,bus,d,2017,02_BD,Yearly,passenger_km,passenger_km
road,passenger,bus,fcev,2017,02_BD,Yearly,passenger_km,passenger_km
road,passenger,bus,g,2017,02_BD,Yearly,passenger_km,passenger_km
road,passenger,bus,lpg,2017,02_BD,Yearly,passenger_km,passenger_km
road,passenger,ldv,bev,2017,02_BD,Yearly,passenger_km,passenger_km
road,passenger,ldv,cng,2017,02_BD,Yearly,passenger_km,passenger_km
road,passenger,ldv,d,2017,02_BD,Yearly,passenger_km,passenger_km
road,passenger,ldv,fcev,2017,02_BD,Yearly,passenger_km,passenger_km
road,passenger,ldv,g,2017,02_BD,Yearly,passenger_km,passenger_km
road,passenger,ldv,lpg,2017,02_BD,Yearly,passenger_km,passenger_km
road,passenger,ldv,phevg,2017,02_BD,Yearly,passenger_km,passenger_km
road,passenger,bus,phevd,2017,02_BD,Yearly,passenger_km,passenger_km
road,passenger,2w,bev,2017,03_CDA,Yearly,passenger_km,passenger_km
road,passenger,2w,g,2017,03_CDA,Yearly,passenger_km,passenger_km
road,passenger,bus,bev,2017,03_CDA,Yearly,passenger_km,passenger_km
road,passenger,bus,cng,2017,03_CDA,Yearly,passenger_km,passenger_km
road,passenger,bus,d,2017,03_CDA,Yearly,passenger_km,passenger_km
road,passenger,bus,fcev,2017,03_CDA,Yearly,passenger_km,passenger_km
road,passenger,bus,g,2017,03_CDA,Yearly,passenger_km,passenger_km
road,passenger,bus,lpg,2017,03_CDA,Yearly,passenger_km,passenger_km
road,passenger,ldv,bev,2017,03_CDA,Yearly,passenger_km,passenger_km
road,passenger,ldv,cng,2017,03_CDA,Yearly,passenger_km,passenger_km
road,passenger,ldv,d,2017,03_CDA,Yearly,passenger_km,passenger_km
road,passenger,ldv,fcev,2017,03_CDA,Yearly,passenger_km,passenger_km
road,passenger,ldv,g,2017,03_CDA,Yearly,passenger_km,passenger_km
road,passenger,ldv,lpg,2017,03_CDA,Yearly,passenger_km,passenger_km
road,passenger,ldv,phevg,2017,03_CDA,Yearly,passenger_km,passenger_km
road,passenger,bus,phevd,2017,03_CDA,Yearly,passenger_km,passenger_km
road,passenger,2w,bev,2017,04_CHL,Yearly,passenger_km,passenger_km
road,passenger,2w,g,2017,04_CHL,Yearly,passenger_km,passenger_km
