Economy,Year,Drive,Vehicle Type,Transport Type,Value,Scenario
01_AUS,2018,BEV,HT,freight,0.29224060302810395,Carbon Neutral
01_AUS,2019,BEV,HT,freight,0.29311996291737,Carbon Neutral
01_AUS,2020,BEV,HT,freight,0.2940019688712091,Carbon Neutral
01_AUS,2021,BEV,HT,freight,0.2944436343531238,Carbon Neutral
01_AUS,2022,BEV,HT,freight,0.29488596324254845,Carbon Neutral
01_AUS,2023,BEV,HT,freight,0.2953289566680579,Carbon Neutral
01_AUS,2024,BEV,HT,freight,0.29577261558785833,Carbon Neutral
01_AUS,2025,BEV,HT,freight,0.2962169410504246,Carbon Neutral
01_AUS,2026,BEV,HT,freight,0.29666193393181384,Carbon Neutral
01_AUS,2027,BEV,HT,freight,0.29710759528613745,Carbon Neutral
01_AUS,2028,BEV,HT,freight,0.29755392617115073,Carbon Neutral
01_AUS,2029,BEV,HT,freight,0.29800092755947516,Carbon Neutral
01_AUS,2030,BEV,HT,freight,0.29844860051543426,Carbon Neutral
01_AUS,2031,BEV,HT,freight,0.29844860051543426,Carbon Neutral
01_AUS,2032,BEV,HT,freight,0.29844860051543426,Carbon Neutral
01_AUS,2033,BEV,HT,freight,0.29844860051543426,Carbon Neutral
01_AUS,2034,BEV,HT,freight,0.29844860051543426,Carbon Neutral
01_AUS,2035,BEV,HT,freight,0.29844860051543426,Carbon Neutral
01_AUS,2036,BEV,HT,freight,0.29844860051543426,Carbon Neutral
01_AUS,2037,BEV,HT,freight,0.29844860051543426,Carbon Neutral
01_AUS,2038,BEV,HT,freight,0.29844860051543426,Carbon Neutral
01_AUS,2039,BEV,HT,freight,0.29844860051543426,Carbon Neutral
01_AUS,2040,BEV,HT,freight,0.29844860051543426,Carbon Neutral
01_AUS,2041,BEV,HT,freight,0.29844860051543426,Carbon Neutral
01_AUS,2042,BEV,HT,freight,0.29844860051543426,Carbon Neutral
01_AUS,2043,BEV,HT,freight,0.29844860051543426,Carbon Neutral
01_AUS,2044,BEV,HT,freight,0.29844860051543426,Carbon Neutral
01_AUS,2045,BEV,HT,freight,0.29844860051543426,Carbon Neutral
01_AUS,2046,BEV,HT,freight,0.29844860051543426,Carbon Neutral
01_AUS,2047,BEV,HT,freight,0.29844860051543426,Carbon Neutral
01_AUS,2048,BEV,HT,freight,0.29844860051543426,Carbon Neutral
01_AUS,2049,BEV,HT,freight,0.29844860051543426,Carbon Neutral
01_AUS,2050,BEV,HT,freight,0.29844860051543426,Carbon Neutral
01_AUS,2018,CNG,HT,freight,0.07880754618537719,Carbon Neutral
01_AUS,2019,CNG,HT,freight,0.07960358199465907,Carbon Neutral
01_AUS,2020,CNG,HT,freight,0.0804076585953341,Carbon Neutral
01_AUS,2021,CNG,HT,freight,0.08081171717209756,Carbon Neutral
01_AUS,2022,CNG,HT,freight,0.08121780616518422,Carbon Neutral
01_AUS,2023,CNG,HT,freight,0.08162593587971904,Carbon Neutral
01_AUS,2024,CNG,HT,freight,0.08203611645933723,Carbon Neutral
01_AUS,2025,CNG,HT,freight,0.08244835821524196,Carbon Neutral
01_AUS,2026,CNG,HT,freight,0.08286267156349479,Carbon Neutral
01_AUS,2027,CNG,HT,freight,0.08327906695832273,Carbon Neutral
01_AUS,2028,CNG,HT,freight,0.08369755468119436,Carbon Neutral
01_AUS,2029,CNG,HT,freight,0.08411814539549899,Carbon Neutral
01_AUS,2030,CNG,HT,freight,0.0845408496630149,Carbon Neutral
01_AUS,2031,CNG,HT,freight,0.08496567808035317,Carbon Neutral
01_AUS,2032,CNG,HT,freight,0.08539264127803682,Carbon Neutral
01_AUS,2033,CNG,HT,freight,0.08582174999319218,Carbon Neutral
01_AUS,2034,CNG,HT,freight,0.08625301507225466,Carbon Neutral
01_AUS,2035,CNG,HT,freight,0.086686447323452,Carbon Neutral
01_AUS,2036,CNG,HT,freight,0.08712205758797976,Carbon Neutral
01_AUS,2037,CNG,HT,freight,0.08755985689227497,Carbon Neutral
01_AUS,2038,CNG,HT,freight,0.08799985622231492,Carbon Neutral
01_AUS,2039,CNG,HT,freight,0.08844206651871807,Carbon Neutral
01_AUS,2040,CNG,HT,freight,0.08888649898771432,Carbon Neutral
01_AUS,2041,CNG,HT,freight,0.08910927219830841,Carbon Neutral
01_AUS,2042,CNG,HT,freight,0.0893326036932128,Carbon Neutral
01_AUS,2043,CNG,HT,freight,0.08955649490487398,Carbon Neutral
01_AUS,2044,CNG,HT,freight,0.08978094727345964,Carbon Neutral
01_AUS,2045,CNG,HT,freight,0.09000596224695592,Carbon Neutral
01_AUS,2046,CNG,HT,freight,0.09023154103701386,Carbon Neutral
01_AUS,2047,CNG,HT,freight,0.09045768526752723,Carbon Neutral
01_AUS,2048,CNG,HT,freight,0.09068439624480922,Carbon Neutral
01_AUS,2049,CNG,HT,freight,0.09091167544537684,Carbon Neutral
01_AUS,2050,CNG,HT,freight,0.09113952427096843,Carbon Neutral
01_AUS,2018,D,HT,freight,0.11383308292037685,Carbon Neutral
01_AUS,2019,D,HT,freight,0.11498291204276785,Carbon Neutral
