Economy,Scenario,Transport Type,Year,Vehicle Type,Drive,Value
03_CDA,Carbon Neutral,passenger,2017,2w,bev,0.1253330109692283
03_CDA,Carbon Neutral,passenger,2017,2w,g,0.02419134420381686
03_CDA,Carbon Neutral,passenger,2017,bus,bev,5.3610852851521694e-05
03_CDA,Carbon Neutral,passenger,2017,bus,cng,1.259315335438426e-05
03_CDA,Carbon Neutral,freight,2017,lt,d,0.08891144813260614
03_CDA,Carbon Neutral,passenger,2017,bus,lpg,0.0
03_CDA,Carbon Neutral,passenger,2017,lt,bev,0.02435943024296455
03_CDA,Reference,freight,2017,ht,lpg,0.031202453312452954
02_BD,Reference,passenger,2017,lv,phevg,0.021363898420557415
03_CDA,Carbon Neutral,passenger,2017,lt,cng,0.03495282170210971
03_CDA,Carbon Neutral,passenger,2017,lt,d,0.067755961240693
03_CDA,Carbon Neutral,passenger,2017,lt,fcev,0.0
03_CDA,Carbon Neutral,passenger,2017,lt,g,0.3614926527775335
03_CDA,Carbon Neutral,passenger,2017,lt,lpg,0.016318921762594276
03_CDA,Carbon Neutral,passenger,2017,lt,phevg,0.04229066296286299
03_CDA,Carbon Neutral,passenger,2017,lv,bev,0.0011956877773073378
03_CDA,Carbon Neutral,passenger,2017,lv,cng,0.00047758063261409193
03_CDA,Carbon Neutral,passenger,2017,lv,d,0.0006174243187463838
03_CDA,Carbon Neutral,passenger,2017,lv,fcev,1.0797138136168679e-05
03_CDA,Carbon Neutral,passenger,2017,lv,g,0.047360690939550185
03_CDA,Carbon Neutral,passenger,2017,lv,lpg,0.00047066772807094747
03_CDA,Carbon Neutral,passenger,2017,lv,phevg,0.0009893789465879135
03_CDA,Carbon Neutral,freight,2017,ht,phevd,0.005366145082647279
03_CDA,Carbon Neutral,passenger,2017,bus,phevd,0.012340996332127112
03_CDA,Reference,freight,2017,ht,bev,0.004036055921792774
03_CDA,Reference,freight,2017,ht,cng,0.09116824226313171
03_CDA,Reference,freight,2017,ht,d,0.29117299726427875
03_CDA,Reference,freight,2017,ht,fcev,0.0
03_CDA,Reference,freight,2017,ht,g,0.10656516501255327
02_BD,Carbon Neutral,passenger,2017,lt,cng,0.0
03_CDA,Reference,freight,2017,lt,bev,0.03510241082634864
03_CDA,Reference,freight,2017,lt,cng,0.04874710428009768
03_CDA,Reference,freight,2017,lt,d,0.08891144813260614
03_CDA,Reference,passenger,2017,bus,lpg,0.0
03_CDA,Reference,freight,2017,lt,lpg,0.0231466074380814
03_CDA,Reference,freight,2017,lt,phevg,0.05808213755734637
03_CDA,Reference,passenger,2017,2w,bev,0.1253330109692283
03_CDA,Reference,passenger,2017,2w,g,0.02419134420381686
03_CDA,Reference,passenger,2017,bus,bev,5.3610852851521694e-05
03_CDA,Reference,passenger,2017,bus,cng,1.259315335438426e-05
03_CDA,Reference,passenger,2017,bus,d,0.23975813590415462
03_CDA,Reference,passenger,2017,bus,fcev,0.0
03_CDA,Reference,passenger,2017,lv,g,0.047360690939550185
03_CDA,Reference,passenger,2017,bus,g,1.7630414696138027e-05
03_CDA,Reference,passenger,2017,lv,fcev,1.0797138136168679e-05
03_CDA,Reference,passenger,2017,lt,cng,0.03495282170210971
03_CDA,Reference,passenger,2017,lt,d,0.067755961240693
03_CDA,Reference,passenger,2017,lt,fcev,0.0
03_CDA,Reference,passenger,2017,lt,g,0.3614926527775335
03_CDA,Reference,passenger,2017,lt,lpg,0.016318921762594276
03_CDA,Reference,passenger,2017,lt,phevg,0.04229066296286299
03_CDA,Reference,passenger,2017,lv,bev,0.0011956877773073378
03_CDA,Reference,passenger,2017,lv,cng,0.00047758063261409193
03_CDA,Reference,passenger,2017,lt,bev,0.02435943024296455
03_CDA,Reference,passenger,2017,lv,d,0.0006174243187463838
03_CDA,Reference,passenger,2017,lv,lpg,0.00047066772807094747
04_CHL,Carbon Neutral,passenger,2017,bus,fcev,0.0
03_CDA,Reference,freight,2017,ht,phevd,0.005366145082647279
03_CDA,Reference,passenger,2017,bus,phevd,0.012340996332127112
04_CHL,Carbon Neutral,freight,2017,ht,bev,0.5
04_CHL,Carbon Neutral,freight,2017,ht,cng,0.0
04_CHL,Carbon Neutral,freight,2017,ht,d,0.4950519544779812
04_CHL,Carbon Neutral,freight,2017,ht,fcev,0.0
04_CHL,Carbon Neutral,freight,2017,ht,g,0.004948045522018808
04_CHL,Carbon Neutral,freight,2017,ht,lpg,0.0
04_CHL,Carbon Neutral,freight,2017,lt,bev,0.0
03_CDA,Reference,passenger,2017,lv,phevg,0.0009893789465879135
04_CHL,Carbon Neutral,freight,2017,lt,cng,0.0
04_CHL,Carbon Neutral,freight,2017,lt,fcev,0.0
04_CHL,Carbon Neutral,freight,2017,lt,g,0.0
04_CHL,Carbon Neutral,freight,2017,lt,lpg,0.0
04_CHL,Carbon Neutral,freight,2017,lt,phevg,0.0
04_CHL,Carbon Neutral,passenger,2017,2w,bev,0.0005098207907686978
04_CHL,Carbon Neutral,passenger,2017,2w,g,0.09511666481453372
04_CHL,Carbon Neutral,passenger,2017,bus,bev,5.286308548415216e-05
04_CHL,Carbon Neutral,passenger,2017,bus,cng,0.0
04_CHL,Carbon Neutral,passenger,2017,bus,d,0.008425940043282922
04_CHL,Carbon Neutral,freight,2017,lt,d,0.0
04_CHL,Carbon Neutral,passenger,2017,bus,g,0.0002915263010308971
04_CHL,Carbon Neutral,passenger,2017,bus,lpg,0.0
04_CHL,Carbon Neutral,passenger,2017,lt,bev,0.0
04_CHL,Carbon Neutral,passenger,2017,lt,d,0.0
04_CHL,Carbon Neutral,passenger,2017,lt,fcev,0.0
04_CHL,Carbon Neutral,passenger,2017,lt,g,0.0
04_CHL,Carbon Neutral,passenger,2017,lt,lpg,0.0
04_CHL,Carbon Neutral,passenger,2017,lt,phevg,0.0
04_CHL,Carbon Neutral,passenger,2017,lv,bev,0.0026505114146523727
04_CHL,Carbon Neutral,passenger,2017,lv,cng,0.0
04_CHL,Carbon Neutral,passenger,2017,lv,d,0.2510908564196702
04_CHL,Carbon Neutral,passenger,2017,lv,fcev,0.0
04_CHL,Carbon Neutral,passenger,2017,lv,g,0.5952841804152085
04_CHL,Carbon Neutral,passenger,2017,lv,lpg,0.0
04_CHL,Carbon Neutral,passenger,2017,lv,phevg,0.046577636715368576
04_CHL,Carbon Neutral,freight,2017,ht,phevd,0.0
04_CHL,Carbon Neutral,passenger,2017,bus,phevd,0.0
