Economy,Scenario,Year,Vehicle Type,Drive,Drive_share,Transport Type,V_sum,Value
01_AUS,Carbon Neutral,2024,lt,lpg,0.03276517550997584,passenger,0.2275089845300643,0.007454371808223935
01_AUS,Carbon Neutral,2024,lt,phevg,0.3456290667066052,passenger,0.2275089845300643,0.07863371799049361
01_AUS,Carbon Neutral,2024,lv,bev,0.15242818918965093,passenger,0.4817617550549158,0.07343407194384897
01_AUS,Carbon Neutral,2024,lv,cng,0.0,passenger,0.4817617550549158,0.0
01_AUS,Carbon Neutral,2024,lv,d,0.0008873987393584358,passenger,0.4817617550549158,0.0004275147741068398
01_AUS,Carbon Neutral,2024,lv,fcev,7.156418950561713e-07,passenger,0.4817617550549158,3.4476889535308695e-07
01_AUS,Carbon Neutral,2024,lv,g,0.4660170179010368,passenger,0.4817617550549158,0.22450917642946158
01_AUS,Carbon Neutral,2024,lv,lpg,0.002406330983970448,passenger,0.4817617550549158,0.0011592782380806254
01_AUS,Carbon Neutral,2024,lv,phevg,0.37826034754408844,passenger,0.4817617550549158,0.18223136890052247
01_AUS,Carbon Neutral,2025,2w,bev,0.8973757025640721,passenger,0.2296043827577733,0.20604139428904694
01_AUS,Carbon Neutral,2025,2w,g,0.10262429743592795,passenger,0.2296043827577733,0.023562988468726374
01_AUS,Carbon Neutral,2025,bus,bev,0.15315326172775912,passenger,0.07551526850315347,0.011565409681505469
01_AUS,Carbon Neutral,2025,bus,cng,0.004598353248690289,passenger,0.07551526850315347,0.00034724588024719527
01_AUS,Carbon Neutral,2025,bus,d,0.5009180293713628,passenger,0.07551526850315347,0.03782695948604898
01_AUS,Carbon Neutral,2025,bus,fcev,0.0,passenger,0.07551526850315347,0.0
01_AUS,Carbon Neutral,2025,bus,g,0.0,passenger,0.07551526850315347,0.0
01_AUS,Carbon Neutral,2025,bus,lpg,0.0,passenger,0.07551526850315347,0.0
01_AUS,Carbon Neutral,2025,bus,phevd,0.3413303556521878,passenger,0.07551526850315347,0.025775653455351828
01_AUS,Carbon Neutral,2025,lt,bev,0.15632037890279724,passenger,0.2320979852252705,0.03628164499299012
01_AUS,Carbon Neutral,2025,lt,cng,0.0,passenger,0.2320979852252705,0.0
01_AUS,Carbon Neutral,2025,lt,d,0.20245531979467724,passenger,0.2320979852252705,0.04698947182248241
01_AUS,Carbon Neutral,2025,lt,fcev,0.0,passenger,0.2320979852252705,0.0
01_AUS,Carbon Neutral,2025,lt,g,0.24904763483037912,passenger,0.2320979852252705,0.0578034542692499
01_AUS,Carbon Neutral,2025,lt,lpg,0.02977278830415486,passenger,0.2320979852252705,0.006910204179932841
01_AUS,Carbon Neutral,2025,lt,phevg,0.3624038781679915,passenger,0.2320979852252705,0.08411320996061523
01_AUS,Carbon Neutral,2025,lv,bev,0.19634536086873652,passenger,0.462782363513802,0.09086517016780425
01_AUS,Carbon Neutral,2025,lv,cng,0.0,passenger,0.462782363513802,0.0
01_AUS,Carbon Neutral,2025,lv,d,0.0005473127591208102,passenger,0.462782363513802,0.0002532866922471887
01_AUS,Carbon Neutral,2025,lv,fcev,7.236074553637688e-07,passenger,0.462782363513802,3.3487276844945285e-07
01_AUS,Carbon Neutral,2025,lv,g,0.40890671150381275,passenger,0.462782363513802,0.1892348144063908
01_AUS,Carbon Neutral,2025,lv,lpg,0.002325789856788983,passenger,0.462782363513802,0.0010763345269612327
01_AUS,Carbon Neutral,2025,lv,phevg,0.39187410140408563,passenger,0.462782363513802,0.18135242284763006
01_AUS,Carbon Neutral,2026,2w,bev,0.9064848984498355,passenger,0.21495895353973862,0.19485704517035288
01_AUS,Carbon Neutral,2026,2w,g,0.09351510155016456,passenger,0.21495895353973862,0.020101908369385763
01_AUS,Carbon Neutral,2026,bus,bev,0.20430835927125543,passenger,0.010717392248864751,0.0021896528260320278
01_AUS,Carbon Neutral,2026,bus,cng,0.0040437889688999225,passenger,0.010717392248864751,4.333887255133281e-05
01_AUS,Carbon Neutral,2026,bus,d,0.44028538581972465,passenger,0.010717392248864751,0.004718711181272743
01_AUS,Carbon Neutral,2026,bus,fcev,0.0,passenger,0.010717392248864751,0.0
01_AUS,Carbon Neutral,2026,bus,g,0.0,passenger,0.010717392248864751,0.0
01_AUS,Carbon Neutral,2026,bus,lpg,0.0,passenger,0.010717392248864751,0.0
01_AUS,Carbon Neutral,2026,bus,phevd,0.35136246594012,passenger,0.010717392248864751,0.003765689369008647
01_AUS,Carbon Neutral,2026,lt,bev,0.20862182887217362,passenger,0.2601810951448414,0.054279455907081824
01_AUS,Carbon Neutral,2026,lt,cng,0.0,passenger,0.2601810951448414,0.0
01_AUS,Carbon Neutral,2026,lt,d,0.17590501353344218,passenger,0.2601810951448414,0.04576715906259913
01_AUS,Carbon Neutral,2026,lt,fcev,0.0,passenger,0.2601810951448414,0.0
01_AUS,Carbon Neutral,2026,lt,g,0.21847317318449885,passenger,0.2601810951448414,0.056842589458911505
01_AUS,Carbon Neutral,2026,lt,lpg,0.026772077041692394,passenger,0.2601810951448414,0.006965588324009593
01_AUS,Carbon Neutral,2026,lt,phevg,0.37022790736819294,passenger,0.2601810951448414,0.09632630239223933
01_AUS,Carbon Neutral,2026,lv,bev,0.24687698886385293,passenger,0.5141425590665545,0.12692996682910662
01_AUS,Carbon Neutral,2026,lv,cng,0.0,passenger,0.5141425590665545,0.0
01_AUS,Carbon Neutral,2026,lv,d,0.0002554042278423082,passenger,0.5141425590665545,0.0001313141832992617
01_AUS,Carbon Neutral,2026,lv,fcev,7.172794230676343e-07,passenger,0.5141425590665545,3.687838781417753e-07
01_AUS,Carbon Neutral,2026,lv,g,0.3542130708576528,passenger,0.5141425590665545,0.1821160147055764
01_AUS,Carbon Neutral,2026,lv,lpg,0.002217352399239749,passenger,0.5141425590665545,0.001140035236897489
01_AUS,Carbon Neutral,2026,lv,phevg,0.3964364663719891,passenger,0.5141425590665545,0.20382485932779654
01_AUS,Carbon Neutral,2027,2w,bev,0.9155159074294815,passenger,0.2018486174585699,0.18479562017596893
01_AUS,Carbon Neutral,2027,2w,g,0.08448409257051846,passenger,0.2018486174585699,0.017052997282600988
01_AUS,Carbon Neutral,2027,bus,bev,0.20714258981774425,passenger,0.023811875444806,0.004932453548054666
01_AUS,Carbon Neutral,2027,bus,cng,0.002785707289123807,passenger,0.023811875444806,6.633291499430427e-05
01_AUS,Carbon Neutral,2027,bus,d,0.3031440725732186,passenger,0.023811875444806,0.007218428897944713
01_AUS,Carbon Neutral,2027,bus,fcev,0.0,passenger,0.023811875444806,0.0
01_AUS,Carbon Neutral,2027,bus,g,0.0,passenger,0.023811875444806,0.0
01_AUS,Carbon Neutral,2027,bus,lpg,0.0,passenger,0.023811875444806,0.0
01_AUS,Carbon Neutral,2027,bus,phevd,0.4869276303199132,passenger,0.023811875444806,0.011594660083812314
01_AUS,Carbon Neutral,2027,lt,bev,0.2126616989131732,passenger,0.2601969480300687,0.05533392502009705
01_AUS,Carbon Neutral,2027,lt,cng,0.0,passenger,0.2601969480300687,0.0
01_AUS,Carbon Neutral,2027,lt,d,0.12026210077836592,passenger,0.2601969480300687,0.03129183158621537
