,vehicle_type,transport_type,economy,date,medium,measure,unit,fuel,comment,scope,frequency,dataset,drive,value
0,bus,passenger,20_USA,2020,road,stocks,stocks,all,no_comment,national,yearly,9th_model_first_iteration  usa_fdha $ iea_ev_explorer_no_data,bev,0.0
1,2w,passenger,20_USA,2020,road,stocks,stocks,all,no_comment,national,yearly,9th_model_first_iteration  usa_fdha $ iea_ev_explorer_no_data,bev,0.0
1158,all,freight,20_USA,2017,air,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,bev,0.0
1179,all,passenger,20_USA,2017,air,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,bev,0.0
1200,all,freight,20_USA,2017,rail,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,bev,0.0
1221,all,passenger,20_USA,2017,rail,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,bev,0.0
1242,all,freight,20_USA,2017,ship,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,bev,0.0
1263,all,passenger,20_USA,2017,ship,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,bev,0.0
1284,lcv,freight,20_USA,2017,road,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,bev,0.0
1305,2w,passenger,20_USA,2017,road,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,bev,0.0
1326,bus,passenger,20_USA,2017,road,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,bev,0.0
1328,bus,passenger,20_USA,2020,road,stocks,stocks,all,no_comment,national,yearly,9th_model_first_iteration  usa_fdha $ iea_ev_explorer_no_data,phev,0.0
1329,2w,passenger,20_USA,2020,road,stocks,stocks,all,no_comment,national,yearly,9th_model_first_iteration  usa_fdha $ iea_ev_explorer_no_data,phev,0.0
2486,all,freight,20_USA,2017,air,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,phev,0.0
2507,all,passenger,20_USA,2017,air,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,phev,0.0
2528,all,freight,20_USA,2017,rail,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,phev,0.0
2549,all,passenger,20_USA,2017,rail,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,phev,0.0
2570,all,freight,20_USA,2017,ship,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,phev,0.0
2591,all,passenger,20_USA,2017,ship,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,phev,0.0
2612,lcv,freight,20_USA,2017,road,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,phev,0.0
2633,2w,passenger,20_USA,2017,road,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,phev,0.0
2654,bus,passenger,20_USA,2017,road,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,phev,0.0
2656,bus,passenger,20_USA,2020,road,stocks,stocks,all,no_comment,national,yearly,9th_model_first_iteration  usa_fdha $ iea_ev_explorer_no_data,ice,1010304.0
2657,2w,passenger,20_USA,2020,road,stocks,stocks,all,no_comment,national,yearly,9th_model_first_iteration  usa_fdha $ iea_ev_explorer_no_data,ice,8347435.0
3814,all,freight,20_USA,2017,air,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,ice,0.0
3835,all,passenger,20_USA,2017,air,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,ice,0.0
3856,all,freight,20_USA,2017,rail,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,ice,0.0
3877,all,passenger,20_USA,2017,rail,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,ice,0.0
3898,all,freight,20_USA,2017,ship,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,ice,0.0
3919,all,passenger,20_USA,2017,ship,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,ice,0.0
3940,lcv,freight,20_USA,2017,road,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,ice,11460836.0
3961,2w,passenger,20_USA,2017,road,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,ice,8676023.0
3982,bus,passenger,20_USA,2017,road,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,ice,450930.0
4005,bus,passenger,20_USA,2020,road,stocks,stocks,all,no_comment,national,yearly,9th_model_first_iteration $ usa_fdha,all,1010304.0
4006,2w,passenger,20_USA,2020,road,stocks,stocks,all,no_comment,national,yearly,9th_model_first_iteration $ usa_fdha,all,8347435.0
