,Medium,Transport Type,Vehicle Type,Drive,Date,Economy,Frequency_x,Measure,Unit_x,Dataset,Scope,Comments,Fuel,Source,Value,Frequency_y,Unit_y,_merge
6424,road,freight,ht,ice_g,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6425,road,freight,ht,lpg,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6426,road,freight,ht,phev_d,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6427,road,freight,ht,phev_g,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6428,road,freight,lcv,bev,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6429,road,freight,lcv,cng,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6430,road,freight,lcv,fcev,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6431,road,freight,lcv,ice_d,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6432,road,freight,lcv,ice_g,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6433,road,freight,lcv,lpg,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6434,road,freight,lcv,phev_d,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6435,road,freight,lcv,phev_g,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6436,road,freight,mt,bev,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6437,road,freight,mt,cng,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6438,road,freight,mt,fcev,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6439,road,freight,mt,ice_d,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6440,road,freight,mt,ice_g,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6441,road,freight,mt,lpg,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6442,road,freight,mt,phev_d,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6443,road,freight,mt,phev_g,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6444,road,freight,2w,bev,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6445,road,freight,2w,ice_d,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6446,road,freight,2w,ice_g,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6447,road,passenger,2w,bev,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6448,road,passenger,2w,ice_d,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6449,road,passenger,2w,ice_g,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6450,road,passenger,bus,bev,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6451,road,passenger,bus,cng,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6452,road,passenger,bus,fcev,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6453,road,passenger,bus,ice_d,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6454,road,passenger,bus,ice_g,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6455,road,passenger,bus,lpg,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6456,road,passenger,bus,phev_d,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6457,road,passenger,bus,phev_g,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6458,road,passenger,car,bev,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6459,road,passenger,car,cng,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6460,road,passenger,car,fcev,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6461,road,passenger,car,ice_d,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6462,road,passenger,car,ice_g,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6463,road,passenger,car,lpg,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6464,road,passenger,car,phev_d,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6465,road,passenger,car,phev_g,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6466,road,passenger,lt,bev,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6467,road,passenger,lt,cng,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6468,road,passenger,lt,fcev,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6469,road,passenger,lt,ice_d,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6470,road,passenger,lt,ice_g,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6471,road,passenger,lt,lpg,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6472,road,passenger,lt,phev_d,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6473,road,passenger,lt,phev_g,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6474,road,passenger,suv,bev,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6475,road,passenger,suv,cng,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6476,road,passenger,suv,fcev,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6477,road,passenger,suv,ice_d,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6478,road,passenger,suv,ice_g,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6479,road,passenger,suv,lpg,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6480,road,passenger,suv,phev_d,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6481,road,passenger,suv,phev_g,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6482,road,freight,ht,bev,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6483,road,freight,ht,cng,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6484,road,freight,ht,fcev,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6485,road,freight,ht,ice_d,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6486,road,freight,ht,ice_g,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6487,road,freight,ht,lpg,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6488,road,freight,ht,phev_d,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
