,Medium,Transport Type,Vehicle Type,Drive,Date,Economy,Frequency_x,Measure,Unit_x,Dataset,Scope,Comments,Fuel,Source,Value,Frequency_y,Unit_y,_merge
0,road,freight,lcv,phev_g,2017-12-31,01_AUS,Yearly,Sales_share,%,Manually_inputted_data,National,no_comment,All,online source,,,,left_only
3802,road,passenger,2w,cng,2017-12-31,01_AUS,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
3803,road,passenger,2w,cng,2017-12-31,02_BD,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
3804,road,passenger,2w,cng,2017-12-31,03_CDA,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
3805,road,passenger,2w,cng,2017-12-31,04_CHL,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
3806,road,passenger,2w,cng,2017-12-31,05_PRC,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
3807,road,passenger,2w,cng,2017-12-31,06_HKC,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
3808,road,passenger,2w,cng,2017-12-31,07_INA,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
3809,road,passenger,2w,cng,2017-12-31,08_JPN,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
3810,road,passenger,2w,cng,2017-12-31,09_ROK,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
3811,road,passenger,2w,cng,2017-12-31,10_MAS,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
3812,road,passenger,2w,cng,2017-12-31,11_MEX,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
3813,road,passenger,2w,cng,2017-12-31,12_NZ,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
3814,road,passenger,2w,cng,2017-12-31,13_PNG,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
