,measure,vehicle_type,drive,year,value,unit,new_vehicles,medium
0,travel_km,lcv,lpg,2046,0.188008,billion miles,False,road
0,travel_km,lcv,lpg,2047,0.203789,billion miles,False,road
0,travel_km,lcv,lpg,2048,0.220242,billion miles,False,road
0,travel_km,lcv,lpg,2049,0.237737,billion miles,False,road
0,travel_km,lcv,lpg,2050,0.256857,billion miles,False,road
0,travel_km,lcv,cng,2021,,billion miles,False,road
0,travel_km,lcv,cng,2022,0.015418,billion miles,False,road
0,travel_km,lcv,cng,2023,0.013986,billion miles,False,road
0,travel_km,lcv,cng,2024,0.012747,billion miles,False,road
0,travel_km,lcv,cng,2025,0.011705,billion miles,False,road
0,travel_km,lcv,cng,2026,0.010794,billion miles,False,road
0,travel_km,lcv,cng,2027,0.00993,billion miles,False,road
0,travel_km,lcv,cng,2028,0.00913,billion miles,False,road
0,travel_km,lcv,cng,2029,0.008393,billion miles,False,road
0,travel_km,lcv,cng,2030,0.007732,billion miles,False,road
0,travel_km,lcv,cng,2031,0.007146,billion miles,False,road
0,travel_km,lcv,cng,2032,0.006624,billion miles,False,road
0,travel_km,lcv,cng,2033,0.006093,billion miles,False,road
0,travel_km,lcv,cng,2034,0.005543,billion miles,False,road
0,travel_km,lcv,cng,2035,0.004963,billion miles,False,road
0,travel_km,lcv,cng,2036,0.004369,billion miles,False,road
0,travel_km,lcv,cng,2037,0.003744,billion miles,False,road
0,travel_km,lcv,cng,2038,0.003165,billion miles,False,road
0,travel_km,lcv,cng,2039,0.002637,billion miles,False,road
0,travel_km,lcv,cng,2040,0.002105,billion miles,False,road
0,travel_km,lcv,cng,2041,0.001683,billion miles,False,road
0,travel_km,lcv,cng,2042,0.001373,billion miles,False,road
0,travel_km,lcv,cng,2043,0.001147,billion miles,False,road
0,travel_km,lcv,cng,2044,0.001,billion miles,False,road
0,travel_km,lcv,cng,2045,0.000899,billion miles,False,road
0,travel_km,lcv,cng,2046,0.00082,billion miles,False,road
0,travel_km,lcv,cng,2047,0.000769,billion miles,False,road
0,travel_km,lcv,cng,2048,0.000703,billion miles,False,road
0,travel_km,lcv,cng,2049,0.000625,billion miles,False,road
0,travel_km,lcv,cng,2050,0.000529,billion miles,False,road
0,travel_km,lcv,ethanol_flex_fuel,2021,,billion miles,False,road
0,travel_km,lcv,ethanol_flex_fuel,2022,3.793104,billion miles,False,road
0,travel_km,lcv,ethanol_flex_fuel,2023,3.733989,billion miles,False,road
0,travel_km,lcv,ethanol_flex_fuel,2024,3.701197,billion miles,False,road
0,travel_km,lcv,ethanol_flex_fuel,2025,3.694834,billion miles,False,road
0,travel_km,lcv,ethanol_flex_fuel,2026,3.705554,billion miles,False,road
0,travel_km,lcv,ethanol_flex_fuel,2027,3.713322,billion miles,False,road
0,travel_km,lcv,ethanol_flex_fuel,2028,3.722355,billion miles,False,road
0,travel_km,lcv,ethanol_flex_fuel,2029,3.737602,billion miles,False,road
0,travel_km,lcv,ethanol_flex_fuel,2030,3.763645,billion miles,False,road
0,travel_km,lcv,ethanol_flex_fuel,2031,3.807043,billion miles,False,road
0,travel_km,lcv,ethanol_flex_fuel,2032,3.864232,billion miles,False,road
0,travel_km,lcv,ethanol_flex_fuel,2033,3.914667,billion miles,False,road
0,travel_km,lcv,ethanol_flex_fuel,2034,3.947316,billion miles,False,road
0,travel_km,lcv,ethanol_flex_fuel,2035,3.968468,billion miles,False,road
0,travel_km,lcv,ethanol_flex_fuel,2036,3.971855,billion miles,False,road
0,travel_km,lcv,ethanol_flex_fuel,2037,3.975454,billion miles,False,road
0,travel_km,lcv,ethanol_flex_fuel,2038,3.964083,billion miles,False,road
0,travel_km,lcv,ethanol_flex_fuel,2039,3.953435,billion miles,False,road
0,travel_km,lcv,ethanol_flex_fuel,2040,3.955495,billion miles,False,road
0,travel_km,lcv,ethanol_flex_fuel,2041,3.973439,billion miles,False,road
0,travel_km,lcv,ethanol_flex_fuel,2042,4.000788,billion miles,False,road
0,travel_km,lcv,ethanol_flex_fuel,2043,4.04146,billion miles,False,road
0,travel_km,lcv,ethanol_flex_fuel,2044,4.095368,billion miles,False,road
0,travel_km,lcv,ethanol_flex_fuel,2045,4.15557,billion miles,False,road
0,travel_km,lcv,ethanol_flex_fuel,2046,4.225757,billion miles,False,road
0,travel_km,lcv,ethanol_flex_fuel,2047,4.299688,billion miles,False,road
0,travel_km,lcv,ethanol_flex_fuel,2048,4.36784,billion miles,False,road
0,travel_km,lcv,ethanol_flex_fuel,2049,4.436968,billion miles,False,road
0,travel_km,lcv,ethanol_flex_fuel,2050,4.51719,billion miles,False,road
0,travel_km,lcv,bev,2021,,billion miles,False,road
0,travel_km,lcv,bev,2022,0.000803,billion miles,False,road
0,travel_km,lcv,bev,2023,0.000726,billion miles,False,road
