,date,medium,measure,transport_type,unit,vehicle_type,scope,frequency,economy,fuel,comment,dataset,drive,value
2524,2016,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,ice_g,236205593.34845
2525,2017,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,ice_g,236205593.34845
2526,2018,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,ice_g,236205593.34845
2527,2019,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,ice_g,236205593.34845
2528,2020,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,ice_g,236205593.34845
2529,2021,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,ice_g,236205593.34845
2530,2022,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,ice_g,236205593.34845
2531,2023,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,ice_g,236205593.34845
2532,2010,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,lpg,236205593.34845
2533,2011,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,lpg,236205593.34845
2534,2012,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,lpg,236205593.34845
2535,2013,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,lpg,236205593.34845
2536,2014,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,lpg,236205593.34845
2537,2015,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,lpg,236205593.34845
2538,2016,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,lpg,236205593.34845
2539,2017,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,lpg,236205593.34845
2540,2018,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,lpg,236205593.34845
2541,2019,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,lpg,236205593.34845
2542,2020,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,lpg,236205593.34845
2543,2021,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,lpg,236205593.34845
2544,2022,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,lpg,236205593.34845
2545,2023,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,lpg,236205593.34845
2546,2010,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,lpg,236205593.34845
2547,2011,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,lpg,236205593.34845
2548,2012,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,lpg,236205593.34845
2549,2013,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,lpg,236205593.34845
2550,2014,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,lpg,236205593.34845
2551,2015,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,lpg,236205593.34845
2552,2016,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,lpg,236205593.34845
2553,2017,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,lpg,236205593.34845
2554,2018,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,lpg,236205593.34845
2555,2019,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,lpg,236205593.34845
2556,2020,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,lpg,236205593.34845
2557,2021,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,lpg,236205593.34845
2558,2022,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,lpg,236205593.34845
2559,2023,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,lpg,236205593.34845
2560,2010,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_d,467073207.186201
2561,2011,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_d,467073207.186201
2562,2012,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_d,467073207.186201
2563,2013,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_d,467073207.186201
2564,2014,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_d,467073207.186201
2565,2015,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_d,467073207.186201
2566,2016,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_d,467073207.186201
2567,2017,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_d,467073207.186201
2568,2018,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_d,467073207.186201
2569,2019,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_d,467073207.186201
2570,2020,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_d,467073207.186201
2571,2021,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_d,467073207.186201
2572,2022,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_d,467073207.186201
2573,2023,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_d,467073207.186201
2574,2010,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_d,467073207.186201
2575,2011,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_d,467073207.186201
2576,2012,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_d,467073207.186201
2577,2013,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_d,467073207.186201
2578,2014,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_d,467073207.186201
2579,2015,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_d,467073207.186201
2580,2016,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_d,467073207.186201
2581,2017,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_d,467073207.186201
2582,2018,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_d,467073207.186201
2583,2019,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_d,467073207.186201
2584,2020,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_d,467073207.186201
2585,2021,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_d,467073207.186201
2586,2022,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_d,467073207.186201
2587,2023,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_d,467073207.186201
2588,2010,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_g,413359788.359788
2589,2011,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_g,413359788.359788
2590,2012,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_g,413359788.359788
2591,2013,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_g,413359788.359788
2592,2014,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_g,413359788.359788
2593,2015,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_g,413359788.359788
2594,2016,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_g,413359788.359788
2595,2017,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_g,413359788.359788
2596,2018,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_g,413359788.359788
2597,2019,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_g,413359788.359788
2598,2020,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_g,413359788.359788
2599,2021,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_g,413359788.359788
2600,2022,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_g,413359788.359788
2601,2023,road,efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_g,413359788.359788
2602,2010,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_g,413359788.359788
2603,2011,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_g,413359788.359788
2604,2012,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_g,413359788.359788
2605,2013,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_g,413359788.359788
2606,2014,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_g,413359788.359788
2607,2015,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_g,413359788.359788
2608,2016,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_g,413359788.359788
2609,2017,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_g,413359788.359788
2610,2018,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_g,413359788.359788
2611,2019,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_g,413359788.359788
2612,2020,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_g,413359788.359788
2613,2021,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_g,413359788.359788
2614,2022,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_g,413359788.359788
2615,2023,road,new_vehicle_efficiency,passenger,km_per_pj,lt,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,phev_g,413359788.359788
2616,2010,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,bev,1028911564.62585
2617,2011,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,bev,1028911564.62585
2618,2012,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,bev,1028911564.62585
2619,2013,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,bev,1028911564.62585
2620,2014,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,bev,1028911564.62585
2621,2015,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,bev,1028911564.62585
2622,2016,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,bev,1028911564.62585
2623,2017,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,bev,1028911564.62585
2624,2018,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,bev,1028911564.62585
2625,2019,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,bev,1028911564.62585
2626,2020,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,bev,1028911564.62585
2627,2021,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,bev,1028911564.62585
2628,2022,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,bev,1028911564.62585
2629,2023,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,bev,1028911564.62585
2630,2010,road,new_vehicle_efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,bev,1028911564.62585
2631,2011,road,new_vehicle_efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,bev,1028911564.62585
2632,2012,road,new_vehicle_efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,bev,1028911564.62585
2633,2013,road,new_vehicle_efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,bev,1028911564.62585
2634,2014,road,new_vehicle_efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,bev,1028911564.62585
2635,2015,road,new_vehicle_efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,bev,1028911564.62585
2636,2016,road,new_vehicle_efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,bev,1028911564.62585
2637,2017,road,new_vehicle_efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,bev,1028911564.62585
2638,2018,road,new_vehicle_efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,bev,1028911564.62585
2639,2019,road,new_vehicle_efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,bev,1028911564.62585
2640,2020,road,new_vehicle_efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,bev,1028911564.62585
2641,2021,road,new_vehicle_efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,bev,1028911564.62585
2642,2022,road,new_vehicle_efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,bev,1028911564.62585
2643,2023,road,new_vehicle_efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,bev,1028911564.62585
2644,2010,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,293974732.750243
2645,2011,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,293974732.750243
2646,2012,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,293974732.750243
2647,2013,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,293974732.750243
2648,2014,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,293974732.750243
2649,2015,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,293974732.750243
2650,2016,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,293974732.750243
2651,2017,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,293974732.750243
2652,2018,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,293974732.750243
2653,2019,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,293974732.750243
2654,2020,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,293974732.750243
2655,2021,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,293974732.750243
2656,2022,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,293974732.750243
2657,2023,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,293974732.750243
2658,2010,road,new_vehicle_efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,293974732.750243
2659,2011,road,new_vehicle_efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,293974732.750243
2660,2012,road,new_vehicle_efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,293974732.750243
2661,2013,road,new_vehicle_efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,293974732.750243
2662,2014,road,new_vehicle_efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,293974732.750243
2663,2015,road,new_vehicle_efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,293974732.750243
2664,2016,road,new_vehicle_efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,293974732.750243
2665,2017,road,new_vehicle_efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,293974732.750243
2666,2018,road,new_vehicle_efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,293974732.750243
2667,2019,road,new_vehicle_efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,293974732.750243
2668,2020,road,new_vehicle_efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,293974732.750243
2669,2021,road,new_vehicle_efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,293974732.750243
2670,2022,road,new_vehicle_efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,293974732.750243
2671,2023,road,new_vehicle_efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,cng,293974732.750243
2672,2010,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,fcev,1028911564.62585
2673,2011,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,fcev,1028911564.62585
2674,2012,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,usa_data,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,fcev,1028911564.62585
