Vehicle Type,Transport Type,Value,Measure,Unit,Dataset,Date,Source,Medium,Frequency,Scope,Economy,Drive
2w,passenger,2171.9819886098894,Travel_km_per_stock,Travel km per stock,travkm_per_stock_no_outliers,2017-12-31,transport_data_system_9th,road,Yearly,National,01_AUS,bev
2w,passenger,2171.9819886098894,Travel_km_per_stock,Travel km per stock,travkm_per_stock_no_outliers,2017-12-31,transport_data_system_9th,road,Yearly,National,01_AUS,g
bus,passenger,23285.718200081814,Travel_km_per_stock,Travel km per stock,travkm_per_stock_no_outliers,2017-12-31,transport_data_system_9th,road,Yearly,National,01_AUS,bev
bus,passenger,23285.718200081814,Travel_km_per_stock,Travel km per stock,travkm_per_stock_no_outliers,2017-12-31,transport_data_system_9th,road,Yearly,National,01_AUS,cng
bus,passenger,23285.718200081814,Travel_km_per_stock,Travel km per stock,travkm_per_stock_no_outliers,2017-12-31,transport_data_system_9th,road,Yearly,National,01_AUS,d
bus,passenger,23285.718200081814,Travel_km_per_stock,Travel km per stock,travkm_per_stock_no_outliers,2017-12-31,transport_data_system_9th,road,Yearly,National,01_AUS,fcev
bus,passenger,23285.718200081814,Travel_km_per_stock,Travel km per stock,travkm_per_stock_no_outliers,2017-12-31,transport_data_system_9th,road,Yearly,National,01_AUS,g
bus,passenger,23285.718200081814,Travel_km_per_stock,Travel km per stock,travkm_per_stock_no_outliers,2017-12-31,transport_data_system_9th,road,Yearly,National,01_AUS,lpg
bus,passenger,23285.718200081814,Travel_km_per_stock,Travel km per stock,travkm_per_stock_no_outliers,2017-12-31,transport_data_system_9th,road,Yearly,National,01_AUS,phevd
ht,freight,33494.33299302268,Travel_km_per_stock,Travel km per stock,travkm_per_stock_no_outliers,2017-12-31,transport_data_system_9th,road,Yearly,National,01_AUS,bev
ht,freight,33494.33299302268,Travel_km_per_stock,Travel km per stock,travkm_per_stock_no_outliers,2017-12-31,transport_data_system_9th,road,Yearly,National,01_AUS,cng
ht,freight,33494.33299302268,Travel_km_per_stock,Travel km per stock,travkm_per_stock_no_outliers,2017-12-31,transport_data_system_9th,road,Yearly,National,01_AUS,d
ht,freight,33494.33299302268,Travel_km_per_stock,Travel km per stock,travkm_per_stock_no_outliers,2017-12-31,transport_data_system_9th,road,Yearly,National,01_AUS,fcev
ht,freight,33494.33299302268,Travel_km_per_stock,Travel km per stock,travkm_per_stock_no_outliers,2017-12-31,transport_data_system_9th,road,Yearly,National,01_AUS,g
ht,freight,33494.33299302268,Travel_km_per_stock,Travel km per stock,travkm_per_stock_no_outliers,2017-12-31,transport_data_system_9th,road,Yearly,National,01_AUS,lpg
ht,freight,33494.33299302268,Travel_km_per_stock,Travel km per stock,travkm_per_stock_no_outliers,2017-12-31,transport_data_system_9th,road,Yearly,National,01_AUS,phevd
ldv,freight,43107.82696437915,Travel_km_per_stock,Travel km per stock,travkm_per_stock_no_outliers,2017-12-31,transport_data_system_9th,road,Yearly,National,01_AUS,bev
ldv,freight,43107.82696437915,Travel_km_per_stock,Travel km per stock,travkm_per_stock_no_outliers,2017-12-31,transport_data_system_9th,road,Yearly,National,01_AUS,cng
ldv,freight,43107.82696437915,Travel_km_per_stock,Travel km per stock,travkm_per_stock_no_outliers,2017-12-31,transport_data_system_9th,road,Yearly,National,01_AUS,d
ldv,freight,43107.82696437915,Travel_km_per_stock,Travel km per stock,travkm_per_stock_no_outliers,2017-12-31,transport_data_system_9th,road,Yearly,National,01_AUS,fcev
ldv,freight,43107.82696437915,Travel_km_per_stock,Travel km per stock,travkm_per_stock_no_outliers,2017-12-31,transport_data_system_9th,road,Yearly,National,01_AUS,g
