Economy,Date,Scope,Frequency,Transport Type,Medium,Vehicle Type,Drive,Drive_proportion,Value,Dataset,Source
12_NZ,2020-12-31,National,Yearly,freight,road,ht,d,0.9758326985129174,134579.03911731346,HtEv_est,8th/IeaEv
12_NZ,2020-12-31,National,Yearly,freight,road,ht,g,0.02252880355603241,3106.992356019542,HtEv_est,8th/IeaEv
12_NZ,2020-12-31,National,Yearly,freight,road,ht,lpg,0.0006231833727303915,85.94446529999375,HtEv_est,8th/IeaEv
03_CDA,2021-12-31,National,Yearly,freight,road,ht,bev,6.420440622605e-06,14.64767670213914,HtEv_est,8th/IeaEv
03_CDA,2021-12-31,National,Yearly,freight,road,ht,cng,0.00530544986242592,12103.922286986706,HtEv_est,8th/IeaEv
03_CDA,2021-12-31,National,Yearly,freight,road,ht,d,0.6475191099939039,1477258.5152885225,HtEv_est,8th/IeaEv
03_CDA,2021-12-31,National,Yearly,freight,road,ht,g,0.33940063834880313,774313.028537258,HtEv_est,8th/IeaEv
03_CDA,2021-12-31,National,Yearly,freight,road,ht,lpg,0.007315594696289541,16689.89284284601,HtEv_est,8th/IeaEv
03_CDA,2021-12-31,National,Yearly,freight,road,ht,phevd,0.0002577333541892301,587.996224780914,HtEv_est,8th/IeaEv
05_PRC,2021-12-31,National,Yearly,freight,road,ht,bev,0.0013962911592190225,10449.679669529536,HtEv_est,8th/IeaEv
05_PRC,2021-12-31,National,Yearly,freight,road,ht,cng,0.023596408025716425,176592.7568847227,HtEv_est,8th/IeaEv
05_PRC,2021-12-31,National,Yearly,freight,road,ht,d,0.9356198289142127,7002069.332073985,HtEv_est,8th/IeaEv
05_PRC,2021-12-31,National,Yearly,freight,road,ht,fcev,2.3211156191910465e-05,173.70957723498347,HtEv_est,8th/IeaEv
05_PRC,2021-12-31,National,Yearly,freight,road,ht,g,0.03143137381753062,235228.7241796625,HtEv_est,8th/IeaEv
05_PRC,2021-12-31,National,Yearly,freight,road,ht,lpg,0.0027071678376932814,20260.12735865951,HtEv_est,8th/IeaEv
05_PRC,2021-12-31,National,Yearly,freight,road,ht,phevd,7.697032829156516e-05,576.0369314056635,HtEv_est,8th/IeaEv
09_ROK,2021-12-31,National,Yearly,freight,road,ht,bev,0.016719050407409668,42000.0937189579,HtEv_est,8th/IeaEv
09_ROK,2021-12-31,National,Yearly,freight,road,ht,d,0.9102164321082445,2286563.8012634423,HtEv_est,8th/IeaEv
