Vehicle Type,Drive,Measure,Medium,Unit,Economy,Transport Type,Scope,Frequency,Date,Dataset,Value,Source
ldv,g,passenger_km,road,passenger_km,08_JPN,passenger,National,Yearly,2017-12-31,PassengerKm_est,52895230810.14592,8th/PassengerKm_est
ldv,lpg,passenger_km,road,passenger_km,08_JPN,passenger,National,Yearly,2017-12-31,PassengerKm_est,1729733874.0829875,8th/PassengerKm_est
ldv,phevg,passenger_km,road,passenger_km,08_JPN,passenger,National,Yearly,2017-12-31,PassengerKm_est,888023.6849508402,8th/PassengerKm_est
bus,cng,passenger_km,road,passenger_km,08_JPN,passenger,National,Yearly,2017-12-31,PassengerKm_est,0.0,8th/PassengerKm_est
ldv,cng,passenger_km,road,passenger_km,08_JPN,passenger,National,Yearly,2017-12-31,PassengerKm_est,0.0,8th/PassengerKm_est
2w,bev,passenger_km,road,passenger_km,09_ROK,passenger,National,Yearly,2017-12-31,PassengerKm_est,0.0,8th/PassengerKm_est
2w,g,passenger_km,road,passenger_km,09_ROK,passenger,National,Yearly,2017-12-31,PassengerKm_est,1717973072.6749465,8th/PassengerKm_est
bus,bev,passenger_km,road,passenger_km,09_ROK,passenger,National,Yearly,2017-12-31,PassengerKm_est,161368107.2187172,8th/PassengerKm_est
bus,cng,passenger_km,road,passenger_km,09_ROK,passenger,National,Yearly,2017-12-31,PassengerKm_est,58126889104.120605,8th/PassengerKm_est
bus,d,passenger_km,road,passenger_km,09_ROK,passenger,National,Yearly,2017-12-31,PassengerKm_est,8880496280.24131,8th/PassengerKm_est
bus,fcev,passenger_km,road,passenger_km,09_ROK,passenger,National,Yearly,2017-12-31,PassengerKm_est,0.0,8th/PassengerKm_est
bus,g,passenger_km,road,passenger_km,09_ROK,passenger,National,Yearly,2017-12-31,PassengerKm_est,8073178431.170669,8th/PassengerKm_est
bus,lpg,passenger_km,road,passenger_km,09_ROK,passenger,National,Yearly,2017-12-31,PassengerKm_est,4843906812.819761,8th/PassengerKm_est
ldv,bev,passenger_km,road,passenger_km,09_ROK,passenger,National,Yearly,2017-12-31,PassengerKm_est,26251045.051327065,8th/PassengerKm_est
ldv,cng,passenger_km,road,passenger_km,09_ROK,passenger,National,Yearly,2017-12-31,PassengerKm_est,418436221.14693,8th/PassengerKm_est
ldv,d,passenger_km,road,passenger_km,09_ROK,passenger,National,Yearly,2017-12-31,PassengerKm_est,37796907404.36541,8th/PassengerKm_est
ldv,fcev,passenger_km,road,passenger_km,09_ROK,passenger,National,Yearly,2017-12-31,PassengerKm_est,0.0,8th/PassengerKm_est
ldv,g,passenger_km,road,passenger_km,09_ROK,passenger,National,Yearly,2017-12-31,PassengerKm_est,221685989880.84644,8th/PassengerKm_est
ldv,lpg,passenger_km,road,passenger_km,09_ROK,passenger,National,Yearly,2017-12-31,PassengerKm_est,51464585275.34384,8th/PassengerKm_est
ldv,phevg,passenger_km,road,passenger_km,09_ROK,passenger,National,Yearly,2017-12-31,PassengerKm_est,0.0,8th/PassengerKm_est
bus,phevd,passenger_km,road,passenger_km,09_ROK,passenger,National,Yearly,2017-12-31,PassengerKm_est,0.0,8th/PassengerKm_est
2w,bev,passenger_km,road,passenger_km,19_THA,passenger,National,Yearly,2017-12-31,PassengerKm_est,450877704.66115576,8th/PassengerKm_est
2w,g,passenger_km,road,passenger_km,19_THA,passenger,National,Yearly,2017-12-31,PassengerKm_est,179906724371.74188,8th/PassengerKm_est
bus,bev,passenger_km,road,passenger_km,19_THA,passenger,National,Yearly,2017-12-31,PassengerKm_est,7569597.687623334,8th/PassengerKm_est
bus,cng,passenger_km,road,passenger_km,19_THA,passenger,National,Yearly,2017-12-31,PassengerKm_est,29464863148.83001,8th/PassengerKm_est
bus,d,passenger_km,road,passenger_km,19_THA,passenger,National,Yearly,2017-12-31,PassengerKm_est,57860675634.78556,8th/PassengerKm_est
bus,fcev,passenger_km,road,passenger_km,19_THA,passenger,National,Yearly,2017-12-31,PassengerKm_est,0.0,8th/PassengerKm_est
bus,g,passenger_km,road,passenger_km,19_THA,passenger,National,Yearly,2017-12-31,PassengerKm_est,2365156925.123266,8th/PassengerKm_est
bus,lpg,passenger_km,road,passenger_km,19_THA,passenger,National,Yearly,2017-12-31,PassengerKm_est,19558302420.197857,8th/PassengerKm_est
bus,phevd,passenger_km,road,passenger_km,19_THA,passenger,National,Yearly,2017-12-31,PassengerKm_est,7225525.0654586535,8th/PassengerKm_est
ldv,bev,passenger_km,road,passenger_km,19_THA,passenger,National,Yearly,2017-12-31,PassengerKm_est,735881.3190604242,8th/PassengerKm_est
ldv,cng,passenger_km,road,passenger_km,19_THA,passenger,National,Yearly,2017-12-31,PassengerKm_est,19241591877.657642,8th/PassengerKm_est
ldv,d,passenger_km,road,passenger_km,19_THA,passenger,National,Yearly,2017-12-31,PassengerKm_est,234751074040.99277,8th/PassengerKm_est
